date,ticker,embedding_distance,finbert
2024-04-01 03:42:22,AAPL,9.430221,"[8.132326126098633, -4.803796768188477, -3.9087462425231934]"
2024-04-01 03:42:22,AAPL,9.598076,"[2.8871912956237793, -3.743088483810425, -1.212369441986084]"
2024-04-01 03:42:22,AAPL,9.778302,"[5.0223164558410645, -1.6413049697875977, -4.935494422912598]"
2024-04-01 03:42:22,AAPL,9.766832,"[7.2621965408325195, -3.5576696395874023, -5.068875312805176]"
2024-04-01 03:42:22,AAPL,10.475104,"[0.02467268705368042, 0.9356846213340759, -5.358441352844238]"
2024-04-01 03:42:22,AAPL,10.119246,"[-0.4954542815685272, -3.623565673828125, 6.229818820953369]"
2024-04-01 03:42:22,AAPL,9.926006,"[5.521549224853516, -4.984788417816162, -2.2952613830566406]"
2024-04-01 03:42:22,AAPL,9.748836,"[-5.710480213165283, 8.899174690246582, -5.021371841430664]"
2024-04-01 03:42:22,AAPL,10.085785,"[5.385830402374268, -3.8310999870300293, -5.673680305480957]"
2024-04-01 03:42:22,AAPL,10.201743,"[4.892762660980225, -5.039188385009766, 0.08551463484764099]"
2024-04-01 03:42:22,AAPL,10.175106,"[7.770505428314209, -5.87542200088501, -2.7393598556518555]"
2024-04-01 03:42:22,AAPL,8.719683,"[1.984775424003601, -0.8212912678718567, -3.9439456462860107]"
2024-04-01 03:42:22,AAPL,10.547803,"[5.013726234436035, -4.186927318572998, 0.10125191509723663]"
2024-04-01 03:42:22,AAPL,10.124956,"[-0.5255511403083801, 5.679527282714844, -7.923130989074707]"
2024-04-01 03:42:22,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:05:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 07:05:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 07:05:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:05:00,AAPL,10.534407,"[7.1346001625061035, -6.523354530334473, -2.930576801300049]"
2024-04-01 07:05:00,AAPL,9.475166,"[4.498394012451172, -2.7829155921936035, -5.708202838897705]"
2024-04-01 07:05:00,AAPL,9.709625,"[3.832693576812744, -2.1035258769989014, -4.7933197021484375]"
2024-04-01 07:05:00,AAPL,9.651204,"[2.2420594692230225, 0.6052668690681458, -5.285212516784668]"
2024-04-01 07:05:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:05:00,AAPL,10.319816,"[8.055498123168945, -5.777078151702881, -4.938964366912842]"
2024-04-01 07:05:00,AAPL,10.187001,"[7.9910969734191895, -5.742321968078613, -4.770153999328613]"
2024-04-01 07:05:00,AAPL,10.426223,"[-1.612841010093689, 5.417635440826416, -6.400403022766113]"
2024-04-01 07:05:00,AAPL,10.702911,"[7.42125940322876, -7.441664218902588, -3.9803342819213867]"
2024-04-01 07:05:00,AAPL,10.081839,"[7.1784820556640625, -6.340995788574219, -4.060147285461426]"
2024-04-01 07:05:00,AAPL,10.370803,"[0.5813783407211304, 3.3938093185424805, -6.520295143127441]"
2024-04-01 07:05:00,AAPL,10.370409,"[1.1196039915084839, -2.3975062370300293, 0.9444093704223633]"
2024-04-01 07:05:00,AAPL,10.088462,"[-6.786651134490967, 11.532693862915039, -5.841827392578125]"
2024-04-01 07:05:00,AAPL,10.062092,"[3.618572950363159, -3.8544583320617676, -3.270634889602661]"
2024-04-01 07:05:00,AAPL,9.673936,"[-5.186954021453857, 10.907491683959961, -5.995982646942139]"
2024-04-01 07:05:00,AAPL,10.283625,"[-5.939058780670166, 11.621384620666504, -6.543190002441406]"
2024-04-01 07:05:00,AAPL,10.44266,"[-1.322922945022583, 5.426954746246338, -8.086669921875]"
2024-04-01 07:05:00,AAPL,10.770068,"[5.061320781707764, -0.4598936140537262, -7.244036674499512]"
2024-04-01 07:05:00,AAPL,10.128971,"[7.441155910491943, -4.58346700668335, -5.845156669616699]"
2024-04-01 07:05:00,AAPL,10.327229,"[4.410140037536621, -6.174982070922852, -2.233027458190918]"
2024-04-01 07:05:00,AAPL,10.239812,"[-1.13615882396698, 3.74958872795105, -5.289901256561279]"
2024-04-01 07:05:00,AAPL,10.306727,"[-5.386865139007568, 11.087021827697754, -8.07151985168457]"
2024-04-01 07:05:00,AAPL,10.951827,"[-7.751826286315918, 13.344225883483887, -6.613501071929932]"
2024-04-01 07:05:00,AAPL,10.606558,"[1.0363060235977173, -4.109935283660889, 2.6638336181640625]"
2024-04-01 07:05:00,AAPL,9.65616,"[8.85163402557373, -6.717443466186523, -3.118597984313965]"
2024-04-01 07:05:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:05:00,AAPL,9.990266,"[-3.3681604862213135, 7.81971549987793, -6.998940944671631]"
2024-04-01 07:05:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:05:00,AAPL,10.25956,"[-1.380589246749878, 5.824357509613037, -6.5351948738098145]"
2024-04-01 07:05:00,AAPL,10.347967,"[5.041120529174805, -2.860635757446289, -2.933748245239258]"
2024-04-01 07:05:00,AAPL,9.086414,"[9.200312614440918, -6.310044765472412, -4.490650653839111]"
2024-04-01 07:05:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:25:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 08:25:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 08:25:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:25:00,AAPL,10.534407,"[7.1346001625061035, -6.523354530334473, -2.930576801300049]"
2024-04-01 08:25:00,AAPL,9.475166,"[4.498394012451172, -2.7829155921936035, -5.708202838897705]"
2024-04-01 08:25:00,AAPL,9.709625,"[3.832693576812744, -2.1035258769989014, -4.7933197021484375]"
2024-04-01 08:25:00,AAPL,9.651204,"[2.2420594692230225, 0.6052668690681458, -5.285212516784668]"
2024-04-01 08:25:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:25:00,AAPL,10.270841,"[5.44619083404541, -6.892948150634766, -1.863242745399475]"
2024-04-01 08:25:00,AAPL,10.573358,"[0.8162389993667603, -3.4895577430725098, 5.253220558166504]"
2024-04-01 08:25:00,AAPL,10.145859,"[4.973584175109863, -4.023890018463135, -3.617266893386841]"
2024-04-01 08:25:00,AAPL,10.002718,"[-3.2783379554748535, -0.20730873942375183, 5.074092864990234]"
2024-04-01 08:25:00,AAPL,9.556189,"[-6.984918117523193, 12.000914573669434, -5.847747325897217]"
2024-04-01 08:25:00,AAPL,9.936271,"[-4.461737632751465, 8.141240119934082, -7.407412528991699]"
2024-04-01 08:25:00,AAPL,10.13896,"[-2.295097827911377, 7.159060955047607, -8.030839920043945]"
2024-04-01 08:25:00,AAPL,10.501495,"[-4.488114356994629, 5.930784702301025, -2.2160043716430664]"
2024-04-01 08:25:00,AAPL,10.1057415,"[1.9729501008987427, 0.3909822404384613, -4.992245674133301]"
2024-04-01 08:25:00,AAPL,10.241368,"[-6.502596378326416, 11.498026847839355, -5.7913737297058105]"
2024-04-01 08:25:00,AAPL,10.478216,"[-6.649888515472412, 11.042983055114746, -5.429165840148926]"
2024-04-01 08:25:00,AAPL,9.994082,"[-3.78389048576355, 8.471860885620117, -6.972371578216553]"
2024-04-01 08:25:00,AAPL,10.033811,"[0.1254049390554428, 3.922532081604004, -7.272676944732666]"
2024-04-01 08:25:00,AAPL,10.43136,"[-7.405444622039795, 12.162619590759277, -5.592344284057617]"
2024-04-01 08:25:00,AAPL,10.433861,"[-6.972925662994385, 11.62452507019043, -6.4451398849487305]"
2024-04-01 08:25:00,AAPL,9.611416,"[8.491593360900879, -6.39439058303833, -3.0330474376678467]"
2024-04-01 08:25:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:25:00,AAPL,9.990266,"[-3.3681604862213135, 7.81971549987793, -6.998940944671631]"
2024-04-01 08:25:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:25:00,AAPL,10.25956,"[-1.380589246749878, 5.824357509613037, -6.5351948738098145]"
2024-04-01 08:25:00,AAPL,10.347967,"[5.041120529174805, -2.860635757446289, -2.933748245239258]"
2024-04-01 08:25:00,AAPL,9.086414,"[9.200312614440918, -6.310044765472412, -4.490650653839111]"
2024-04-01 08:25:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 09:50:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 09:50:00,AAPL,10.088903,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 09:50:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 09:50:00,AAPL,10.534407,"[7.1346001625061035, -6.523354530334473, -2.930576801300049]"
2024-04-01 09:50:00,AAPL,9.475166,"[4.498394012451172, -2.7829155921936035, -5.708202838897705]"
2024-04-01 09:50:00,AAPL,9.709625,"[3.832693576812744, -2.1035258769989014, -4.7933197021484375]"
2024-04-01 09:50:00,AAPL,9.651204,"[2.2420594692230225, 0.6052668690681458, -5.285212516784668]"
2024-04-01 09:50:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 09:50:00,AAPL,10.432192,"[1.483391284942627, -2.3281304836273193, -0.5133970379829407]"
2024-04-01 09:50:00,AAPL,10.639371,"[-1.8136168718338013, 6.648988246917725, -7.974277496337891]"
2024-04-01 09:50:00,AAPL,10.249042,"[-6.367742538452148, 10.555852890014648, -4.816073417663574]"
2024-04-01 09:50:00,AAPL,10.249303,"[3.1153533458709717, -2.923220634460449, -1.3202837705612183]"
2024-04-01 09:50:00,AAPL,10.252428,"[-4.24918270111084, -1.658603310585022, 10.256153106689453]"
2024-04-01 09:50:00,AAPL,10.338718,"[-5.7094645500183105, 6.89868688583374, -2.3017170429229736]"
2024-04-01 09:50:00,AAPL,10.384232,"[-3.455956220626831, -1.7922651767730713, 8.751012802124023]"
2024-04-01 09:50:00,AAPL,10.436748,"[-3.2131764888763428, 2.906778335571289, 0.1385020911693573]"
2024-04-01 09:50:00,AAPL,9.744385,"[0.2200813740491867, 3.6952757835388184, -5.424348831176758]"
2024-04-01 09:50:00,AAPL,10.503759,"[-6.599401950836182, 12.506239891052246, -6.827313423156738]"
2024-04-01 09:50:00,AAPL,10.385612,"[-6.559450626373291, 11.498724937438965, -6.752277851104736]"
2024-04-01 09:50:00,AAPL,10.359401,"[-6.890761852264404, 12.667967796325684, -7.209564685821533]"
2024-04-01 09:50:00,AAPL,10.246737,"[-2.840158224105835, -1.784805178642273, 7.805849075317383]"
2024-04-01 09:50:00,AAPL,10.215748,"[-2.603788137435913, 6.095085620880127, -5.059406280517578]"
2024-04-01 09:50:00,AAPL,10.299994,"[-0.9242585897445679, -3.1485509872436523, 7.372437477111816]"
2024-04-01 09:50:00,AAPL,10.134881,"[1.3471077680587769, 2.571385383605957, -6.750986099243164]"
2024-04-01 09:50:00,AAPL,10.304766,"[-3.2437779903411865, -2.696833848953247, 9.898157119750977]"
2024-04-01 09:50:00,AAPL,9.719368,"[8.712472915649414, -4.893627166748047, -4.085475921630859]"
2024-04-01 09:50:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 09:50:00,AAPL,9.990266,"[-3.3681604862213135, 7.81971549987793, -6.998940944671631]"
2024-04-01 09:50:00,AAPL,11.452345,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
