date,ticker,embedding_distance,finbert
2024-04-01 05:09:24,BA,10.1468315,"[2.6469290256500244, -3.1629719734191895, -3.5216927528381348]"
2024-04-01 05:09:24,BA,10.902818,"[2.2000925540924072, -3.728935956954956, -2.790478467941284]"
2024-04-01 05:09:24,BA,10.752801,"[2.68723201751709, -3.830029010772705, -3.6816883087158203]"
2024-04-01 05:09:24,BA,12.036451,"[4.015864849090576, -5.703188419342041, -2.4504871368408203]"
2024-04-01 05:09:24,BA,9.300436,"[1.4869661331176758, -3.562183380126953, -1.6431478261947632]"
2024-04-01 05:09:24,BA,9.28657,"[1.4684609174728394, -2.372640609741211, -2.2745182514190674]"
2024-04-01 05:09:24,BA,9.51024,"[1.5837867259979248, -2.456852674484253, -3.1075549125671387]"
2024-04-01 05:09:24,BA,8.744797,"[3.7694437503814697, -4.418448448181152, -3.973228931427002]"
2024-04-01 05:09:24,BA,11.344454,"[1.5767678022384644, -3.441624164581299, -2.943160057067871]"
2024-04-01 05:09:24,BA,10.662498,"[-3.5996477603912354, 4.976050853729248, -3.4756391048431396]"
2024-04-01 05:09:24,BA,8.819181,"[4.365821838378906, -5.050152778625488, -2.3040528297424316]"
2024-04-01 05:09:24,BA,10.361713,"[2.035130023956299, -2.3614842891693115, -4.1034440994262695]"
2024-04-01 05:09:24,BA,10.368035,"[7.033729076385498, -6.6824798583984375, -3.9215736389160156]"
2024-04-01 05:09:24,BA,10.268366,"[5.491500377655029, -5.6624321937561035, -3.628786563873291]"
2024-04-01 05:09:24,BA,9.516847,"[2.551776647567749, -2.0133795738220215, -3.722667932510376]"
2024-04-01 05:09:24,BA,9.511133,"[3.791471481323242, -2.9961225986480713, -3.6697349548339844]"
2024-04-01 05:09:24,BA,9.258616,"[3.893723964691162, -3.6940417289733887, -3.2469539642333984]"
2024-04-01 05:09:24,BA,10.349261,"[5.322597980499268, -4.595372200012207, -4.752816677093506]"
2024-04-01 05:09:24,BA,10.482157,"[6.083090305328369, -5.362905025482178, -4.477396488189697]"
2024-04-01 05:09:24,BA,9.988621,"[5.183134078979492, -5.163207054138184, -4.052427291870117]"
2024-04-01 05:09:24,BA,9.26912,"[-2.308410406112671, 4.519761562347412, -5.864871025085449]"
2024-04-01 05:09:24,BA,9.798817,"[0.04910843074321747, 2.3973870277404785, -5.982245445251465]"
2024-04-01 05:09:24,BA,10.361713,"[2.035130023956299, -2.3614842891693115, -4.1034440994262695]"
2024-04-01 05:09:24,BA,13.048886,"[5.823863983154297, -5.680906772613525, -3.7535784244537354]"
2024-04-01 05:09:24,BA,9.690028,"[-2.729891777038574, 6.253017902374268, -6.341829776763916]"
2024-04-01 05:09:24,BA,9.506747,"[2.043524980545044, -1.7442669868469238, -5.334718704223633]"
2024-04-01 05:09:24,BA,9.690103,"[3.642909049987793, -4.295345783233643, -3.3258888721466064]"
2024-04-01 05:09:24,BA,10.52902,"[3.70770525932312, -4.545944690704346, -3.587921142578125]"
2024-04-01 05:09:24,BA,10.208533,"[-2.412707805633545, 4.795006275177002, -6.839107513427734]"
2024-04-01 05:09:24,BA,9.533047,"[3.309880495071411, -2.6781046390533447, -5.44431209564209]"
2024-04-01 05:09:24,BA,9.58199,"[0.5867430567741394, 0.9848847985267639, -7.087095737457275]"
