date,ticker,embedding_distance,finbert
2024-04-01 07:27:00,CVX,9.250623,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 07:27:00,CVX,9.250623,"[2.2539026737213135, 2.3836112022399902, -7.95810604095459]"
2024-04-01 07:27:00,CVX,10.940953,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:27:00,CVX,10.0782,"[7.1346001625061035, -6.523354530334473, -2.930576801300049]"
2024-04-01 07:27:00,CVX,9.316007,"[4.498394012451172, -2.7829155921936035, -5.708202838897705]"
2024-04-01 07:27:00,CVX,9.550755,"[3.832693576812744, -2.1035258769989014, -4.7933197021484375]"
2024-04-01 07:27:00,CVX,10.126244,"[2.2420594692230225, 0.6052668690681458, -5.285212516784668]"
2024-04-01 07:27:00,CVX,10.940953,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:27:00,CVX,11.570215,"[1.2918497323989868, -0.3051755130290985, -4.227270126342773]"
2024-04-01 07:27:00,CVX,9.132127,"[1.7306793928146362, -5.503973007202148, 4.692817211151123]"
2024-04-01 07:27:00,CVX,9.141937,"[4.2888617515563965, -1.5141233205795288, -7.117537498474121]"
2024-04-01 07:27:00,CVX,8.423221,"[-1.036871314048767, 3.7608940601348877, -6.294210433959961]"
2024-04-01 07:27:00,CVX,9.815255,"[7.1784820556640625, -6.340995788574219, -4.060147285461426]"
2024-04-01 07:27:00,CVX,9.291883,"[-4.8545684814453125, 10.575987815856934, -8.16769790649414]"
2024-04-01 07:27:00,CVX,9.343654,"[3.261998414993286, -3.0357134342193604, -3.102972984313965]"
2024-04-01 07:27:00,CVX,9.104802,"[0.996587872505188, -4.681611061096191, 5.735237121582031]"
2024-04-01 07:27:00,CVX,9.254111,"[1.1037331819534302, -3.705129623413086, 1.7574820518493652]"
2024-04-01 07:27:00,CVX,10.940953,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:27:00,CVX,9.308114,"[7.056504726409912, -6.564177989959717, -4.297233581542969]"
2024-04-01 07:27:00,CVX,9.504608,"[5.84873628616333, -4.738283634185791, -3.774233102798462]"
2024-04-01 07:27:00,CVX,8.971153,"[6.6841139793396, -6.641777515411377, -2.784310817718506]"
2024-04-01 07:27:00,CVX,8.800154,"[-1.041650414466858, 5.746028900146484, -9.408063888549805]"
2024-04-01 07:27:00,CVX,9.073619,"[-2.114858627319336, 1.2288159132003784, 1.288789987564087]"
2024-04-01 07:27:00,CVX,9.074501,"[-4.448627948760986, 9.317988395690918, -7.834268569946289]"
2024-04-01 07:27:00,CVX,8.607078,"[6.073449611663818, -4.471438407897949, -1.5620225667953491]"
2024-04-01 07:27:00,CVX,10.716929,"[2.2606618404388428, -3.6660871505737305, -2.245274066925049]"
2024-04-01 07:27:00,CVX,10.940953,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:27:00,CVX,8.889274,"[-3.3681604862213135, 7.81971549987793, -6.998940944671631]"
2024-04-01 07:27:00,CVX,10.940953,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 07:27:00,CVX,9.238701,"[-1.380589246749878, 5.824357509613037, -6.5351948738098145]"
2024-04-01 07:27:00,CVX,9.9860325,"[5.041120529174805, -2.860635757446289, -2.933748245239258]"
2024-04-01 07:27:00,CVX,8.892496,"[9.200312614440918, -6.310044765472412, -4.490650653839111]"
