date,ticker,embedding_distance,finbert
2024-04-01 07:32:55,GE,8.828885,"[-6.290484428405762, 10.645767211914062, -6.833362579345703]"
2024-04-01 07:32:55,GE,9.113721,"[-8.000137329101562, 12.62657642364502, -5.764087677001953]"
2024-04-01 07:32:55,GE,8.677787,"[-7.664200782775879, 12.043956756591797, -5.498328685760498]"
2024-04-01 07:32:55,GE,8.619893,"[-5.7259931564331055, 7.776185512542725, -4.853787422180176]"
2024-04-01 07:32:55,GE,8.750305,"[-7.008273601531982, 10.971364974975586, -4.560271263122559]"
2024-04-01 07:32:55,GE,8.960512,"[-6.975035190582275, 11.935734748840332, -6.266615390777588]"
2024-04-01 07:32:55,GE,7.982276,"[-3.1214606761932373, 7.673468112945557, -6.652816295623779]"
2024-04-01 07:32:55,GE,8.106239,"[5.457284450531006, -4.056677341461182, -4.5897216796875]"
2024-04-01 07:32:55,GE,8.27161,"[-7.839698314666748, 12.75159740447998, -5.700138568878174]"
2024-04-01 07:32:55,GE,8.747468,"[1.9919503927230835, 3.3599884510040283, -6.985294818878174]"
2024-04-01 07:32:55,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:14:02,GE,9.574244,"[5.829679489135742, -7.125363349914551, -3.6965339183807373]"
2024-04-01 08:14:02,GE,8.771777,"[4.047964572906494, -5.81610631942749, -2.9596664905548096]"
2024-04-01 08:14:02,GE,8.537719,"[2.4883639812469482, -1.1778441667556763, -4.249231338500977]"
2024-04-01 08:14:02,GE,9.029914,"[3.150160074234009, -3.858693838119507, -2.4099364280700684]"
2024-04-01 08:14:02,GE,10.486874,"[4.813221454620361, -5.225229740142822, -3.3578543663024902]"
2024-04-01 08:14:02,GE,8.537719,"[2.4883639812469482, -1.1778441667556763, -4.249231338500977]"
2024-04-01 08:14:02,GE,9.120255,"[8.051531791687012, -3.1567718982696533, -7.45467472076416]"
2024-04-01 08:14:02,GE,10.486874,"[4.813221454620361, -5.225229740142822, -3.3578543663024902]"
2024-04-01 08:14:02,GE,8.537719,"[2.4883639812469482, -1.1778441667556763, -4.249231338500977]"
2024-04-01 08:14:02,GE,8.266665,"[-3.1678450107574463, 8.523191452026367, -7.9818339347839355]"
2024-04-01 08:14:02,GE,10.486874,"[4.813221454620361, -5.225229740142822, -3.3578543663024902]"
2024-04-01 08:14:02,GE,9.529386,"[-0.24803078174591064, 3.4597017765045166, -7.772469997406006]"
2024-04-01 08:14:02,GE,9.811442,"[8.59963607788086, -7.580146789550781, -4.466333389282227]"
2024-04-01 08:14:02,GE,9.050619,"[-8.005090713500977, 11.948704719543457, -5.3797526359558105]"
2024-04-01 08:14:02,GE,9.276169,"[3.9621756076812744, -2.062492847442627, -5.731222152709961]"
2024-04-01 08:14:02,GE,8.819059,"[3.9342994689941406, -2.8803391456604004, -5.846041202545166]"
2024-04-01 08:14:02,GE,9.076808,"[5.537975788116455, -4.332189083099365, -4.852457046508789]"
2024-04-01 08:14:02,GE,9.1224985,"[-0.23075594007968903, 4.2396159172058105, -6.544623374938965]"
2024-04-01 08:14:02,GE,8.155059,"[1.93801748752594, 0.18887802958488464, -5.370643615722656]"
2024-04-01 08:14:02,GE,8.119373,"[5.634624004364014, -3.679783821105957, -4.237764835357666]"
2024-04-01 08:14:02,GE,8.362445,"[-6.013358116149902, 10.799273490905762, -7.079355239868164]"
2024-04-01 08:14:02,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 08:14:02,GE,8.348219,"[3.9800286293029785, -2.9445691108703613, -4.083993434906006]"
2024-04-01 08:14:02,GE,9.309212,"[7.2002458572387695, -4.275517463684082, -3.4392917156219482]"
2024-04-01 08:14:02,GE,8.779552,"[4.607978343963623, -2.788862943649292, -1.8707231283187866]"
2024-04-01 08:14:02,GE,9.547603,"[7.416069507598877, -6.654382228851318, -3.862536907196045]"
2024-04-01 08:14:02,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 11:06:52,GE,8.366185,"[3.0942671298980713, -4.276529788970947, -2.899613380432129]"
2024-04-01 11:06:52,GE,12.326921,"[7.1690778732299805, -6.618923664093018, -2.8216280937194824]"
2024-04-01 11:06:52,GE,9.224787,"[7.65207576751709, -6.533320903778076, -2.3610899448394775]"
2024-04-01 11:06:52,GE,10.1496105,"[7.997934818267822, -4.857038497924805, -4.25979471206665]"
2024-04-01 11:06:52,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:30:00,GE,9.010334,"[3.806593179702759, -2.8432328701019287, -5.18324613571167]"
2024-04-01 12:30:00,GE,9.6462145,"[0.6118460893630981, -4.962009906768799, 5.879033088684082]"
2024-04-01 12:30:00,GE,9.05494,"[4.799911975860596, -3.5561752319335938, -2.9521408081054688]"
2024-04-01 12:30:00,GE,8.993345,"[5.195257663726807, -5.140655040740967, -1.6555107831954956]"
2024-04-01 12:30:00,GE,8.918426,"[-4.618795871734619, 8.613585472106934, -5.819605827331543]"
2024-04-01 12:30:00,GE,8.787868,"[0.3804043233394623, -3.003848075866699, 3.814805507659912]"
2024-04-01 12:30:00,GE,9.068202,"[0.16071991622447968, 4.664310932159424, -6.737390995025635]"
2024-04-01 12:30:00,GE,8.657556,"[-4.023046016693115, 8.859576225280762, -7.053027629852295]"
2024-04-01 12:30:00,GE,8.480195,"[7.19822883605957, -4.389403820037842, -5.244174957275391]"
2024-04-01 12:30:00,GE,8.654247,"[1.2883590459823608, -0.3324340879917145, -6.194495677947998]"
2024-04-01 12:30:00,GE,8.891436,"[7.120512008666992, -5.2234673500061035, -3.981430768966675]"
2024-04-01 12:30:00,GE,8.873688,"[1.0508310794830322, 0.35790112614631653, -3.2181615829467773]"
2024-04-01 12:30:00,GE,8.1623,"[-2.5476996898651123, 1.0593863725662231, 0.5414823293685913]"
2024-04-01 12:30:00,GE,8.567972,"[5.553767681121826, -5.559818744659424, -4.201926231384277]"
2024-04-01 12:30:00,GE,9.174872,"[2.3728408813476562, -5.250303268432617, 3.2529234886169434]"
2024-04-01 12:30:00,GE,9.24344,"[-0.05708147585391998, 5.216100215911865, -7.437225818634033]"
2024-04-01 12:30:00,GE,9.006927,"[4.236912250518799, -1.8624249696731567, -3.087675094604492]"
2024-04-01 12:30:00,GE,9.252213,"[3.5385396480560303, -2.860715389251709, -4.305514812469482]"
2024-04-01 12:30:00,GE,8.901319,"[-0.04390694200992584, -1.9367132186889648, 2.3097493648529053]"
2024-04-01 12:30:00,GE,9.0009985,"[-0.928195059299469, 2.4735257625579834, -4.164097785949707]"
2024-04-01 12:30:00,GE,8.471155,"[5.4122209548950195, -1.9008139371871948, -6.69215202331543]"
2024-04-01 12:30:00,GE,8.763405,"[1.0527242422103882, -1.151598334312439, -2.1555802822113037]"
2024-04-01 12:30:00,GE,8.836359,"[4.645628929138184, -4.571507930755615, -1.4176486730575562]"
2024-04-01 12:30:00,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 12:30:00,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 17:45:45,GE,8.601344,"[2.7746944427490234, -1.8748027086257935, -3.467616081237793]"
2024-04-01 17:45:45,GE,9.495839,"[0.6951261162757874, 2.3986310958862305, -4.633802890777588]"
2024-04-01 17:45:45,GE,9.603866,"[8.131850242614746, -6.263062953948975, -5.583822250366211]"
2024-04-01 17:45:45,GE,9.030578,"[6.967224597930908, -3.7989420890808105, -4.865872383117676]"
2024-04-01 17:45:45,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 17:45:45,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 17:45:45,GE,11.510993,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
