date,ticker,embedding_distance,finbert
2024-04-01 13:00:00,MCD,10.244351,"[5.731507301330566, -5.24490213394165, -3.424541711807251]"
2024-04-01 13:00:00,MCD,9.241137,"[6.909984111785889, -2.5745677947998047, -7.432633876800537]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 13:00:00,MCD,9.225961,"[6.728692531585693, -1.5999284982681274, -7.543745040893555]"
2024-04-01 13:00:00,MCD,8.893892,"[7.3733086585998535, -1.7153807878494263, -7.628302097320557]"
2024-04-01 13:00:00,MCD,9.165597,"[-0.8262524008750916, 7.2471232414245605, -7.913524150848389]"
2024-04-01 13:00:00,MCD,8.889516,"[8.024691581726074, -3.555659770965576, -6.2340803146362305]"
2024-04-01 13:00:00,MCD,9.391597,"[9.186121940612793, -5.070741176605225, -5.151568412780762]"
2024-04-01 13:00:00,MCD,8.994099,"[8.552215576171875, -4.127956867218018, -5.461328506469727]"
2024-04-01 13:00:00,MCD,8.779634,"[8.90052318572998, -5.858677864074707, -4.074682712554932]"
2024-04-01 13:00:00,MCD,9.930739,"[2.191699266433716, 2.3822669982910156, -7.9432373046875]"
2024-04-01 13:00:00,MCD,9.399583,"[8.115774154663086, -4.201010227203369, -5.4144206047058105]"
2024-04-01 13:00:00,MCD,9.201615,"[2.4758365154266357, 2.2803473472595215, -7.584493637084961]"
2024-04-01 13:00:00,MCD,9.294882,"[-2.9659626483917236, 6.3501811027526855, -4.523776531219482]"
2024-04-01 13:00:00,MCD,8.804175,"[10.523174285888672, -7.103757381439209, -5.375998497009277]"
2024-04-01 13:00:00,MCD,9.177212,"[4.466945171356201, -4.5717668533325195, -3.2381439208984375]"
2024-04-01 13:00:00,MCD,9.006814,"[5.057703495025635, -4.430444240570068, -2.916677474975586]"
2024-04-01 13:00:00,MCD,8.850449,"[3.427678346633911, -4.257951259613037, -2.444383144378662]"
2024-04-01 13:00:00,MCD,8.160029,"[2.804785966873169, -4.046164035797119, -2.185696601867676]"
2024-04-01 13:00:00,MCD,8.98159,"[4.4784932136535645, -2.834512948989868, -3.194960117340088]"
2024-04-01 13:00:00,MCD,10.148085,"[2.054067373275757, -3.02908992767334, -3.6464548110961914]"
2024-04-01 13:00:00,MCD,9.630891,"[5.013726234436035, -4.186927318572998, 0.10125191509723663]"
2024-04-01 13:00:00,MCD,9.1420765,"[-0.5255511403083801, 5.679527282714844, -7.923130989074707]"
2024-04-01 13:00:00,MCD,11.218106,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-04 18:52:10,MCD,10.325666,"[4.16231107711792, -3.789390802383423, -4.231084823608398]"
2024-04-04 18:52:10,MCD,13.3994,"[3.8355038166046143, -4.377220630645752, -4.029026031494141]"
2024-04-04 18:52:10,MCD,11.068309,"[2.10292387008667, -0.37941303849220276, -4.859469890594482]"
2024-04-04 18:52:10,MCD,9.984598,"[3.972385883331299, -4.567516803741455, -4.297398567199707]"
2024-04-04 18:52:10,MCD,10.559978,"[2.910181760787964, -3.597045421600342, -4.338726043701172]"
2024-04-04 18:52:10,MCD,9.532482,"[5.303914546966553, -6.434067249298096, -3.840749740600586]"
2024-04-04 18:52:10,MCD,11.013147,"[-0.4855438470840454, 1.833227515220642, -4.870357990264893]"
2024-04-04 18:52:10,MCD,10.57051,"[-5.676391124725342, 6.007791519165039, -0.8220159411430359]"
2024-04-04 18:52:10,MCD,10.184549,"[4.533871173858643, -3.829380989074707, -4.713354110717773]"
2024-04-04 18:52:10,MCD,9.77946,"[2.8354384899139404, -3.001451015472412, -4.477413177490234]"
2024-04-04 18:52:10,MCD,10.759791,"[3.480414867401123, -5.599874496459961, -0.6635869145393372]"
2024-04-04 18:52:10,MCD,10.1239805,"[2.446321487426758, -3.411001205444336, -2.1795337200164795]"
2024-04-04 18:52:10,MCD,9.8883295,"[3.3949801921844482, -2.9327073097229004, -5.332651138305664]"
2024-04-04 18:52:10,MCD,10.917358,"[3.9743998050689697, -3.8533568382263184, -3.0481600761413574]"
2024-04-04 18:52:10,MCD,9.576836,"[1.578355073928833, -0.5378933548927307, -4.849958419799805]"
2024-04-04 18:52:10,MCD,9.828591,"[2.205059289932251, -3.0662248134613037, -3.8933236598968506]"
2024-04-04 18:52:10,MCD,9.1577635,"[3.9857065677642822, -2.9797067642211914, -4.649662017822266]"
2024-04-04 18:52:10,MCD,10.1261835,"[3.465381383895874, -3.5039966106414795, -2.961984395980835]"
2024-04-04 18:52:10,MCD,11.195128,"[0.9642913341522217, -1.6239912509918213, -1.579039454460144]"
2024-04-04 18:52:10,MCD,11.056961,"[5.847790241241455, -4.184556484222412, -4.431257247924805]"
2024-04-04 18:52:10,MCD,11.343543,"[1.7215297222137451, -1.920310378074646, -4.3819780349731445]"
2024-04-04 18:52:10,MCD,11.736418,"[1.258012294769287, -1.4477421045303345, -4.540355682373047]"
2024-04-04 18:52:10,MCD,9.8445215,"[1.4889110326766968, -2.0680975914001465, -1.9828466176986694]"
2024-04-04 18:52:10,MCD,11.963107,"[-0.15342354774475098, -0.900779664516449, -2.5737738609313965]"
2024-04-04 18:52:10,MCD,11.196615,"[2.0892574787139893, -3.0682172775268555, -3.4548468589782715]"
2024-04-04 18:52:10,MCD,11.457289,"[2.597339153289795, -3.492155075073242, -4.232775688171387]"
