date,ticker,embedding_distance,finbert
2024-04-01 04:01:57,V,7.0021133,"[0.21397483348846436, 1.742203712463379, -5.179130554199219]"
2024-04-01 04:01:57,V,7.4687624,"[4.649245738983154, -8.011852264404297, 5.4284257888793945]"
2024-04-01 04:01:57,V,7.325937,"[2.26073956489563, -5.9071574211120605, 5.607775688171387]"
2024-04-01 04:01:57,V,8.184996,"[-0.6094997525215149, 2.4812216758728027, -3.0819897651672363]"
2024-04-01 04:01:57,V,7.637456,"[-7.078972339630127, 11.989986419677734, -5.719832420349121]"
2024-04-01 04:01:57,V,7.603704,"[-4.319224834442139, 6.797059535980225, -4.744483470916748]"
2024-04-01 04:01:57,V,8.713401,"[-5.135550022125244, 10.836997985839844, -6.907273292541504]"
2024-04-01 04:01:57,V,8.257087,"[-0.9862320423126221, -2.522334575653076, 4.839219093322754]"
2024-04-01 04:01:57,V,8.437546,"[-3.513953447341919, 3.5056169033050537, -0.752955436706543]"
2024-04-01 04:01:57,V,7.6266084,"[-6.852131366729736, 12.393111228942871, -6.339282989501953]"
2024-04-01 04:01:57,V,7.8718195,"[-0.20676743984222412, -1.8338017463684082, 0.08772966265678406]"
2024-04-01 04:01:57,V,9.303186,"[3.649860143661499, -2.9347169399261475, -4.27638053894043]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 04:01:57,V,8.161296,"[5.89573860168457, -6.356380939483643, -3.1984291076660156]"
2024-04-01 04:01:57,V,10.352946,"[3.504460573196411, -4.7552056312561035, -2.970818042755127]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 04:01:57,V,7.182062,"[-1.4268356561660767, 6.113208293914795, -8.263239860534668]"
2024-04-01 04:01:57,V,9.000869,"[3.1469953060150146, -1.2955878973007202, -2.9319887161254883]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 04:01:57,V,8.530876,"[5.013726234436035, -4.186927318572998, 0.10125191509723663]"
2024-04-01 04:01:57,V,7.7488937,"[-0.5255511403083801, 5.679527282714844, -7.923130989074707]"
2024-04-01 04:01:57,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 21:45:18,V,7.6563735,"[3.304565191268921, 1.3400572538375854, -6.300769329071045]"
2024-04-01 21:45:18,V,8.355521,"[7.4002299308776855, -6.0687432289123535, -3.308053731918335]"
2024-04-01 21:45:18,V,8.913881,"[4.798973083496094, -5.50200080871582, -2.50998592376709]"
2024-04-01 21:45:18,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 21:45:18,V,8.913881,"[4.798973083496094, -5.50200080871582, -2.50998592376709]"
2024-04-01 21:45:18,V,11.193928,"[1.848434567451477, -1.6022709608078003, -4.3535637855529785]"
2024-04-01 21:45:18,V,7.5474124,"[8.532081604003906, -5.883473873138428, -3.245513916015625]"
2024-04-01 21:45:18,V,9.1620865,"[2.857837200164795, -2.01676607131958, -0.17568987607955933]"
