time,title,url,summary,source,overall_sentiment_score,overall_sentiment_label,ticker,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
2024-04-01 16:10:14,Why Caterpillar  ( CAT )  is Poised to Beat Earnings Estimates Again,https://www.zacks.com/stock/news/2248596/why-caterpillar-cat-is-poised-to-beat-earnings-estimates-again,Caterpillar (CAT) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,www.zacks.com,0.323646,Somewhat-Bullish,CAT,0.418689,0.459263,Bullish
2024-04-02 13:15:05,"Caterpillar Inc.  ( CAT )  Hit a 52 Week High, Can the Run Continue?",https://www.zacks.com/stock/news/2249024/caterpillar-inc-cat-hit-a-52-week-high-can-the-run-continue,"Caterpillar (CAT) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",www.zacks.com,0.275524,Somewhat-Bullish,CAT,0.726144,0.444321,Bullish
2024-04-02 13:40:12,Are Industrial Products Stocks Lagging Caterpillar  ( CAT )  This Year?,https://www.zacks.com/stock/news/2249079/are-industrial-products-stocks-lagging-caterpillar-cat-this-year,Here is how Caterpillar (CAT) and DISCO CORP (DSCSY) have performed compared to their sector so far this year.,www.zacks.com,0.272617,Somewhat-Bullish,CAT,0.767792,0.487222,Bullish
2024-04-02 16:45:03,Caterpillar  ( CAT )  is an Incredible Growth Stock: 3 Reasons Why,https://www.zacks.com/stock/news/2249361/caterpillar-cat-is-an-incredible-growth-stock-3-reasons-why,"Caterpillar (CAT) is well positioned to outperform the market, as it exhibits above-average growth in financials.",www.zacks.com,0.452273,Bullish,CAT,0.499102,0.33351,Somewhat-Bullish
2024-04-02 21:45:21,Caterpillar  ( CAT )  Advances While Market Declines: Some Information for Investors,https://www.zacks.com/stock/news/2249379/caterpillar-cat-advances-while-market-declines-some-information-for-investors,"Caterpillar (CAT) closed the most recent trading day at $364.83, moving +0.3% from the previous trading session.",www.zacks.com,0.168218,Somewhat-Bullish,CAT,0.531019,0.156237,Somewhat-Bullish
2024-04-03 15:02:00,Stocks Reverse Higher Ahead Of Powell Speech; Nvidia Up Despite Taiwan Quake As Tesla Falls,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-nvidia-stock-powell/,Stocks Reverse Higher Ahead Of Powell Speech. Nvidia Up Despite Taiwan Quake As Tesla Falls Investor's Business Daily ...,www.investors.com,-0.012012,Neutral,CAT,0.11983,0.0,Neutral
2024-04-04 12:50:10,These 2 Industrial Products Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://www.zacks.com/stock/news/2250295/these-2-industrial-products-stocks-could-beat-earnings-why-they-should-be-on-your-radar,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,www.zacks.com,0.407173,Bullish,CAT,0.266828,0.269542,Somewhat-Bullish
2024-04-05 11:32:00,5 Blue-Chip Stocks to Buy Despite Dow's Recent Meltdown,https://www.zacks.com/stock/news/2251011/5-blue-chip-stocks-to-buy-despite-dows-recent-meltdown,"We have narrowed our search to five Dow stocks that have strong potential for 2024. These stocks are: AXP, TRV, PG, IBM, CAT.",www.zacks.com,0.324074,Somewhat-Bullish,CAT,0.170395,0.118272,Neutral
2024-04-05 14:49:00,"Stock Market Heads Higher After Robust Jobs Data; Tech Rally Led By Amazon, AMD, Netflix",https://www.investors.com/market-trend/stock-market-today/dow-jones-nasdaq-sp500-nflx-stock-amazon-stock-amd-stock/,"Stock Market Heads Higher After Robust Jobs Data. Tech Rally Led By Amazon, AMD, Netflix Investor's Business Daily ...",www.investors.com,0.121495,Neutral,CAT,0.123844,-0.018486,Neutral
2024-04-05 16:00:06,Are You Looking for a Top Momentum Pick? Why Caterpillar  ( CAT )  is a Great Choice,https://www.zacks.com/stock/news/2251355/are-you-looking-for-a-top-momentum-pick-why-caterpillar-cat-is-a-great-choice,Does Caterpillar (CAT) have what it takes to be a top stock pick for momentum investors? Let's find out.,www.zacks.com,0.292888,Somewhat-Bullish,CAT,0.592742,0.404439,Bullish
2024-04-05 18:01:00,Stocks Buck Strong Jobs Data; Nvidia Tests This Key Level As Tesla Falls On Stock Market Today,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-tesla-stock-nvidia-stock/,Stocks Buck Strong Jobs Data. Nvidia Tests This Key Level As Tesla Falls Investor's Business Daily ...,www.investors.com,0.130705,Neutral,CAT,0.127119,-0.145434,Neutral
2024-04-05 18:40:45,Why Caterpillar Stock Is Up Today,https://www.fool.com/investing/2024/04/05/why-caterpillar-stock-is-up-today/,Progress Rail Services is going to Canada.,www.fool.com,0.236547,Somewhat-Bullish,CAT,0.634282,0.342072,Somewhat-Bullish
2024-04-08 07:47:00,"Agricultural Machinery Market In US size is set to grow by USD 10.17 bn from 2024-2028,rising adoption of advanced ... - PR Newswire",https://www.prnewswire.com/news-releases/agricultural-machinery-market-in-us-size-is-set-to-grow-by-usd-10-17-bn-from-2024-2028-rising-adoption-of-advanced-agricultural-machinery-boost-the-market--technavio-302109901.html,"Agricultural Machinery Market In US size is set to grow by USD 10.17 bn from 2024-2028,rising adoption of advanced ... PR ...",www.prnewswire.com,0.261374,Somewhat-Bullish,CAT,0.037681,0.0,Neutral
