time,title,url,summary,source,overall_sentiment_score,overall_sentiment_label,ticker,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
2024-04-01 09:00:01,How Dana Walden could defy critics and become Disney's first female CEO,https://www.cnbc.com/2024/04/01/disney-ceo-race-dana-walden-could-defy-critics-and-make-history.html,"Walden has proven herself as a top TV executive, but some ex-Disney executives question whether her resume is suitable for the Disney CEO job.",www.cnbc.com,0.161216,Somewhat-Bullish,DIS,0.010772,0.034412,Neutral
2024-04-01 15:35:00,The Dow's Fastest-Moving Stock May Be About To Settle It's Board Dispute,https://www.investors.com/news/disney-dows-fastest-moving-stock-may-be-about-to-settle-its-board-dispute/,Dow Jones entertainment giant Disney ( DIS ) may finally settle its long-standing board battle during its annual shareholder meeting scheduled for Wednesday. BofA hiked its price target on Disney stock Monday as it continues rallying to start the year.,www.investors.com,0.18075,Somewhat-Bullish,DIS,0.253514,-0.110175,Neutral
2024-04-01 20:17:00,"Rising TV Star Dara Reneé, 'Shark Tank' Investor Daymond John, Hollywood Veteran Lance Gross and Olympian Sanya Richards-Ross Among the Celebrities Participating in Disney Dreamers Academy",https://www.benzinga.com/pressreleases/24/04/n38033230/rising-tv-star-dara-renee-shark-tank-investor-daymond-john-hollywood-veteran-lance-gross-and-olymp,"Reneé, 'Descendants: The Rise of Red' star, serves as the 'DREAMbassador' for the program's 100 selected teens at the 17th annual Walt Disney World mentoring event this week",www.benzinga.com,0.365616,Bullish,DIS,0.042571,0.152202,Somewhat-Bullish
2024-04-02 12:32:52,"Disney Stock Set For 20% Upside As Bob Iger's Turnaround Strategy Gains Momentum, Says BofA: 'Appears To be In Command And Control And On A Growth Offensive' - Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/analyst-ratings/analyst-color/24/04/38045229/disney-stock-set-for-20-upside-as-bob-igers-turnaround-strategy-gains-momentum-says,"The Walt Disney Company's DIS stock is poised for a 20% rise as Bob Iger's turnaround strategy begins to bear fruit, according to a note from Bank of America released on Monday. What Happened: Bank of America analyst Jessica Reif Ehrlich maintains that Iger's growth-focused approach appears to be ...",www.benzinga.com,0.271334,Somewhat-Bullish,DIS,0.191929,0.103335,Neutral
2024-04-02 13:00:00,Josh Bersin Company's Irresistible 2024 Confirms Stellar Speaker Line-Up and Global HR Leader Agenda,https://www.prnewswire.com/news-releases/josh-bersin-companys-irresistible-2024-confirms-stellar-speaker-line-up-and-global-hr-leader-agenda-302105802.html,"• HR leaders from Marriott International, Microsoft, Accenture, IBM, The Coca-Cola Company and The Walt Disney Company among keynote speakers and session hosts at the third successive Irresistible • AI and its challenges and opportunities expected to be center stage of the conference • TED-style ...",www.prnewswire.com,0.425864,Bullish,DIS,0.047092,0.115451,Neutral
2024-04-02 16:00:00,METRO ART PRESENTS: KJAZZ TRACKS AT UNION STATION,https://www.benzinga.com/pressreleases/24/04/n38051786/metro-art-presents-kjazz-tracks-at-union-station,"Free energetic live jazz music performances in the station's historic Ticket Concourse will bring art and culture to the heart of downtown LA. LOS ANGELES, April 2, 2024 /PRNewswire/ -- In celebration of Jazz Appreciation Month, Metro Art and KJazz are teaming up for KJazz Tracks at Union Station ...",www.benzinga.com,0.341885,Somewhat-Bullish,DIS,0.03786,0.148325,Neutral
2024-04-02 17:54:09,"Walt Disney's Proxy Tug of War Pulls Shares to 52-Week Highs - Procter & Gamble  ( NYSE:PG ) , Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/news/24/04/38047810/walt-disneys-proxy-tug-of-war-pulls-shares-to-52-week-highs,"The Walt Disney Co. DIS shares have been surging to 52-week highs, but not necessarily due to material improvements in operations. There is a proxy war being undertaken between billionaire activist investor Nelson Peltz of the Trian Fund and the Walt Disney CEO Bob Iger.",www.benzinga.com,0.155285,Somewhat-Bullish,DIS,0.242406,0.220346,Somewhat-Bullish
2024-04-02 20:03:53,Here's What's at Stake in Disney's Proxy Battle With Nelson Peltz,https://www.kiplinger.com/investing/stocks/heres-whats-at-stake-in-disneys-proxy-battle-with-nelson-peltz,The Walt Disney Company's ( DIS ) ongoing proxy battle against Nelson Peltz's Trian Partners has intensified as the results of the shareholder vote are expected to be announced at the annual stockholders meeting on Wednesday.,www.kiplinger.com,0.091045,Neutral,DIS,0.163354,-0.100282,Neutral
2024-04-03 12:29:20,"Walt Disney, Pinterest And 2 Other Stocks Insiders Are Selling - Pinterest  ( NYSE:PINS ) , Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/news/24/04/38067548/walt-disney-pinterest-and-2-other-stocks-insiders-are-selling,"The Nasdaq 100 closed lower by around 0.9% on Tuesday. Investors, meanwhile, focused on some notable insider trades. When insiders sell shares, it could be a preplanned sale, or could indicate their concern in the company's prospects or that they view the stock as being overpriced.",www.benzinga.com,0.205982,Somewhat-Bullish,DIS,0.163354,0.218779,Somewhat-Bullish
2024-04-03 14:06:00,Disney proxy battle is about a lot more than just two board seats,https://www.businessinsider.com/disney-proxy-vote-bob-iger-nelson-peltz-board-seats-ceo-2024-3,Disney vote is about a lot more than just two board seats - Business Insider ...,www.businessinsider.com,0.095283,Neutral,DIS,0.032646,0.012543,Neutral
