time,title,url,summary,source,overall_sentiment_score,overall_sentiment_label,ticker,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
2024-04-01 10:30:00,"Meet The Billionaire Bond Investor Behind Chelsea F.C., Springsteen's Songbook And The LA Dodgers",https://www.forbes.com/sites/maneetahuja/2024/04/01/meet-the-billionaire-bond-trader-behind-chelsea-fc-springsteens-songbook-and-the-la-dodgers/,"Meet The Billionaire Bond Trader Behind Chelsea F.C., Springsteen's Songbook And The LA Dodgers Forbes ...",www.forbes.com,0.151857,Somewhat-Bullish,JNJ,0.012506,0.050837,Neutral
2024-04-01 10:52:00,3 VALIC Mutual Funds for Consistent Returns,https://www.zacks.com/stock/news/2248136/3-valic-mutual-funds-for-consistent-returns,"Invests in VALIC Mutual Funds like VCAAX, VCULX and VBCVX for tax-efficient wealth growth.",www.zacks.com,0.271059,Somewhat-Bullish,JNJ,0.068306,0.048112,Neutral
2024-04-01 12:14:00,United Airlines Names Michelle Freyre to Board of Directors - PR Newswire,https://www.prnewswire.com/news-releases/united-airlines-names-michelle-freyre-to-board-of-directors-302104454.html,United Airlines Names Michelle Freyre to Board of Directors PR ...,www.prnewswire.com,0.477085,Bullish,JNJ,0.063763,0.059024,Neutral
2024-04-01 13:00:00,Spectral AI Appoints Jeremiah Sparks as Chief Commercialization Officer,https://www.globenewswire.com/news-release/2024/04/01/2855212/0/en/Spectral-AI-Appoints-Jeremiah-Sparks-as-Chief-Commercialization-Officer.html,Experienced Burn Industry Executive Champions Pivot to Commercialization Experienced Burn Industry Executive Champions Pivot to Commercialization ...,www.globenewswire.com,0.250795,Somewhat-Bullish,JNJ,0.052685,0.133004,Neutral
2024-04-01 14:01:00,Reasons to Add ShockWave Medical  ( SWAV )  to Your Portfolio Now,https://www.zacks.com/stock/news/2248484/reasons-to-add-shockwave-medical-swav-to-your-portfolio-now,ShockWave Medical (SWAV) continues to benefit from solid R&D endeavors and its commitment to clinical studies.,www.zacks.com,0.323832,Somewhat-Bullish,JNJ,0.056011,0.006001,Neutral
2024-04-01 14:30:20,Looking Into Johnson & Johnson's Recent Short Interest - Johnson & Johnson  ( NYSE:JNJ ) ,https://www.benzinga.com/insights/short-sellers/24/04/38024239/looking-into-johnson-johnsons-recent-short-interest,"Johnson & Johnson's JNJ short percent of float has risen 6.45% since its last report. The company recently reported that it has 15.84 million shares sold short, which is 0.66% of all regular shares that are available for trading.",www.benzinga.com,0.287737,Somewhat-Bullish,JNJ,0.209365,0.147012,Neutral
2024-04-01 15:00:00,"3 Reasons You Can Buy This ""Magnificent Seven"" Stock and Hold It Forever",https://www.fool.com/investing/2024/04/01/3-reasons-you-can-buy-this-magnificent-seven-stock/,"Buy and hold forever is a bold ask. However, Microsoft delivers across the board.",www.fool.com,0.252095,Somewhat-Bullish,JNJ,0.071357,0.140933,Neutral
2024-04-01 21:06:43,Why 3M Stock Was Moving Higher Today,https://www.fool.com/investing/2024/04/01/why-3m-stock-was-moving-higher-today/,Investors applauded the spin-off of its healthcare business.,www.fool.com,0.2628,Somewhat-Bullish,JNJ,0.138464,0.006257,Neutral
2024-04-02 12:00:00,AI ETFs: Q1 of 2024 Update,https://www.zacks.com/stock/news/2248900/ai-etfs-q1-of-2024-update,"The year 2023 was crucial in the Artificial Intelligence (AI) industry. So far this year, we have seen Apple's efforts to join the AI race more prudently, Amazon's billion dollar investment in AI start-up and Nvidia's efforts to foray into various industries with AI initiatives.",www.zacks.com,0.282198,Somewhat-Bullish,JNJ,0.10607,0.048514,Neutral
2024-04-02 14:40:00,"Cytokine Market Size is projected to reach USD 148.56 billion by 2031, growing at a CAGR of 8.40%: Straits Research",https://www.benzinga.com/pressreleases/24/04/g38049628/cytokine-market-size-is-projected-to-reach-usd-148-56-billion-by-2031-growing-at-a-cagr-of-8-40-st,"New York, United States, April 02, 2024 ( GLOBE NEWSWIRE ) -- A cytokine is a collection of proteins, peptides, or glycoproteins released by particular cells to regulate the development and function of the immune system and blood cells.",www.benzinga.com,-0.00724,Neutral,JNJ,0.035875,-0.067573,Neutral
2024-04-02 20:15:00,"Nanobiotix Announces Completion of Phase 1 Dose Escalation and NBTXR3 Recommended Phase 2 Dose for the Treatment of Inoperable, Recurrent Lung Cancer in Patients Amenable to Re-Irradiation",https://www.globenewswire.com/news-release/2024/04/02/2856479/0/en/Nanobiotix-Announces-Completion-of-Phase-1-Dose-Escalation-and-NBTXR3-Recommended-Phase-2-Dose-for-the-Treatment-of-Inoperable-Recurrent-Lung-Cancer-in-Patients-Amenable-to-Re-Irra.html,"PARIS and CAMBRIDGE, Mass., April 02, 2024 ( GLOBE NEWSWIRE ) -- NANOBIOTIX ( Euronext : NANO -- NASDAQ: NBTX - the ''Company'' ) , a late-clinical stage biotechnology company pioneering physics-based approaches to expand treatment possibilities for patients with cancer, today announced ...",www.globenewswire.com,0.081771,Neutral,JNJ,0.029654,0.045825,Neutral
2024-04-02 21:45:21,Johnson & Johnson  ( JNJ )  Stock Moves -0.03%: What You Should Know,https://www.zacks.com/stock/news/2249380/johnson-johnson-jnj-stock-moves--003-what-you-should-know,"The latest trading day saw Johnson & Johnson (JNJ) settling at $157.73, representing a -0.03% change from its previous close.",www.zacks.com,0.122368,Neutral,JNJ,0.568651,0.109284,Neutral
2024-04-03 04:00:00,Great Place To Work unveils Top 10 Best Workplaces in Singapore Healthcare and Biopharma™ 2024 - PR Newswire,https://www.prnewswire.com/apac/news-releases/great-place-to-work-unveils-top-10-best-workplaces-in-singapore-healthcare-and-biopharma-2024-302105205.html,Great Place To Work unveils Top 10 Best Workplaces in Singapore Healthcare and Biopharma™ 2024 PR ...,www.prnewswire.com,0.585696,Bullish,JNJ,0.108958,0.152036,Somewhat-Bullish
2024-04-03 12:50:11,These 2 Medical Stocks Could Beat Earnings: Why They Should Be on Your Radar,https://www.zacks.com/stock/news/2249582/these-2-medical-stocks-could-beat-earnings-why-they-should-be-on-your-radar,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,www.zacks.com,0.38715,Bullish,JNJ,0.32478,0.367629,Bullish
2024-04-03 14:05:00,Major shareholder announcement - Swedbank Robur Fonder AB,https://www.globenewswire.com/news-release/2024/04/03/2857099/0/en/Major-shareholder-announcement-Swedbank-Robur-Fonder-AB.html,ANNOUNCEMENT NO. ...,www.globenewswire.com,0.124283,Neutral,JNJ,0.303175,0.088424,Neutral
2024-04-03 14:23:28,"5 Things to Know in Investing This Week - Boston Scientific  ( NYSE:BSX ) , Johnson & Johnson  ( NYSE:JNJ ) ",https://www.benzinga.com/news/24/04/38056085/5-things-to-know-in-investing-this-week,"The Personal Consumption Expenditures ( PCE ) Index is the preferred inflation metric for the Federal Reserve. This month's report came out during Good Friday when the markets are closed. Within hours, the hawks who favor higher rates and the doves who favor lower rates all claimed the report ...",www.benzinga.com,0.118043,Neutral,JNJ,0.046363,-0.074226,Neutral
2024-04-03 15:30:00,"Transformative Growth Expected In The Global Medical Equipment Market: Market Size To Reach $1,077 Billion By 2028 As Per The Business Research Company's Medical Equipment Global Market Report 2024",https://www.benzinga.com/pressreleases/24/04/g38072444/transformative-growth-expected-in-the-global-medical-equipment-market-market-size-to-reach-1-077-b,"LONDON, April 03, 2024 ( GLOBE NEWSWIRE ) -- As per The Business Research Company's Medical Equipment Global Market Report 2024, the medical equipment market has witnessed robust growth in recent years, with the market size expected to reach $775.42 billion in 2024, reflecting a compound annual ...",www.benzinga.com,0.338179,Somewhat-Bullish,JNJ,0.05133,0.126428,Neutral
2024-04-03 16:10:14,Will Johnson & Johnson  ( JNJ )  Beat Estimates Again in Its Next Earnings Report?,https://www.zacks.com/stock/news/2249996/will-johnson-johnson-jnj-beat-estimates-again-in-its-next-earnings-report,Johnson & Johnson (JNJ) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,www.zacks.com,0.351386,Bullish,JNJ,0.402618,0.498513,Bullish
2024-04-04 11:00:00,Time to Tap Healthcare ETFs on Nvidia's AI Ambition?,https://www.zacks.com/stock/news/2250231/time-to-tap-healthcare-etfs-on-nvidias-ai-ambition,"At Nvidia's last week's GTC AI conference, the company announced partnerships in the healthcare sector, representing a strategic move toward expanding its revenue streams beyond tech sectors.",www.zacks.com,0.194563,Somewhat-Bullish,JNJ,0.249531,0.152713,Somewhat-Bullish
2024-04-04 11:05:00,NextCure Appoints Dr. Rakesh Dixit to Scientific Advisory Board,https://www.globenewswire.com/news-release/2024/04/04/2857656/0/en/NextCure-Appoints-Dr-Rakesh-Dixit-to-Scientific-Advisory-Board.html,"BELTSVILLE, Md., April 04, 2024 ( GLOBE NEWSWIRE ) -- NextCure, Inc. ( Nasdaq: NXTC ) , a clinical-stage biopharmaceutical company committed to discovering and developing novel, first-in-class and best-in-class therapies to treat cancer, today announced the appointment of Rakesh Dixit, PhD, to ...",www.globenewswire.com,0.162362,Somewhat-Bullish,JNJ,0.065327,0.201503,Somewhat-Bullish
2024-04-04 11:30:00,Trinity Biotech Announces Fourth Quarter and Fiscal Year 2023 Financial Results & Business Updates,https://www.globenewswire.com/news-release/2024/04/04/2857682/8624/en/Trinity-Biotech-Announces-Fourth-Quarter-and-Fiscal-Year-2023-Financial-Results-Business-Updates.html,"DUBLIN, Ireland, April 04, 2024 ( GLOBE NEWSWIRE ) -- Trinity Biotech plc ( Nasdaq: TRIB ) , a commercial stage biotechnology company focused on diabetes management solutions and human diagnostics, including wearable biosensors, today announced results for the quarter ended December 31, 2023 and ...",www.globenewswire.com,0.130286,Neutral,JNJ,0.010366,0.059081,Neutral
2024-04-04 12:45:00,"Over 52 Million Myeloma Warriors Reached, Creating Ripples Across the Globe for #MyelomaACTIONMonth",https://www.benzinga.com/pressreleases/24/04/g38089871/over-52-million-myeloma-warriors-reached-creating-ripples-across-the-globe-for-myelomaactionmonth,"STUDIO CITY, Calif., April 04, 2024 ( GLOBE NEWSWIRE ) -- At the conclusion of this year's Myeloma Action Month, the International Myeloma Foundation ( IMF ) was truly grateful and overwhelmed by everyone's support in making the annual campaign a global success -with over 52 million reached in ...",www.benzinga.com,0.357125,Bullish,JNJ,0.020163,0.178796,Somewhat-Bullish
