time,title,url,summary,source,overall_sentiment_score,overall_sentiment_label,ticker,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
2024-04-01 05:30:00,Trump Is Taking Aim at Biden's Climate Law. Which Stocks Could Dodge the Bullet.,https://www.barrons.com/amp/articles/trump-climate-repeal-stocks-8507e68c,Trump Is Taking Aim at Biden Climate Law. Which Stocks Could Dodge the Bullet. ...,www.barrons.com,0.219839,Somewhat-Bullish,XOM,0.041828,0.094354,Neutral
2024-04-01 08:00:00,Exploring the Growth Trajectory and Benefits of Mulch Films in Agriculture and Horticulture,https://www.benzinga.com/pressreleases/24/04/g38017010/exploring-the-growth-trajectory-and-benefits-of-mulch-films-in-agriculture-and-horticulture,"Chicago, April 01, 2024 ( GLOBE NEWSWIRE ) -- The global mulch films market is expected to grow significantly, reaching a value of USD 10.6 billion by 2028, up from USD 7.8 billion in 2023, with a projected compound annual growth rate ( CAGR ) of 6.5% during the forecast period.",www.benzinga.com,0.283015,Somewhat-Bullish,XOM,0.040011,0.0,Neutral
2024-04-01 10:20:05,Should Vanguard Russell 1000 Value ETF  ( VONV )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2248125/should-vanguard-russell-1000-value-etf-vonv-be-on-your-investing-radar,Style Box ETF report for ...,www.zacks.com,0.262762,Somewhat-Bullish,XOM,0.130571,0.069241,Neutral
2024-04-01 10:20:07,Is iShares Core S&P U.S. Value ETF  ( IUSV )  a Strong ETF Right Now?,https://www.zacks.com/stock/news/2248117/is-ishares-core-sp-us-value-etf-iusv-a-strong-etf-right-now,Smart Beta ETF report for ...,www.zacks.com,0.287526,Somewhat-Bullish,XOM,0.11894,-0.019565,Neutral
2024-04-01 11:00:00,Current Climate: $6 Billion To Turn Heavy Industry Green,https://www.forbes.com/sites/amyfeldman/2024/04/01/current-climate-6-billion-to-turn-heavy-industry-green-biden-administration-battery-materials-green-hydrogen/,"ndustries like steel, cement, chemicals and aluminum account for around one-quarter of the nation's greenhouse gas emissions. To help clean them up, the Biden Administration announced it would spend $6 billion on new technologies that could drastically cut these industrial emissions.",www.forbes.com,0.138045,Neutral,XOM,0.034933,0.202343,Somewhat-Bullish
2024-04-01 12:45:00,Ford Motor and J&J Snack Foods have been highlighted as Zacks Bull and Bear of the Day,https://www.zacks.com/stock/news/2248190/ford-motor-and-jj-snack-foods-have-been-highlighted-as-zacks-bull-and-bear-of-the-day,"Chicago, IL - April 1, 2024 - Zacks Equity Research shares Ford Motor ( F Quick QuoteF - ) as the Bull of the Day and J&J Snack Foods ( JJSF Quick QuoteJJSF - ) as the Bear of the Day.",www.zacks.com,0.323343,Somewhat-Bullish,XOM,0.114137,0.201711,Somewhat-Bullish
2024-04-01 12:45:48,"FanDuel Success Drives Flutter To Seek Primary Listing On NYSE - CRH  ( NYSE:CRH ) , Roundhill Sports Betting & iGaming ETF  ( ARCA:BETZ ) ",https://www.benzinga.com/news/earnings/24/04/38021303/fanduel-success-drives-flutter-to-seek-primary-listing-on-nyse,FanDuel parent company Flutter Entertainment Plc FLUT plans to switch its primary listing from London to New York. What Happened: Dublin-based Flutter asked shareholders on Monday to vote on May 1 to approve a shift in its primary listing to the U.S.,www.benzinga.com,0.306625,Somewhat-Bullish,XOM,0.066047,0.0,Neutral
2024-04-01 14:54:00,ExxonMobil  ( XOM )  & CNOOC Challenge Chevron's Guyana Acquisition,https://www.zacks.com/stock/news/2248543/exxonmobil-xom-cnooc-challenge-chevrons-guyana-acquisition,"ExxonMobil (XOM) and CNOOC join forces against Chevron-Hess over Guyana's Stabroek Block, reshaping the future of offshore drilling.",www.zacks.com,0.128615,Neutral,XOM,0.551622,0.139398,Neutral
2024-04-01 16:32:33,Amazon To Rally Around 20%? Here Are 10 Top Analyst Forecasts For Monday - Amazon.com  ( NASDAQ:AMZN ) ,https://www.benzinga.com/news/24/04/38027506/amazon-to-rally-around-20-here-are-10-top-analyst-forecasts-for-monday,"Top Wall Street analysts changed their outlook on these top names. For a complete view of all analyst rating changes, including upgrades and downgrades, please see our analyst ratings page. Wells Fargo boosted the price target for Airbnb, Inc. ABNB from $107 to $127.",www.benzinga.com,0.184651,Somewhat-Bullish,XOM,0.236588,0.29498,Somewhat-Bullish
2024-04-01 19:47:39,Gold prices are at an all-time high-but experts like Warren Buffett don't always recommend investing,https://www.cnbc.com/2024/04/01/gold-prices-hit-all-time-high-what-to-know-before-investing.html,"Analysts say the environment for gold may be getting rosier this year, but think twice before making it a major component of your portfolio.",www.cnbc.com,0.223926,Somewhat-Bullish,XOM,0.044141,0.106044,Neutral
2024-04-01 22:42:18,Vermont advances bill requiring fossil fuel companies pay for damage caused by climate change,https://apnews.com/article/climate-change-superfund-vermont-oil-companies-2772ade2cc3c78d93e2dbd37ed8f0a75,The Vermont Legislature is advancing legislation requiring big fossil fuel companies pay a share of the damage caused by climate change after the state suffered and damage from other extreme weather.,apnews.com,0.03873,Neutral,XOM,0.051441,-0.168463,Somewhat-Bearish
2024-04-02 10:20:06,Should iShares S&P 500 Value ETF  ( IVE )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2248841/should-ishares-sp-500-value-etf-ive-be-on-your-investing-radar,Style Box ETF report for IVE ...,www.zacks.com,0.262891,Somewhat-Bullish,XOM,0.122269,-0.01981,Neutral
