,open_AAPL,high_AAPL,low_AAPL,close_AAPL,volume_AAPL
2024-04-01 04:00:00,171.5882,171.5882,170.9697,171.0894,3307
2024-04-01 04:01:00,171.2191,171.3288,171.0595,171.2690,1159
2024-04-01 04:02:00,171.2690,171.3588,171.1293,171.3588,1823
2024-04-01 04:03:00,171.3588,171.4286,171.3089,171.3987,354
2024-04-01 04:04:00,171.4286,171.4286,171.3588,171.3987,580
2024-04-01 04:05:00,171.4086,171.4186,171.3588,171.3687,244
2024-04-01 04:06:00,171.3588,171.4086,171.2690,171.2690,586
2024-04-01 04:07:00,171.2590,171.3089,171.2191,171.2191,128
2024-04-01 04:08:00,171.2690,171.3488,171.2690,171.3488,180
2024-04-01 04:09:00,171.3089,171.3089,171.2790,171.3089,84
2024-04-01 04:10:00,171.3089,171.3089,171.1992,171.2091,315
2024-04-01 04:11:00,171.1692,171.2291,171.1493,171.2291,432
2024-04-01 04:12:00,171.2191,171.2291,171.1892,171.2191,122
2024-04-01 04:13:00,171.1992,171.2391,171.1892,171.2291,302
2024-04-01 04:14:00,171.2391,171.2790,171.2391,171.2490,209
2024-04-01 04:15:00,171.2490,171.3388,171.2490,171.3189,588
2024-04-01 04:16:00,171.3288,171.3288,171.2790,171.3089,39
2024-04-01 04:17:00,171.3089,171.3388,171.3089,171.3388,56
2024-04-01 04:18:00,171.3288,171.3288,171.2989,171.3089,168
2024-04-01 04:19:00,171.3089,171.3189,171.2690,171.2690,753
2024-04-01 04:20:00,171.2989,171.3089,171.2690,171.3089,40
2024-04-01 04:21:00,171.2989,171.3089,171.2989,171.3089,7
2024-04-01 04:22:00,171.2989,171.2989,171.2989,171.2989,40
2024-04-01 04:23:00,171.2989,171.2989,171.2989,171.2989,27
2024-04-01 04:24:00,171.2989,171.2989,171.2989,171.2989,68
2024-04-01 04:25:00,171.2989,171.2989,171.2690,171.2690,223
2024-04-01 04:26:00,171.2989,171.3588,171.2989,171.3588,1307
2024-04-01 04:27:00,171.3488,171.3488,171.3488,171.3488,6
2024-04-01 04:28:00,171.3189,171.3588,171.2690,171.3288,712
2024-04-01 04:29:00,171.2790,171.2790,171.2790,171.2790,4
2024-04-01 04:30:00,171.3189,171.3189,171.2790,171.3089,18
2024-04-01 04:31:00,171.3189,171.3189,171.3089,171.3189,152
2024-04-01 04:32:00,171.3189,171.3189,171.2889,171.2989,219
2024-04-01 04:33:00,171.2989,171.3089,171.2989,171.2989,156
2024-04-01 04:34:00,171.3089,171.3189,171.2989,171.3189,15
2024-04-01 04:35:00,171.3089,171.3089,171.2989,171.2989,283
2024-04-01 04:36:00,171.3089,171.3089,171.2889,171.3089,212
2024-04-01 04:37:00,171.2889,171.3189,171.2889,171.2889,1117
2024-04-01 04:38:00,171.2889,171.3089,171.2790,171.2889,809
2024-04-01 04:39:00,171.2889,171.3089,171.2889,171.2889,541
2024-04-01 04:40:00,171.2790,171.3189,171.2690,171.3089,639
2024-04-01 04:41:00,171.2790,171.2989,171.2690,171.2989,134
2024-04-01 04:42:00,171.2790,171.2989,171.2391,171.2391,604
2024-04-01 04:43:00,171.2490,171.2490,171.2191,171.2191,4
2024-04-01 04:44:00,171.2490,171.2889,171.2391,171.2889,207
2024-04-01 04:45:00,171.2490,171.2490,171.2490,171.2490,11
2024-04-01 04:46:00,171.2490,171.2690,171.2191,171.2191,51
2024-04-01 04:47:00,171.2291,171.2790,171.2291,171.2790,189
2024-04-01 04:48:00,171.2690,171.2690,171.2191,171.2590,186
2024-04-01 04:49:00,171.2590,171.2590,171.2091,171.2191,412
2024-04-01 04:50:00,171.2191,171.2291,171.1792,171.2291,34
2024-04-01 04:51:00,171.1892,171.2191,171.1692,171.1892,138
2024-04-01 04:52:00,171.2191,171.2191,171.1692,171.1992,114
2024-04-01 04:53:00,171.1792,171.2590,171.1792,171.2590,1459
2024-04-01 04:54:00,171.2590,171.2690,171.2191,171.2690,797
2024-04-01 04:55:00,171.2690,171.3588,171.2690,171.3588,1374
2024-04-01 04:56:00,171.3189,171.3588,171.3189,171.3588,3
2024-04-01 04:57:00,171.3189,171.3588,171.2690,171.3588,499
2024-04-01 04:58:00,171.3189,171.3189,171.2490,171.2790,452
2024-04-01 04:59:00,171.2790,171.2889,171.2790,171.2790,36
2024-04-01 05:00:00,171.2690,171.2790,171.2690,171.2790,106
2024-04-01 05:01:00,171.2690,171.3288,171.2690,171.3288,356
2024-04-01 05:02:00,171.3089,171.3388,171.3089,171.3288,79
2024-04-01 05:03:00,171.3388,171.3388,171.2889,171.2989,25
2024-04-01 05:04:00,171.2889,171.3288,171.2889,171.3288,13
2024-04-01 05:05:00,171.2989,171.3687,171.2989,171.3687,3788
2024-04-01 05:06:00,171.3987,171.4186,171.3687,171.3687,630
2024-04-01 05:07:00,171.3987,171.4286,171.3687,171.4286,201
2024-04-01 05:08:00,171.4186,171.4585,171.4186,171.4585,103
2024-04-01 05:09:00,171.4286,171.4685,171.4286,171.4585,66
2024-04-01 05:10:00,171.4286,171.4585,171.4186,171.4585,588
2024-04-01 05:11:00,171.4585,171.4585,171.4186,171.4585,51
2024-04-01 05:12:00,171.4485,171.4685,171.4386,171.4386,85
2024-04-01 05:13:00,171.4386,171.4386,171.4286,171.4286,14
2024-04-01 05:14:00,171.4485,171.4485,171.4186,171.4186,340
2024-04-01 05:15:00,171.4286,171.4286,171.4186,171.4186,226
2024-04-01 05:16:00,171.4286,171.4386,171.4186,171.4386,15
2024-04-01 05:17:00,171.4386,171.4386,171.4186,171.4386,12
2024-04-01 05:18:00,171.4386,171.4386,171.4086,171.4086,705
2024-04-01 05:19:00,171.4086,171.4386,171.4086,171.4186,430
2024-04-01 05:20:00,171.4186,171.4386,171.4186,171.4386,271
2024-04-01 05:21:00,171.4186,171.4386,171.4186,171.4386,276
2024-04-01 05:22:00,171.4386,171.4386,171.4286,171.4286,90
2024-04-01 05:23:00,171.4386,171.4485,171.4286,171.4485,12
2024-04-01 05:24:00,171.4286,171.4386,171.4186,171.4286,24
2024-04-01 05:25:00,171.4186,171.4386,171.4186,171.4186,612
2024-04-01 05:26:00,171.4286,171.4286,171.4286,171.4286,38
2024-04-01 05:27:00,171.4386,171.4685,171.4286,171.4485,194
2024-04-01 05:28:00,171.4485,171.4485,171.4286,171.4286,514
2024-04-01 05:29:00,171.4186,171.4485,171.4186,171.4286,528
2024-04-01 05:30:00,171.4286,171.4386,171.4286,171.4386,3
2024-04-01 05:31:00,171.4585,171.4585,171.4286,171.4286,3
