,open_BAC,high_BAC,low_BAC,close_BAC,volume_BAC
2024-04-01 04:00:00,37.0070,37.5204,36.7305,37.4908,869
2024-04-01 04:01:00,37.5007,37.5204,37.4513,37.5204,446
2024-04-01 04:02:00,37.5204,37.5204,37.4316,37.4316,1384
2024-04-01 04:03:00,37.5303,37.5402,37.5204,37.5204,81
2024-04-01 04:06:00,37.5204,37.5204,37.5204,37.5204,600
2024-04-01 04:07:00,37.5501,37.5501,37.5501,37.5501,1
2024-04-01 04:13:00,37.5698,37.5698,37.5698,37.5698,20
2024-04-01 04:23:00,37.4217,37.4217,37.4217,37.4217,2
2024-04-01 04:24:00,37.5204,37.5204,37.5204,37.5204,2
2024-04-01 04:29:00,37.5303,37.5303,37.5204,37.5204,212
2024-04-01 04:30:00,37.5204,37.5204,37.5204,37.5204,258
2024-04-01 04:32:00,37.5204,37.5204,37.5204,37.5204,1
2024-04-01 04:36:00,37.5204,37.5204,37.5204,37.5204,95
2024-04-01 04:37:00,37.5599,37.5599,37.5599,37.5599,100
2024-04-01 04:38:00,37.5303,37.5303,37.5303,37.5303,3
2024-04-01 04:41:00,37.5501,37.5501,37.5501,37.5501,4
2024-04-01 04:43:00,37.5501,37.5599,37.5501,37.5599,5
2024-04-01 04:50:00,37.5599,37.5599,37.5599,37.5599,2
2024-04-01 04:54:00,37.5599,37.5599,37.5599,37.5599,1
2024-04-01 04:56:00,37.5599,37.5599,37.5599,37.5599,25
2024-04-01 05:00:00,37.5501,37.5501,37.5501,37.5501,1
2024-04-01 05:05:00,37.5599,37.5698,37.5599,37.5698,92
2024-04-01 05:08:00,37.5797,37.5797,37.5797,37.5797,1
2024-04-01 05:12:00,37.5303,37.5599,37.5303,37.5599,2
2024-04-01 05:21:00,37.5698,37.5698,37.5698,37.5698,3
2024-04-01 05:24:00,37.5501,37.5698,37.5402,37.5698,506
2024-04-01 05:27:00,37.5303,37.5303,37.5303,37.5303,2
2024-04-01 05:32:00,37.5402,37.5402,37.5402,37.5402,1
2024-04-01 05:34:00,37.5402,37.5698,37.5402,37.5402,23
2024-04-01 05:44:00,37.5698,37.5698,37.5698,37.5698,1
2024-04-01 05:49:00,37.5698,37.5698,37.5698,37.5698,1
2024-04-01 05:50:00,37.5797,37.5797,37.5698,37.5698,9
2024-04-01 06:00:00,37.5402,37.5402,37.5402,37.5402,5
2024-04-01 06:02:00,37.5698,37.5698,37.5698,37.5698,13
2024-04-01 06:03:00,37.5698,37.5698,37.5698,37.5698,2
2024-04-01 06:06:00,37.5698,37.5698,37.5698,37.5698,9
2024-04-01 06:10:00,37.5698,37.5698,37.5698,37.5698,55
2024-04-01 06:13:00,37.5698,37.5698,37.5698,37.5698,1
2024-04-01 06:15:00,37.5698,37.5698,37.5698,37.5698,22
2024-04-01 06:16:00,37.5698,37.5698,37.5698,37.5698,12
2024-04-01 06:17:00,37.5797,37.5797,37.5402,37.5402,3
2024-04-01 06:18:00,37.5402,37.5402,37.5402,37.5402,30
2024-04-01 06:22:00,37.5402,37.5402,37.5402,37.5402,50
2024-04-01 06:24:00,37.5599,37.5599,37.5599,37.5599,3
2024-04-01 06:26:00,37.5402,37.5402,37.5402,37.5402,40
2024-04-01 06:27:00,37.5599,37.5599,37.5599,37.5599,1
2024-04-01 06:31:00,37.5599,37.5599,37.5599,37.5599,3
2024-04-01 06:32:00,37.5599,37.5599,37.5501,37.5501,148
2024-04-01 06:35:00,37.5599,37.5797,37.5599,37.5797,585
2024-04-01 06:36:00,37.5599,37.5599,37.5599,37.5599,7
2024-04-01 06:37:00,37.5698,37.5698,37.5599,37.5599,16
2024-04-01 06:39:00,37.5698,37.5698,37.5599,37.5599,21
2024-04-01 06:42:00,37.5895,37.5895,37.5895,37.5895,3
2024-04-01 06:43:00,37.5895,37.5895,37.5895,37.5895,4
2024-04-01 06:44:00,37.5895,37.5895,37.5895,37.5895,250
2024-04-01 06:46:00,37.5895,37.5895,37.5895,37.5895,12
2024-04-01 06:47:00,37.5698,37.5895,37.5599,37.5895,4
2024-04-01 06:48:00,37.5895,37.5895,37.5895,37.5895,183
2024-04-01 06:56:00,37.5599,37.5599,37.5599,37.5599,35
2024-04-01 06:58:00,37.5895,37.5895,37.5501,37.5501,11
2024-04-01 07:00:00,37.5501,37.5895,37.5204,37.5501,5581
2024-04-01 07:01:00,37.5204,37.5204,37.5204,37.5204,499
2024-04-01 07:03:00,37.5007,37.5007,37.5007,37.5007,1
2024-04-01 07:06:00,37.5303,37.5303,37.5303,37.5303,200
2024-04-01 07:08:00,37.5402,37.5402,37.5402,37.5402,2
2024-04-01 07:10:00,37.5501,37.5501,37.5303,37.5303,516
2024-04-01 07:11:00,37.5303,37.5303,37.5303,37.5303,9
2024-04-01 07:12:00,37.5303,37.5303,37.5303,37.5303,3
2024-04-01 07:14:00,37.5303,37.5303,37.5303,37.5303,100
2024-04-01 07:15:00,37.5303,37.5303,37.5303,37.5303,145
2024-04-01 07:16:00,37.5698,37.5698,37.5599,37.5599,7
2024-04-01 07:19:00,37.5698,37.5698,37.5698,37.5698,2
2024-04-01 07:21:00,37.5599,37.5599,37.5599,37.5599,1
2024-04-01 07:24:00,37.5501,37.5501,37.5501,37.5501,330
2024-04-01 07:27:00,37.5501,37.5501,37.5501,37.5501,7670
2024-04-01 07:31:00,37.5303,37.5303,37.5303,37.5303,60
2024-04-01 07:33:00,37.5303,37.5303,37.5303,37.5303,3
2024-04-01 07:35:00,37.5303,37.5303,37.5303,37.5303,11
2024-04-01 07:36:00,37.5303,37.5303,37.5303,37.5303,5
2024-04-01 07:38:00,37.5501,37.5501,37.5501,37.5501,4
2024-04-01 07:39:00,37.5303,37.5303,37.5303,37.5303,50
2024-04-01 07:40:00,37.5501,37.5599,37.5501,37.5599,4
2024-04-01 07:43:00,37.5501,37.5501,37.5501,37.5501,80
2024-04-01 07:45:00,37.5599,37.5599,37.5599,37.5599,1
2024-04-01 07:50:00,37.5402,37.5599,37.5402,37.5599,347
2024-04-01 07:52:00,37.5303,37.5599,37.5303,37.5599,102
2024-04-01 07:54:00,37.5599,37.5599,37.5599,37.5599,2
2024-04-01 07:55:00,37.5599,37.5599,37.5599,37.5599,2
2024-04-01 08:00:00,37.5303,37.5698,37.3921,37.5501,21991
2024-04-01 08:01:00,37.5501,37.5698,37.4414,37.5501,586
2024-04-01 08:02:00,37.5695,37.6389,37.4414,37.4414,429
2024-04-01 08:03:00,37.4414,37.6389,37.4414,37.6389,610
2024-04-01 08:04:00,37.5303,37.6389,37.4908,37.5204,236
2024-04-01 08:05:00,37.5797,37.6389,37.4908,37.5599,249
2024-04-01 08:06:00,37.5895,37.6290,37.5106,37.5501,177
2024-04-01 08:07:00,37.5599,37.5599,37.5204,37.5501,600
2024-04-01 08:08:00,37.5599,37.5599,37.5599,37.5599,13
2024-04-01 08:09:00,37.5698,37.5698,37.5698,37.5698,1
2024-04-01 08:10:00,37.5204,37.5698,37.5204,37.5698,276
2024-04-01 08:11:00,37.5698,37.5698,37.5007,37.5352,5
2024-04-01 08:13:00,37.5599,37.5599,37.5204,37.5352,2296
2024-04-01 08:14:00,37.5007,37.5599,37.5007,37.5204,148
2024-04-01 08:15:00,37.5204,37.5599,37.5007,37.5599,505
2024-04-01 08:16:00,37.5204,37.5204,37.5106,37.5106,1500
2024-04-01 08:17:00,37.5501,37.5599,37.5204,37.5599,929
2024-04-01 08:18:00,37.5204,37.5204,37.5204,37.5204,352
2024-04-01 08:19:00,37.5007,37.5007,37.5007,37.5007,200
2024-04-01 08:20:00,37.5204,37.5204,37.5204,37.5204,7
2024-04-01 08:21:00,37.5106,37.5501,37.4414,37.4957,2675
2024-04-01 08:22:00,37.4414,37.4612,37.4414,37.4612,160
2024-04-01 08:23:00,37.4908,37.4908,37.4908,37.4908,1
2024-04-01 08:24:00,37.5501,37.5501,37.5501,37.5501,1
2024-04-01 08:25:00,37.5204,37.5204,37.5204,37.5204,9
2024-04-01 08:26:00,37.4908,37.4908,37.4908,37.4908,1
2024-04-01 08:27:00,37.5501,37.5501,37.5204,37.5204,20
2024-04-01 08:28:00,37.5155,37.5155,37.4612,37.4612,4
2024-04-01 08:30:00,37.5599,37.5599,37.5501,37.5501,2
2024-04-01 08:31:00,37.4908,37.5303,37.4809,37.5303,66
2024-04-01 08:32:00,37.5007,37.5402,37.5007,37.5007,87
2024-04-01 08:33:00,37.4908,37.5204,37.4711,37.5204,30004
2024-04-01 08:34:00,37.5204,37.5204,37.4711,37.4908,4
2024-04-01 08:35:00,37.5402,37.5402,37.4908,37.5402,406
2024-04-01 08:36:00,37.4414,37.4414,37.4414,37.4414,2
2024-04-01 08:37:00,37.5007,37.5402,37.5007,37.5204,268
2024-04-01 08:38:00,37.4908,37.4908,37.4414,37.4414,33
2024-04-01 08:39:00,37.4711,37.5204,37.4612,37.4809,503
2024-04-01 08:40:00,37.4809,37.4809,37.4809,37.4809,1
2024-04-01 08:41:00,37.5106,37.5204,37.5106,37.5155,2101
2024-04-01 08:43:00,37.5204,37.5204,37.5007,37.5007,3
2024-04-01 08:44:00,37.4612,37.4612,37.4612,37.4612,4
2024-04-01 08:45:00,37.4612,37.5204,37.4612,37.4908,43
2024-04-01 08:46:00,37.4908,37.5056,37.4908,37.5056,11
2024-04-01 08:47:00,37.4711,37.5204,37.4711,37.5056,24
2024-04-01 08:48:00,37.5402,37.5402,37.5056,37.5056,7
2024-04-01 08:49:00,37.5106,37.5106,37.5007,37.5007,15
2024-04-01 08:50:00,37.5204,37.5204,37.5204,37.5204,2
2024-04-01 08:51:00,37.5204,37.5204,37.5204,37.5204,1
2024-04-01 08:52:00,37.5204,37.5204,37.5106,37.5106,5
2024-04-01 08:55:00,37.5106,37.5204,37.5007,37.5106,116
2024-04-01 08:57:00,37.5106,37.5189,37.4957,37.4957,59
2024-04-01 08:58:00,37.4957,37.4957,37.4957,37.4957,1
2024-04-01 09:00:00,37.5204,37.5204,37.4957,37.4957,2
2024-04-01 09:01:00,37.4908,37.5204,37.4908,37.5204,13
2024-04-01 09:02:00,37.4809,37.5204,37.4809,37.5204,19
2024-04-01 09:03:00,37.5106,37.5204,37.5106,37.5204,111
2024-04-01 09:04:00,37.4957,37.4957,37.4957,37.4957,1
2024-04-01 09:05:00,37.4711,37.4957,37.4711,37.4957,2
2024-04-01 09:06:00,37.4957,37.4957,37.4908,37.4908,1001
2024-04-01 09:07:00,37.4711,37.5204,37.4711,37.5204,21
2024-04-01 09:08:00,37.5204,37.5204,37.4908,37.4908,3
2024-04-01 09:09:00,37.4711,37.5007,37.4711,37.5007,7
2024-04-01 09:10:00,37.5007,37.5007,37.4711,37.5007,213
2024-04-01 09:11:00,37.4711,37.4809,37.4711,37.4809,4
2024-04-01 09:12:00,37.4711,37.4957,37.4711,37.4711,125
2024-04-01 09:13:00,37.4711,37.5007,37.4711,37.5007,85
2024-04-01 09:15:00,37.4809,37.4809,37.4612,37.4809,8795
2024-04-01 09:16:00,37.4612,37.4809,37.4612,37.4809,4101
2024-04-01 09:17:00,37.4760,37.4809,37.4760,37.4809,5
2024-04-01 09:18:00,37.4809,37.4809,37.4711,37.4809,6052
2024-04-01 09:19:00,37.4711,37.4809,37.4711,37.4809,521
2024-04-01 09:20:00,37.4809,37.4809,37.4711,37.4711,38
2024-04-01 09:21:00,37.4809,37.4809,37.4809,37.4809,116
2024-04-01 09:22:00,37.5204,37.5204,37.4809,37.5204,462
2024-04-01 09:23:00,37.4809,37.5007,37.4809,37.4908,27
2024-04-01 09:24:00,37.4908,37.4908,37.4908,37.4908,4432
2024-04-01 09:25:00,37.4908,37.4908,37.4711,37.4908,1006
2024-04-01 09:26:00,37.4711,37.4908,37.4414,37.4414,9330
2024-04-01 09:27:00,37.4612,37.4809,37.4316,37.4316,7507
2024-04-01 09:28:00,37.4414,37.4414,37.4316,37.4414,31
2024-04-01 09:29:00,37.4908,37.5007,37.4316,37.4414,1239
2024-04-01 09:30:00,37.4612,37.8660,37.4513,37.7969,1289929
2024-04-01 09:31:00,37.8018,37.8265,37.6636,37.7327,135493
2024-04-01 09:32:00,37.7278,37.7377,37.5303,37.5352,121657
2024-04-01 09:33:00,37.5303,37.5303,37.4711,37.4859,119480
2024-04-01 09:34:00,37.4908,37.5007,37.3427,37.3526,229140
2024-04-01 09:35:00,37.3476,37.3674,37.2440,37.2489,193383
2024-04-01 09:36:00,37.2440,37.2785,37.1979,37.1995,112923
2024-04-01 09:37:00,37.1995,37.2094,37.1551,37.1847,172056
2024-04-01 09:38:00,37.1946,37.2537,37.1798,37.2292,176423
2024-04-01 09:39:00,37.2292,37.3032,37.2143,37.2884,66526
2024-04-01 09:40:00,37.2835,37.2983,37.2538,37.2785,102044
2024-04-01 09:41:00,37.2785,37.3131,37.2637,37.2884,131314
2024-04-01 09:42:00,37.2884,37.3526,37.2884,37.3180,110684
2024-04-01 09:43:00,37.3131,37.3526,37.2835,37.3328,139237
2024-04-01 09:44:00,37.3378,37.3476,37.2933,37.3279,59755
2024-04-01 09:45:00,37.3279,37.3526,37.2933,37.3131,70237
2024-04-01 09:46:00,37.3131,37.3180,37.2341,37.2588,118856
2024-04-01 09:47:00,37.2588,37.2835,37.2143,37.2292,123593
2024-04-01 09:48:00,37.2341,37.2736,37.2143,37.2637,101249
2024-04-01 09:49:00,37.2538,37.2637,37.2242,37.2390,89916
2024-04-01 09:50:00,37.2292,37.2538,37.2193,37.2390,49996
2024-04-01 09:51:00,37.2440,37.2686,37.2341,37.2538,59046
2024-04-01 09:52:00,37.2588,37.2588,37.2242,37.2472,59943
2024-04-01 09:53:00,37.2440,37.2835,37.2440,37.2637,141124
2024-04-01 09:54:00,37.2637,37.2736,37.2538,37.2637,36777
2024-04-01 09:55:00,37.2686,37.2933,37.2538,37.2736,83192
2024-04-01 09:56:00,37.2637,37.2884,37.2588,37.2835,91221
2024-04-01 09:57:00,37.2835,37.3131,37.2785,37.3081,71408
2024-04-01 09:58:00,37.3033,37.3328,37.2983,37.3032,76097
2024-04-01 09:59:00,37.3032,37.3131,37.2983,37.3123,40552
2024-04-01 10:00:00,37.3032,37.3032,37.2292,37.2292,172980
2024-04-01 10:01:00,37.2538,37.2588,37.2045,37.2342,165953
2024-04-01 10:02:00,37.2440,37.2440,37.2143,37.2341,88518
2024-04-01 10:03:00,37.2292,37.2686,37.2292,37.2489,94019
2024-04-01 10:04:00,37.2489,37.2637,37.1847,37.1897,101498
2024-04-01 10:05:00,37.1897,37.2241,37.1847,37.2045,107309
2024-04-01 10:06:00,37.2045,37.2143,37.1847,37.1995,102801
2024-04-01 10:07:00,37.1995,37.2143,37.1458,37.1458,85492
2024-04-01 10:08:00,37.1502,37.1551,37.1255,37.1452,91900
2024-04-01 10:09:00,37.1354,37.1551,37.1354,37.1502,63007
2024-04-01 10:10:00,37.1551,37.1749,37.1354,37.1749,112854
2024-04-01 10:11:00,37.1798,37.1798,37.1354,37.1699,61424
2024-04-01 10:12:00,37.1650,37.1748,37.1551,37.1699,49975
2024-04-01 10:13:00,37.1699,37.1946,37.1650,37.1897,74207
2024-04-01 10:14:00,37.1946,37.1946,37.1748,37.1897,67148
2024-04-01 10:15:00,37.1847,37.1897,37.1156,37.1156,132396
2024-04-01 10:16:00,37.1156,37.1254,37.0860,37.1008,129710
2024-04-01 10:17:00,37.1008,37.1156,37.0909,37.1008,70724
2024-04-01 10:18:00,37.1008,37.1057,37.0564,37.0712,157986
2024-04-01 10:19:00,37.0712,37.0959,37.0465,37.0761,104265
2024-04-01 10:20:00,37.0810,37.0959,37.0564,37.0959,63040
2024-04-01 10:21:00,37.0909,37.1255,37.0909,37.1205,68748
2024-04-01 10:22:00,37.1205,37.1255,37.1057,37.1156,25694
2024-04-01 10:23:00,37.1107,37.1107,37.0860,37.1057,45547
2024-04-01 10:24:00,37.1107,37.1156,37.0761,37.0959,47664
2024-04-01 10:25:00,37.1008,37.1057,37.0564,37.0564,77566
2024-04-01 10:26:00,37.0564,37.0860,37.0564,37.0761,56631
2024-04-01 10:27:00,37.0761,37.0810,37.0613,37.0662,49857
2024-04-01 10:28:00,37.0712,37.0860,37.0662,37.0712,60841
2024-04-01 10:29:00,37.0712,37.0860,37.0662,37.0761,33475
2024-04-01 10:30:00,37.0810,37.0810,37.0613,37.0662,41589
2024-04-01 10:31:00,37.0712,37.0959,37.0662,37.0810,86956
2024-04-01 10:32:00,37.0860,37.1057,37.0860,37.0960,66700
