,open_BA,high_BA,low_BA,close_BA,volume_BA
2024-04-01 04:00:00,193.8000,193.8700,192.9900,192.9900,169
2024-04-01 04:08:00,193.6400,193.7500,193.6400,193.7000,835
2024-04-01 04:09:00,193.7100,193.7100,193.7100,193.7100,10
2024-04-01 04:11:00,193.8000,193.8900,193.8000,193.8700,81
2024-04-01 04:13:00,193.7600,193.7600,193.7600,193.7600,1
2024-04-01 04:14:00,193.7600,193.7600,193.7600,193.7600,4
2024-04-01 04:20:00,193.8700,193.8700,193.8700,193.8700,17
2024-04-01 04:24:00,193.7700,193.7700,193.7700,193.7700,4
2024-04-01 04:25:00,193.8700,193.8700,193.8700,193.8700,1
2024-04-01 04:28:00,193.7900,193.8400,193.7100,193.7100,201
2024-04-01 04:30:00,193.7400,193.7400,193.7400,193.7400,5
2024-04-01 04:35:00,193.7100,193.7100,193.7100,193.7100,52
2024-04-01 04:36:00,193.7200,193.7200,193.7200,193.7200,100
2024-04-01 04:37:00,193.8000,193.8000,193.8000,193.8000,40
2024-04-01 04:39:00,193.7600,193.7600,193.7600,193.7600,1
2024-04-01 04:40:00,193.8400,193.8400,193.7600,193.7600,38
2024-04-01 04:42:00,193.8500,193.8700,193.8500,193.8700,35
2024-04-01 04:43:00,193.8700,193.8900,193.8700,193.8700,17
2024-04-01 04:44:00,193.8800,193.9000,193.8700,193.8900,130
2024-04-01 04:47:00,193.8900,193.9000,193.8900,193.9000,19
2024-04-01 04:52:00,193.8900,193.8900,193.8900,193.8900,1
2024-04-01 04:54:00,193.8900,193.8900,193.8800,193.8800,97
2024-04-01 04:55:00,193.8700,193.8700,193.8700,193.8700,12
2024-04-01 04:57:00,193.8900,193.9300,193.8700,193.9300,254
2024-04-01 04:58:00,193.9200,193.9300,193.9200,193.9300,210
2024-04-01 05:00:00,193.9300,193.9800,193.9300,193.9300,123
2024-04-01 05:02:00,193.9000,193.9000,193.9000,193.9000,2
2024-04-01 05:05:00,193.9000,193.9000,193.8700,193.8700,5
2024-04-01 05:06:00,193.8700,193.8700,193.8700,193.8700,20
2024-04-01 05:07:00,193.7600,193.8700,193.7600,193.8700,24
2024-04-01 05:10:00,193.8400,193.8700,193.8400,193.8700,100
2024-04-01 05:11:00,193.8400,193.8400,193.8400,193.8400,10
2024-04-01 05:14:00,193.7300,193.7300,193.7300,193.7300,1
2024-04-01 05:18:00,193.7400,193.7400,193.7400,193.7400,15
2024-04-01 05:20:00,193.8400,193.8500,193.8400,193.8500,11
2024-04-01 05:22:00,193.8500,193.8500,193.8500,193.8500,10
2024-04-01 05:23:00,193.8500,193.8500,193.8500,193.8500,3
2024-04-01 05:29:00,193.7600,193.8500,193.7600,193.8500,12
2024-04-01 05:31:00,193.7500,193.7500,193.7500,193.7500,5
2024-04-01 05:33:00,193.8500,193.8500,193.8500,193.8500,4
2024-04-01 05:34:00,193.8500,193.8700,193.8500,193.8700,275
2024-04-01 05:35:00,193.8700,193.8700,193.8700,193.8700,1
2024-04-01 05:42:00,193.8500,193.8500,193.8500,193.8500,4
2024-04-01 05:46:00,193.8600,193.8600,193.8600,193.8600,17
2024-04-01 05:47:00,193.8400,193.8400,193.8400,193.8400,2
2024-04-01 05:49:00,193.7600,193.7600,193.7600,193.7600,7
2024-04-01 05:50:00,193.7600,193.7600,193.7500,193.7500,15
2024-04-01 05:51:00,193.7700,193.7700,193.7700,193.7700,9
2024-04-01 05:57:00,193.8500,193.8500,193.8500,193.8500,1
2024-04-01 05:58:00,193.8000,193.8000,193.7400,193.7400,11
2024-04-01 06:03:00,193.8200,193.8200,193.7600,193.7600,15
2024-04-01 06:04:00,193.8100,193.8100,193.8100,193.8100,1
2024-04-01 06:05:00,193.8200,193.8200,193.8200,193.8200,1
2024-04-01 06:06:00,193.8200,193.8200,193.7300,193.7300,9
2024-04-01 06:07:00,193.8200,193.8200,193.8200,193.8200,20
2024-04-01 06:11:00,193.8000,193.8000,193.7500,193.7500,62
2024-04-01 06:12:00,193.7400,193.7500,193.7000,193.7000,416
2024-04-01 06:13:00,193.7500,193.7500,193.7200,193.7200,38
2024-04-01 06:15:00,193.8200,193.8200,193.8200,193.8200,1
2024-04-01 06:17:00,193.7600,193.7600,193.7600,193.7600,10
2024-04-01 06:18:00,193.7600,193.7600,193.7600,193.7600,1
2024-04-01 06:21:00,193.8000,193.8000,193.8000,193.8000,2
2024-04-01 06:22:00,193.8500,193.8700,193.8400,193.8700,182
2024-04-01 06:25:00,193.8000,193.8000,193.8000,193.8000,1
2024-04-01 06:26:00,193.7700,193.8000,193.7700,193.8000,11
2024-04-01 06:28:00,193.8000,193.8000,193.8000,193.8000,1
2024-04-01 06:35:00,193.8700,193.8700,193.8700,193.8700,2
2024-04-01 06:36:00,193.8700,193.8700,193.8700,193.8700,10
2024-04-01 06:39:00,193.7800,193.8000,193.7600,193.7800,78
2024-04-01 06:40:00,193.7700,193.7700,193.7700,193.7700,14
2024-04-01 06:47:00,193.7700,193.7700,193.7700,193.7700,5
2024-04-01 06:50:00,193.7700,193.7700,193.7600,193.7600,50
2024-04-01 06:51:00,193.7700,193.7700,193.7700,193.7700,2
2024-04-01 06:52:00,193.8600,193.8600,193.8600,193.8600,10
2024-04-01 06:56:00,193.8600,193.8600,193.7700,193.7700,21
2024-04-01 06:57:00,193.8600,193.8600,193.8600,193.8600,6
2024-04-01 07:00:00,193.7500,193.8600,193.5400,193.5400,541
2024-04-01 07:01:00,193.5900,193.6000,193.5000,193.5100,462
2024-04-01 07:02:00,193.5200,193.5200,193.4800,193.4800,1117
2024-04-01 07:04:00,193.3800,193.4200,193.1600,193.4200,968
