,open_CVX,high_CVX,low_CVX,close_CVX,volume_CVX
2024-04-01 04:00:00,154.4453,155.0034,154.3083,154.4062,155
2024-04-01 04:01:00,154.6118,155.0034,154.6118,155.0034,4
2024-04-01 04:03:00,155.1014,155.1014,154.6118,154.6118,15
2024-04-01 04:07:00,154.7097,154.7097,154.7097,154.7097,25
2024-04-01 04:08:00,155.1699,155.1699,155.1699,155.1699,9
2024-04-01 04:09:00,155.1699,155.1699,155.1699,155.1699,3
2024-04-01 04:12:00,155.1307,155.1797,155.1307,155.1797,500
2024-04-01 04:15:00,155.1307,155.1307,155.1307,155.1307,11
2024-04-01 04:18:00,155.1601,155.1797,155.1601,155.1699,133
2024-04-01 04:19:00,155.1209,155.1209,155.1209,155.1209,1
2024-04-01 04:20:00,154.6412,155.1209,154.6412,155.1209,6
2024-04-01 04:27:00,155.1209,155.1209,155.1209,155.1209,2
2024-04-01 04:36:00,154.7391,154.7391,154.7391,154.7391,9
2024-04-01 04:47:00,154.7097,154.7097,154.7097,154.7097,2
2024-04-01 04:51:00,155.0818,155.0818,155.0818,155.0818,29
2024-04-01 04:52:00,155.0818,155.0818,155.0818,155.0818,1
2024-04-01 04:54:00,155.1307,155.1307,155.1307,155.1307,1
2024-04-01 05:02:00,155.1209,155.1209,155.1209,155.1209,1
2024-04-01 05:08:00,155.1209,155.1209,155.1209,155.1209,2
2024-04-01 05:10:00,155.1209,155.1209,155.0818,155.0818,21
2024-04-01 05:11:00,154.9741,154.9741,154.9741,154.9741,1
2024-04-01 05:12:00,154.9447,155.0230,154.7391,154.7391,12
2024-04-01 05:14:00,154.7195,154.7195,154.7195,154.7195,10
2024-04-01 05:19:00,154.7587,154.7587,154.7587,154.7587,4
2024-04-01 05:30:00,154.9936,154.9936,154.9936,154.9936,14
2024-04-01 05:31:00,154.8272,154.8272,154.7391,154.7391,53
2024-04-01 05:33:00,154.9349,154.9349,154.9349,154.9349,2
2024-04-01 05:34:00,154.8566,154.8566,154.8566,154.8566,1
2024-04-01 05:48:00,154.8566,154.9545,154.8566,154.9545,2
2024-04-01 05:50:00,154.7782,154.7782,154.7782,154.7782,7
2024-04-01 05:51:00,154.8174,154.8174,154.7587,154.8174,45
2024-04-01 05:53:00,154.7587,154.7587,154.7587,154.7587,25
2024-04-01 05:58:00,154.8664,154.9153,154.8664,154.9153,6
2024-04-01 06:03:00,155.0524,155.0524,155.0524,155.0524,2
2024-04-01 06:06:00,155.0524,155.0524,155.0524,155.0524,5
2024-04-01 06:07:00,155.0524,155.0524,155.0524,155.0524,20
2024-04-01 06:08:00,155.0916,155.0916,155.0916,155.0916,25
2024-04-01 06:11:00,154.9153,154.9153,154.9153,154.9153,1
2024-04-01 06:12:00,155.1209,155.1307,155.1209,155.1307,8
2024-04-01 06:13:00,155.1209,155.1209,154.9447,154.9447,9
2024-04-01 06:16:00,155.0916,155.0916,155.0916,155.0916,2
2024-04-01 06:19:00,155.0818,155.0818,154.9545,154.9545,2
2024-04-01 06:20:00,155.0818,155.1699,155.0818,155.1699,145
2024-04-01 06:21:00,155.1209,155.1209,155.1209,155.1209,315
2024-04-01 06:22:00,155.1209,155.1209,155.1209,155.1209,25
2024-04-01 06:26:00,155.1209,155.1209,155.1209,155.1209,10
2024-04-01 06:30:00,154.9349,154.9349,154.9349,154.9349,4
2024-04-01 06:31:00,155.0818,155.0818,155.0818,155.0818,1
2024-04-01 06:39:00,154.9936,154.9936,154.9936,154.9936,3
2024-04-01 06:51:00,155.0034,155.0034,154.9936,154.9936,44
2024-04-01 06:53:00,154.9447,154.9936,154.7880,154.9839,138
2024-04-01 06:54:00,154.9936,154.9936,154.9936,154.9936,5
2024-04-01 06:57:00,154.9936,154.9936,154.9936,154.9936,22
2024-04-01 07:00:00,155.0132,155.0132,154.6999,154.6999,601
2024-04-01 07:01:00,154.8566,154.9447,154.8566,154.9447,26
2024-04-01 07:02:00,154.7195,154.7195,154.7195,154.7195,7
2024-04-01 07:03:00,154.8957,155.1209,154.7685,155.0328,757
2024-04-01 07:04:00,155.1111,155.1111,155.0524,155.0916,1145
2024-04-01 07:07:00,154.7880,154.7880,154.7880,154.7880,1
