,open_DE,high_DE,low_DE,close_DE,volume_DE
2024-04-01 04:00:00,407.7141,407.7141,407.7141,407.7141,1
2024-04-01 04:11:00,410.6819,410.6819,410.6819,410.6819,4
2024-04-01 05:24:00,409.4412,409.4412,409.4412,409.4412,1
2024-04-01 07:00:00,408.0615,408.9449,407.5851,407.5851,148
2024-04-01 07:05:00,408.3494,408.4486,408.3494,408.4486,23
2024-04-01 07:10:00,408.9449,408.9449,408.9449,408.9449,27
2024-04-01 07:21:00,408.9449,408.9449,408.9449,408.9449,24
2024-04-01 07:25:00,408.9549,408.9549,408.9449,408.9449,70
2024-04-01 07:35:00,408.6472,408.8457,408.6472,408.8457,22
2024-04-01 07:36:00,408.9350,408.9449,408.9350,408.9449,15
2024-04-01 07:41:00,408.9549,408.9549,408.9449,408.9449,30
2024-04-01 08:00:00,410.0169,416.8360,406.9598,407.6943,56
2024-04-01 08:01:00,407.6943,407.6943,407.6943,407.6943,2
2024-04-01 08:02:00,407.7042,407.7935,407.6943,407.6943,13
2024-04-01 08:04:00,407.9523,407.9523,407.9523,407.9523,11
2024-04-01 08:05:00,408.3593,408.3593,408.3593,408.3593,3
2024-04-01 08:11:00,408.8457,408.8457,408.8457,408.8457,16
2024-04-01 08:15:00,408.9449,408.9449,408.9449,408.9449,2
2024-04-01 08:22:00,409.7985,409.7985,409.7985,409.7985,1
2024-04-01 08:37:00,408.9350,408.9449,408.9350,408.9449,7
2024-04-01 08:41:00,408.5280,408.5280,408.5280,408.5280,1
2024-04-01 08:50:00,408.5082,408.5578,408.5082,408.5578,8
2024-04-01 09:00:00,408.5677,408.5677,408.5578,408.5578,2
2024-04-01 09:05:00,407.6943,407.6943,407.6943,407.6943,1
2024-04-01 09:12:00,408.1906,408.1906,408.1906,408.1906,12
2024-04-01 09:15:00,408.2005,408.2997,408.2005,408.2997,25
2024-04-01 09:16:00,408.5380,408.5380,408.5380,408.5380,1
2024-04-01 09:18:00,408.0615,408.0715,407.4759,407.4759,111
2024-04-01 09:25:00,377.1822,407.3163,377.1822,407.3163,2
2024-04-01 09:28:00,407.5057,407.5057,407.5057,407.5057,30
2024-04-01 09:29:00,408.9449,408.9449,406.7513,408.9449,346
2024-04-01 09:30:00,407.1285,408.8655,407.1285,408.2700,22740
2024-04-01 09:31:00,408.2700,408.2700,407.1781,407.8432,5888
2024-04-01 09:32:00,407.5057,407.5057,406.5726,406.5726,5979
2024-04-01 09:33:00,406.5726,406.7265,404.9746,405.0887,14991
2024-04-01 09:34:00,405.1731,405.4411,404.2202,404.5130,9871
2024-04-01 09:35:00,404.2401,404.3443,403.7239,404.3393,3636
2024-04-01 09:36:00,404.9149,404.9149,402.9199,404.2897,4565
2024-04-01 09:37:00,403.4708,403.4965,402.0167,402.4137,4372
2024-04-01 09:38:00,402.7462,402.9249,402.2946,402.9249,2628
2024-04-01 09:39:00,403.0837,404.0912,402.9100,403.6247,4063
2024-04-01 09:40:00,404.2301,404.4088,403.3964,403.5899,5073
2024-04-01 09:41:00,404.0267,404.3790,403.5353,403.6247,2869
2024-04-01 09:42:00,403.5949,403.5949,403.1433,403.3666,1643
2024-04-01 09:43:00,403.4361,404.0217,402.9894,402.9894,10058
2024-04-01 09:44:00,402.7065,403.0390,402.2053,403.0192,6053
2024-04-01 09:45:00,403.1780,403.1780,403.1681,403.1681,616
2024-04-01 09:46:00,403.1979,403.3070,402.5775,402.5775,7263
2024-04-01 09:47:00,402.7611,402.9100,402.4187,402.4187,2016
2024-04-01 09:48:00,402.8505,403.4162,402.6718,403.3567,4926
2024-04-01 09:49:00,403.5899,403.5899,402.8207,402.8207,5052
2024-04-01 09:50:00,402.7909,403.1979,402.7909,402.8108,1639
2024-04-01 09:51:00,403.0142,403.2872,403.0142,403.1929,1907
