,open_F,high_F,low_F,close_F,volume_F
2024-04-01 04:00:00,12.9491,12.9881,12.9005,12.9102,586
2024-04-01 04:01:00,12.9394,13.0075,12.9200,13.0075,166
2024-04-01 04:03:00,12.9783,12.9783,12.9783,12.9783,1
2024-04-01 04:07:00,12.9783,12.9881,12.9783,12.9881,2
2024-04-01 04:09:00,12.9978,13.0075,12.9978,13.0075,160
2024-04-01 04:12:00,12.9881,13.0075,12.9881,13.0075,50
2024-04-01 04:16:00,12.9978,12.9978,12.9978,12.9978,1
2024-04-01 04:29:00,12.9978,12.9978,12.9978,12.9978,200
2024-04-01 04:43:00,12.9978,12.9978,12.9978,12.9978,121
2024-04-01 04:46:00,12.9978,12.9978,12.9978,12.9978,2
2024-04-01 04:54:00,12.9297,12.9491,12.9297,12.9297,16
2024-04-01 04:55:00,12.9978,12.9978,12.9978,12.9978,100
2024-04-01 05:01:00,12.9881,12.9881,12.9589,12.9589,2
2024-04-01 05:02:00,12.9589,12.9589,12.9589,12.9589,1
2024-04-01 05:04:00,12.9589,12.9589,12.9589,12.9589,1
2024-04-01 05:05:00,12.9978,12.9978,12.9978,12.9978,1
2024-04-01 05:09:00,12.9978,12.9978,12.9978,12.9978,5
2024-04-01 05:12:00,12.9589,12.9783,12.9589,12.9589,13
2024-04-01 05:13:00,12.9881,12.9881,12.9881,12.9881,1
2024-04-01 05:15:00,12.9589,12.9589,12.9589,12.9589,1
2024-04-01 05:17:00,12.9881,12.9881,12.9881,12.9881,5
2024-04-01 05:19:00,12.9881,12.9881,12.9881,12.9881,7
2024-04-01 05:25:00,12.9881,12.9881,12.9491,12.9491,239
2024-04-01 05:28:00,12.9881,12.9978,12.9881,12.9978,399
2024-04-01 05:32:00,12.9881,12.9881,12.9881,12.9881,74
2024-04-01 05:42:00,12.9881,12.9881,12.9881,12.9881,2
2024-04-01 05:43:00,12.9978,12.9978,12.9978,12.9978,100
2024-04-01 05:44:00,12.9978,12.9978,12.9929,12.9929,104
2024-04-01 05:45:00,12.9978,12.9978,12.9978,12.9978,105
2024-04-01 05:46:00,12.9881,12.9978,12.9881,12.9978,49
2024-04-01 05:47:00,12.9978,12.9978,12.9978,12.9978,2
2024-04-01 05:48:00,12.9881,12.9881,12.9881,12.9881,94
2024-04-01 05:49:00,12.9978,12.9978,12.9978,12.9978,71
2024-04-01 05:55:00,12.9978,12.9978,12.9978,12.9978,1
2024-04-01 05:59:00,12.9978,12.9978,12.9978,12.9978,1
2024-04-01 06:05:00,12.9881,12.9881,12.9881,12.9881,700
2024-04-01 06:08:00,12.9978,12.9978,12.9978,12.9978,100
2024-04-01 06:09:00,12.9978,12.9978,12.9978,12.9978,943
2024-04-01 06:10:00,12.9881,13.0367,12.9881,13.0172,21475
2024-04-01 06:13:00,13.0075,13.0075,13.0075,13.0075,10
2024-04-01 06:14:00,13.0270,13.0562,13.0172,13.0562,2705
2024-04-01 06:15:00,13.0562,13.0562,13.0562,13.0562,1790
2024-04-01 06:21:00,13.0367,13.0367,13.0367,13.0367,3
2024-04-01 06:23:00,13.0367,13.0367,13.0367,13.0367,1
2024-04-01 06:25:00,13.0367,13.0367,13.0367,13.0367,6
2024-04-01 06:26:00,13.0367,13.0562,13.0367,13.0562,254
2024-04-01 06:27:00,13.0464,13.0562,13.0367,13.0562,941
2024-04-01 06:31:00,13.0075,13.0075,13.0075,13.0075,50
2024-04-01 06:33:00,13.0075,13.0075,13.0075,13.0075,149
2024-04-01 06:35:00,13.0172,13.0172,13.0172,13.0172,2
2024-04-01 06:37:00,12.9881,12.9881,12.9881,12.9881,1
2024-04-01 06:39:00,13.0172,13.0172,13.0172,13.0172,1
2024-04-01 06:41:00,13.0075,13.0075,13.0075,13.0075,100
2024-04-01 06:43:00,13.0075,13.0075,12.9978,12.9978,120
2024-04-01 06:46:00,12.9978,12.9978,12.9978,12.9978,2
2024-04-01 06:47:00,12.9978,12.9978,12.9978,12.9978,48
2024-04-01 06:50:00,12.9978,12.9978,12.9978,12.9978,149
2024-04-01 06:52:00,12.9978,13.0075,12.9978,13.0075,115
2024-04-01 06:56:00,13.0075,13.0172,13.0075,13.0172,57
2024-04-01 06:58:00,13.0367,13.0367,13.0367,13.0367,186
2024-04-01 06:59:00,13.0367,13.0367,13.0270,13.0270,54
2024-04-01 07:00:00,13.0172,13.0367,12.9491,12.9881,17846
2024-04-01 07:03:00,12.9881,12.9881,12.9881,12.9881,60
2024-04-01 07:05:00,12.9783,12.9783,12.9783,12.9783,1
2024-04-01 07:06:00,12.9783,12.9783,12.9783,12.9783,450
2024-04-01 07:07:00,12.9783,12.9978,12.9783,12.9978,1620
2024-04-01 07:11:00,12.9783,12.9881,12.9783,12.9881,311
2024-04-01 07:12:00,12.9881,12.9881,12.9881,12.9881,1
2024-04-01 07:13:00,12.9978,12.9978,12.9978,12.9978,1908
2024-04-01 07:17:00,12.9978,12.9978,12.9978,12.9978,3
2024-04-01 07:19:00,12.9881,12.9881,12.9881,12.9881,848
2024-04-01 07:20:00,12.9881,12.9881,12.9881,12.9881,947
2024-04-01 07:21:00,12.9783,12.9783,12.9783,12.9783,61
2024-04-01 07:22:00,12.9783,12.9783,12.9686,12.9686,600
2024-04-01 07:28:00,12.9783,12.9783,12.9783,12.9783,150
2024-04-01 07:33:00,12.9881,12.9881,12.9881,12.9881,17
2024-04-01 07:40:00,12.9881,12.9978,12.9881,12.9978,614
2024-04-01 07:41:00,12.9881,12.9881,12.9881,12.9881,50
2024-04-01 07:43:00,12.9978,12.9978,12.9978,12.9978,85
2024-04-01 07:44:00,12.9978,12.9978,12.9978,12.9978,2
2024-04-01 07:45:00,12.9881,12.9881,12.9881,12.9881,6
2024-04-01 07:47:00,12.9978,12.9978,12.9978,12.9978,10
2024-04-01 07:57:00,12.9978,12.9978,12.9978,12.9978,50
2024-04-01 08:00:00,13.0639,13.0639,12.9200,12.9200,47267
2024-04-01 08:01:00,12.9200,13.0075,12.9200,13.0075,1068
2024-04-01 08:02:00,13.0026,13.0270,12.9200,13.0270,11690
2024-04-01 08:03:00,12.9978,13.0367,12.9200,13.0367,1604
2024-04-01 08:04:00,13.0367,13.0367,12.9394,12.9881,5116
2024-04-01 08:05:00,12.9978,13.0270,12.9394,13.0270,5408
2024-04-01 08:06:00,12.9394,13.0075,12.9394,12.9881,5486
2024-04-01 08:07:00,12.9881,12.9881,12.9783,12.9880,1083
2024-04-01 08:08:00,12.9783,12.9783,12.9686,12.9783,20
2024-04-01 08:09:00,12.9735,12.9783,12.9735,12.9783,21
2024-04-01 08:10:00,12.9783,12.9783,12.9783,12.9783,161
2024-04-01 08:12:00,12.9783,12.9881,12.9783,12.9783,611
2024-04-01 08:13:00,12.9783,12.9783,12.9686,12.9783,1601
2024-04-01 08:14:00,12.9881,12.9881,12.9686,12.9783,298
2024-04-01 08:15:00,12.9881,12.9881,12.9783,12.9881,425
2024-04-01 08:16:00,12.9881,12.9881,12.9686,12.9686,1208
2024-04-01 08:17:00,12.9881,12.9881,12.9686,12.9783,8
2024-04-01 08:18:00,12.9872,12.9881,12.9783,12.9783,19
2024-04-01 08:19:00,12.9783,12.9881,12.9686,12.9686,1024
2024-04-01 08:20:00,12.9686,12.9881,12.9686,12.9686,189
2024-04-01 08:21:00,12.9881,12.9881,12.9686,12.9878,173
2024-04-01 08:22:00,12.9686,12.9881,12.9686,12.9881,11
2024-04-01 08:23:00,12.9881,12.9881,12.9783,12.9881,171
2024-04-01 08:24:00,12.9881,12.9881,12.9783,12.9783,1082
2024-04-01 08:25:00,12.9783,12.9881,12.9686,12.9881,92
2024-04-01 08:26:00,12.9876,12.9881,12.9876,12.9881,9
