,open_GE,high_GE,low_GE,close_GE,volume_GE
2024-04-01 04:00:00,141.1287,141.1287,140.4617,140.4617,256
2024-04-01 04:01:00,141.0017,141.0017,140.4617,140.4617,6
2024-04-01 04:02:00,140.9222,140.9222,140.9222,140.9222,1
2024-04-01 04:05:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 04:07:00,140.4299,140.4299,140.4299,140.4299,15
2024-04-01 04:08:00,140.9064,140.9064,140.9064,140.9064,15
2024-04-01 04:10:00,140.4299,140.4299,140.4299,140.4299,25
2024-04-01 04:18:00,140.8905,140.8905,140.8905,140.8905,2
2024-04-01 04:20:00,140.8667,140.8667,140.8667,140.8667,1
2024-04-01 04:22:00,140.8905,140.8905,140.8905,140.8905,1
2024-04-01 04:25:00,140.8905,140.8905,140.8905,140.8905,1
2024-04-01 04:30:00,140.8825,140.8825,140.8825,140.8825,6
2024-04-01 04:34:00,140.5729,140.5808,140.5729,140.5808,12
2024-04-01 04:37:00,140.4299,140.4299,140.4299,140.4299,25
2024-04-01 04:42:00,140.8825,140.8825,140.8825,140.8825,5
2024-04-01 04:44:00,140.5570,140.5570,140.5490,140.5490,176
2024-04-01 04:47:00,140.5490,140.5490,140.5490,140.5490,6
2024-04-01 04:48:00,140.5490,140.5490,140.5490,140.5490,3
2024-04-01 04:49:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:04:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:06:00,140.5570,140.5570,140.5490,140.5490,245
2024-04-01 05:07:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:08:00,140.5490,140.5490,140.5490,140.5490,3
2024-04-01 05:11:00,140.5490,140.5490,140.5490,140.5490,91
2024-04-01 05:12:00,140.5490,140.5490,140.5490,140.5490,26
2024-04-01 05:14:00,140.5570,140.5570,140.5570,140.5570,11
2024-04-01 05:19:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:22:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:27:00,140.5490,140.5490,140.5490,140.5490,15
2024-04-01 05:29:00,140.5490,140.5490,140.5490,140.5490,46
2024-04-01 05:34:00,140.5490,140.5490,140.5490,140.5490,1
2024-04-01 05:35:00,140.5490,140.5490,140.5490,140.5490,11
2024-04-01 05:48:00,140.4220,140.4220,140.3902,140.3902,6
2024-04-01 05:52:00,140.5332,140.5332,140.5332,140.5332,8
2024-04-01 05:58:00,140.5332,140.5490,140.5332,140.5490,68
2024-04-01 05:59:00,140.5332,140.5332,140.5332,140.5332,40
2024-04-01 06:00:00,140.5490,140.5490,140.5490,140.5490,5
2024-04-01 06:02:00,140.5332,140.5332,140.5332,140.5332,1
2024-04-01 06:04:00,140.5332,140.5332,140.5332,140.5332,1
2024-04-01 06:05:00,140.5332,140.5332,140.5332,140.5332,2
2024-04-01 06:06:00,140.5332,140.5332,140.5332,140.5332,2
2024-04-01 06:09:00,140.5332,140.5332,140.5332,140.5332,1
2024-04-01 06:12:00,140.5332,140.5490,140.5332,140.5490,22
2024-04-01 06:13:00,140.3982,140.3982,140.3982,140.3982,2
2024-04-01 06:15:00,140.5332,140.5332,140.3982,140.3982,6
2024-04-01 06:18:00,140.4617,140.4617,140.4617,140.4617,20
2024-04-01 06:20:00,140.4696,140.4696,140.4696,140.4696,12
2024-04-01 06:24:00,140.4696,140.4696,140.4696,140.4696,626
2024-04-01 06:26:00,140.4617,140.4617,140.4617,140.4617,37
2024-04-01 06:27:00,140.4696,140.4696,140.4696,140.4696,62
2024-04-01 06:29:00,140.4617,140.4617,140.3902,140.4537,62
2024-04-01 06:34:00,140.4696,140.4696,140.4696,140.4696,3
2024-04-01 06:37:00,140.4696,140.4696,140.4696,140.4696,1
2024-04-01 06:43:00,140.4537,140.4537,140.4379,140.4379,12
2024-04-01 06:45:00,140.4537,140.4537,140.4537,140.4537,1
2024-04-01 06:46:00,140.3902,140.3902,140.3902,140.3902,6
2024-04-01 06:51:00,140.3902,140.3902,140.2632,140.2632,16
2024-04-01 07:00:00,140.3505,140.3505,138.7624,138.7624,5307
2024-04-01 07:01:00,139.3818,139.3818,139.3421,139.3421,7
2024-04-01 07:02:00,139.2785,139.7550,139.2785,139.7550,150
2024-04-01 07:04:00,139.7550,140.3346,139.7550,140.3346,374
2024-04-01 07:05:00,140.4299,140.5570,140.3346,140.5570,3236
2024-04-01 07:06:00,140.3188,140.3188,140.3188,140.3188,33
2024-04-01 07:08:00,140.3823,140.3823,140.1520,140.2394,169
2024-04-01 07:10:00,140.1123,140.1123,140.0726,140.0726,375
2024-04-01 07:11:00,140.0726,140.0726,140.0726,140.0726,12
2024-04-01 07:14:00,140.0726,140.0726,139.7550,139.7550,238
2024-04-01 07:16:00,139.7391,139.7391,139.7391,139.7391,15
2024-04-01 07:18:00,140.0726,140.0726,139.9455,139.9535,52
2024-04-01 07:20:00,140.0091,140.0091,140.0091,140.0091,2
2024-04-01 07:23:00,140.0726,140.0726,140.0091,140.0091,187
2024-04-01 07:24:00,140.0091,140.0091,140.0091,140.0091,42
2024-04-01 07:28:00,140.0805,140.0805,140.0170,140.0170,62
2024-04-01 07:30:00,140.1520,140.1520,140.1520,140.1520,62
2024-04-01 07:31:00,140.1282,140.1282,140.1282,140.1282,375
2024-04-01 07:33:00,140.1520,140.1520,140.1520,140.1520,11
2024-04-01 07:38:00,140.1520,140.1520,140.0091,140.1520,151
2024-04-01 07:41:00,140.0647,140.0647,140.0647,140.0647,1
2024-04-01 07:42:00,140.1520,140.1520,140.1520,140.1520,50
2024-04-01 07:43:00,140.1520,140.1520,140.1520,140.1520,151
2024-04-01 07:48:00,140.1917,140.1917,140.1917,140.1917,33
2024-04-01 07:50:00,140.2076,140.2155,140.2076,140.2155,22
2024-04-01 07:51:00,140.2314,140.2314,140.1917,140.1917,20
2024-04-01 07:54:00,140.2314,140.2314,140.1838,140.1838,114
2024-04-01 07:55:00,140.1520,140.1520,140.1520,140.1520,8
2024-04-01 07:56:00,140.2314,140.2314,140.2314,140.2314,2
2024-04-01 07:58:00,140.1996,140.1996,140.1996,140.1996,1
2024-04-01 07:59:00,140.1917,140.1917,140.1917,140.1917,1
2024-04-01 08:00:00,140.2870,140.8951,139.3579,139.3818,2687
2024-04-01 08:01:00,140.1520,140.5014,140.0091,140.4220,55
2024-04-01 08:02:00,139.3818,140.4379,139.3818,139.3818,75
2024-04-01 08:03:00,139.3818,140.4537,139.3818,140.0805,238
2024-04-01 08:04:00,139.9932,140.4458,139.9932,140.3505,240
2024-04-01 08:05:00,140.1520,140.4061,139.9932,140.3585,402
2024-04-01 08:06:00,140.3426,140.8667,139.7550,139.7550,358
2024-04-01 08:07:00,139.7550,140.1520,139.7550,140.1520,140
2024-04-01 08:08:00,139.7975,139.7975,139.7975,139.7975,1
2024-04-01 08:09:00,140.1123,140.1123,139.9138,140.1123,81
2024-04-01 08:10:00,139.7550,139.7550,139.7550,139.7550,395
2024-04-01 08:11:00,140.3108,140.3108,140.3108,140.3108,2
2024-04-01 08:12:00,140.0885,140.0885,139.7709,139.7788,28
2024-04-01 08:13:00,140.3108,140.3108,140.3108,140.3108,1
2024-04-01 08:14:00,140.2969,140.2969,140.2969,140.2969,2
2024-04-01 08:15:00,139.7788,139.7788,139.7788,139.7788,5
2024-04-01 08:17:00,139.7788,140.0726,139.7788,140.0726,56
2024-04-01 08:19:00,139.9932,139.9932,139.9932,139.9932,125
2024-04-01 08:20:00,140.0726,140.0726,140.0726,140.0726,31
2024-04-01 08:21:00,139.9138,139.9138,139.8344,139.8344,751
2024-04-01 08:22:00,139.8344,139.8344,139.8344,139.8344,250
2024-04-01 08:23:00,139.8344,139.8344,139.8344,139.8344,2
2024-04-01 08:24:00,139.8423,139.9138,139.7550,139.7550,941
2024-04-01 08:25:00,139.4676,139.4676,139.4676,139.4676,250
2024-04-01 08:27:00,139.7550,139.7550,139.7550,139.7550,125
2024-04-01 08:28:00,139.7947,139.7947,139.4373,139.4373,1295
2024-04-01 08:29:00,139.4373,139.4373,139.4373,139.4373,3
2024-04-01 08:30:00,139.7153,139.7153,139.7153,139.7153,1
2024-04-01 08:31:00,139.7152,139.7152,139.7152,139.7152,125
2024-04-01 08:32:00,139.7153,139.7153,139.6597,139.7153,141
2024-04-01 08:33:00,139.7153,139.7153,139.7153,139.7153,2
2024-04-01 08:34:00,139.6438,139.6756,139.6438,139.6756,187
2024-04-01 08:35:00,139.6756,139.6756,139.6120,139.6756,255
2024-04-01 08:36:00,139.7153,139.7867,139.7153,139.7629,927
2024-04-01 08:37:00,139.5732,139.7550,139.5732,139.7550,22
2024-04-01 08:38:00,139.8249,139.8249,139.8249,139.8249,1
2024-04-01 08:39:00,139.7709,139.7709,139.7709,139.7709,1
2024-04-01 08:40:00,139.8344,139.8344,139.8344,139.8344,35
2024-04-01 08:42:00,139.8264,139.8344,139.8264,139.8344,135
2024-04-01 08:44:00,139.7550,139.8344,139.6279,139.6279,274
2024-04-01 08:45:00,139.8344,139.8344,139.6279,139.8106,26
2024-04-01 08:46:00,139.4771,139.8344,139.4771,139.6359,105
2024-04-01 08:47:00,139.6517,139.6517,139.6517,139.6517,10
2024-04-01 08:48:00,139.7550,139.8344,139.7550,139.8344,243
2024-04-01 08:49:00,139.8344,140.0726,139.8026,140.0726,576
2024-04-01 08:50:00,140.0726,140.0726,139.9115,140.0647,1528
2024-04-01 08:51:00,140.0647,142.2285,140.0011,142.2285,226
2024-04-01 08:52:00,140.0643,140.0647,140.0327,140.0647,1491
2024-04-01 08:53:00,140.0726,140.0726,139.9773,140.0726,1331
2024-04-01 08:54:00,139.9853,140.0726,139.9853,140.0726,92
2024-04-01 08:55:00,140.0647,140.0647,140.0643,140.0643,126
2024-04-01 08:56:00,140.0647,140.0647,139.8344,139.8344,1021
2024-04-01 08:57:00,139.9932,139.9932,139.9932,139.9932,7
2024-04-01 08:58:00,139.9932,139.9932,139.9058,139.9614,407
2024-04-01 08:59:00,139.9932,139.9932,139.8344,139.9932,813
2024-04-01 09:00:00,139.9932,139.9932,139.9455,139.9932,1274
2024-04-01 09:01:00,139.9932,140.0647,139.9932,140.0329,344
2024-04-01 09:02:00,139.9535,140.0329,139.9535,140.0329,71
2024-04-01 09:03:00,139.9932,140.0329,139.9455,139.9455,6415
2024-04-01 09:04:00,139.9932,139.9932,139.9138,139.9138,408
2024-04-01 09:05:00,139.3818,140.0647,139.3818,140.0372,30
2024-04-01 09:06:00,139.9773,140.0647,139.9773,140.0647,136
2024-04-01 09:07:00,140.0567,140.0567,140.0567,140.0567,1
2024-04-01 09:08:00,139.9376,140.0646,139.9376,140.0567,286
2024-04-01 09:09:00,139.9297,139.9297,139.9297,139.9297,125
2024-04-01 09:10:00,139.8503,140.0488,139.8503,140.0488,15
2024-04-01 09:11:00,140.0246,140.0246,140.0246,140.0246,1
2024-04-01 09:12:00,139.7867,139.9773,139.7867,139.9694,172
2024-04-01 09:13:00,139.9694,139.9694,139.7867,139.8503,194
2024-04-01 09:14:00,139.8344,139.9376,139.7550,139.9376,482
2024-04-01 09:15:00,139.7788,139.8979,139.7550,139.8979,50
2024-04-01 09:16:00,139.8979,139.8979,139.7550,139.8900,42
2024-04-01 09:17:00,139.7550,139.7550,139.7550,139.7550,268
2024-04-01 09:18:00,139.8820,139.8979,139.7550,139.7550,132
2024-04-01 09:19:00,139.7867,139.7867,139.5565,139.5565,2775
2024-04-01 09:20:00,139.6994,139.6994,139.4850,139.4850,157
2024-04-01 09:21:00,139.6676,139.6994,139.6676,139.6994,142
2024-04-01 09:22:00,139.6676,139.6994,139.6676,139.6676,58
2024-04-01 09:23:00,139.5565,139.5882,139.5565,139.5882,350
2024-04-01 09:24:00,139.5882,139.5962,139.5882,139.5882,706
2024-04-01 09:25:00,139.6676,139.6676,139.5962,139.5962,31
2024-04-01 09:26:00,139.5962,139.5962,139.5962,139.5962,7
2024-04-01 09:27:00,139.6676,139.7312,139.5962,139.6676,528
2024-04-01 09:28:00,139.6756,139.6756,139.6756,139.6756,1
2024-04-01 09:29:00,139.6914,139.7153,139.4215,139.4215,1720
2024-04-01 09:30:00,139.4373,139.7805,139.2468,139.3738,137715
2024-04-01 09:31:00,139.3421,139.4453,139.0919,139.4453,26011
2024-04-01 09:32:00,139.4413,139.4413,138.8339,138.9609,45455
2024-04-01 09:33:00,139.1356,139.3302,138.7227,138.7227,21996
2024-04-01 09:34:00,138.8011,138.9291,138.2940,138.3376,82392
2024-04-01 09:35:00,138.3376,138.8656,138.3376,138.4130,30427
2024-04-01 09:36:00,138.4607,138.4607,137.9292,138.0001,83893
2024-04-01 09:37:00,138.0080,138.0636,137.6984,137.9127,63598
2024-04-01 09:38:00,137.9286,138.7148,137.9008,138.7148,61355
2024-04-01 09:39:00,138.6750,138.8418,138.5956,138.8418,29173
2024-04-01 09:40:00,138.8180,138.8180,138.6036,138.6473,18466
2024-04-01 09:41:00,138.6552,138.6750,138.5321,138.6234,29603
2024-04-01 09:42:00,138.6671,138.6671,138.3733,138.4209,44502
2024-04-01 09:43:00,138.4289,138.6671,138.3713,138.5877,33676
2024-04-01 09:44:00,138.6274,138.9371,138.6274,138.8736,18989
2024-04-01 09:45:00,138.8497,139.0483,138.8239,138.8339,19325
2024-04-01 09:46:00,138.8497,138.8497,138.6989,138.8405,13380
2024-04-01 09:47:00,138.8736,138.8736,138.6830,138.6989,9705
2024-04-01 09:48:00,138.6969,138.7703,138.6334,138.6334,16459
2024-04-01 09:49:00,138.6989,138.7505,138.5083,138.5798,11293
2024-04-01 09:50:00,138.5559,138.7862,138.4368,138.6512,26831
2024-04-01 09:51:00,138.6830,138.7465,138.6036,138.6731,21284
2024-04-01 09:52:00,138.6433,138.7386,138.5718,138.5956,14957
2024-04-01 09:53:00,138.5639,138.5639,138.2780,138.3415,37547
2024-04-01 09:54:00,138.3415,138.6909,138.3415,138.6830,24687
2024-04-01 09:55:00,138.6909,138.7545,138.5042,138.5718,20737
2024-04-01 09:56:00,138.5222,138.5877,138.5143,138.5639,11338
2024-04-01 09:57:00,138.5361,138.6155,138.4507,138.4765,11364
2024-04-01 09:58:00,138.4646,138.5083,138.4289,138.4765,15633
2024-04-01 09:59:00,138.4607,138.4607,138.2621,138.3693,18303
2024-04-01 10:00:00,138.3495,138.3693,138.2383,138.3098,23031
2024-04-01 10:01:00,138.3018,138.4765,138.2463,138.4765,18600
2024-04-01 10:02:00,138.4930,138.5162,138.2463,138.3018,19005
2024-04-01 10:03:00,138.3257,138.3495,138.2542,138.2939,5882
2024-04-01 10:04:00,138.2463,138.3257,138.1668,138.2143,24779
2024-04-01 10:05:00,138.1708,138.3852,138.1589,138.3852,12037
2024-04-01 10:06:00,138.4011,138.4011,138.3495,138.3495,3332
2024-04-01 10:07:00,138.3495,138.6592,138.3257,138.6512,29163
2024-04-01 10:08:00,138.6253,138.6909,138.5798,138.6909,16246
2024-04-01 10:09:00,138.6631,138.6870,138.5758,138.6870,8351
2024-04-01 10:10:00,138.7068,138.8021,138.6473,138.7386,24278
2024-04-01 10:11:00,138.7783,138.8814,138.7545,138.8259,16798
2024-04-01 10:12:00,138.8497,138.9490,138.8339,138.9419,17226
2024-04-01 10:13:00,138.9252,138.9530,138.5639,138.5837,24999
2024-04-01 10:14:00,138.5202,138.6750,138.4130,138.6750,23690
2024-04-01 10:15:00,138.7068,138.7227,138.4448,138.4448,11142
2024-04-01 10:16:00,138.4924,138.5639,138.2145,138.3253,32124
2024-04-01 10:17:00,138.3217,138.3971,138.2542,138.3217,48801
2024-04-01 10:18:00,138.3654,138.5401,138.3257,138.5401,28433
2024-04-01 10:19:00,138.4964,138.4964,138.3098,138.3336,11094
2024-04-01 10:20:00,138.3269,138.4289,138.3018,138.4289,13310
2024-04-01 10:21:00,138.4607,138.5218,138.3177,138.3654,11943
2024-04-01 10:22:00,138.3654,138.3971,138.2224,138.2860,13712
2024-04-01 10:23:00,138.2860,138.3812,138.2463,138.3257,9029
2024-04-01 10:24:00,138.3018,138.3812,138.2582,138.3495,31015
2024-04-01 10:25:00,138.3455,138.3812,138.2780,138.3654,14183
2024-04-01 10:26:00,138.3376,138.4368,138.3376,138.4368,6320
2024-04-01 10:27:00,138.4646,138.5559,138.4487,138.5559,7807
2024-04-01 10:28:00,138.5559,138.6830,138.4924,138.6830,15670
2024-04-01 10:29:00,138.6750,138.7862,138.6115,138.7862,9683
2024-04-01 10:30:00,138.7584,138.7624,138.6433,138.6433,11053
2024-04-01 10:31:00,138.6195,138.6195,138.4448,138.4448,18999
2024-04-01 10:32:00,138.4209,138.4924,138.3852,138.4686,10835
2024-04-01 10:33:00,138.4130,138.4130,138.3336,138.4051,10221
2024-04-01 10:34:00,138.3892,138.3892,138.2542,138.2621,23840
2024-04-01 10:35:00,138.2701,138.3018,138.2026,138.2026,9889
2024-04-01 10:36:00,138.1986,138.2304,138.1351,138.1986,13638
2024-04-01 10:37:00,138.2145,138.2145,138.0874,138.1271,14161
2024-04-01 10:38:00,138.1271,138.1589,138.0080,138.0080,14420
2024-04-01 10:39:00,137.9842,138.0080,137.8492,137.8889,16430
2024-04-01 10:40:00,137.8770,138.0636,137.8770,137.9802,10685
2024-04-01 10:41:00,138.0080,138.0239,137.9367,138.0160,11451
2024-04-01 10:42:00,137.9842,138.1668,137.9842,138.1192,10324
2024-04-01 10:43:00,138.1509,138.1663,138.1113,138.1113,8070
2024-04-01 10:44:00,138.1033,138.1192,138.0239,138.0636,9378
2024-04-01 10:45:00,138.0358,138.1430,137.9048,137.9048,9259
2024-04-01 10:46:00,137.9008,137.9842,137.8889,137.9525,13620
2024-04-01 10:47:00,137.9286,137.9525,137.8889,137.9048,6833
2024-04-01 10:48:00,137.9008,137.9286,137.7778,137.8254,23993
2024-04-01 10:49:00,137.8254,137.8333,137.7301,137.7462,11369
2024-04-01 10:50:00,137.7301,137.7460,137.6904,137.7142,7296
2024-04-01 10:51:00,137.6984,137.7222,137.6348,137.6586,22948
2024-04-01 10:52:00,137.6507,137.6666,137.5395,137.5395,11790
2024-04-01 10:53:00,137.5712,137.5753,137.4998,137.5237,21660
2024-04-01 10:54:00,137.5316,137.5713,137.4204,137.5713,30762
2024-04-01 10:55:00,137.5395,137.6348,137.5237,137.5237,17173
2024-04-01 10:56:00,137.5356,137.5951,137.4919,137.5872,17119
2024-04-01 10:57:00,137.5872,137.6428,137.5237,137.6269,10280
2024-04-01 10:58:00,137.6348,137.6507,137.5951,137.6110,9933
2024-04-01 10:59:00,137.6031,137.6586,137.5991,137.6507,14440
2024-04-01 11:00:00,137.6666,137.7619,137.6269,137.7361,18373
2024-04-01 11:01:00,137.6984,137.7698,137.6428,137.7698,11101
2024-04-01 11:02:00,137.7857,137.9207,137.7222,137.9207,10216
2024-04-01 11:03:00,137.8969,138.0477,137.8810,138.0477,12865
2024-04-01 11:04:00,138.0597,138.1430,138.0398,138.1430,30361
2024-04-01 11:05:00,138.1589,138.1907,138.0557,138.0874,15493
2024-04-01 11:06:00,138.1192,138.1192,137.8810,138.0001,17117
2024-04-01 11:07:00,137.9922,138.1510,137.9445,138.1192,11665
2024-04-01 11:08:00,138.1271,138.1907,138.0795,138.1827,14366
2024-04-01 11:09:00,138.1668,138.2939,138.1668,138.1827,10482
2024-04-01 11:10:00,138.1668,138.3415,138.1668,138.3415,12412
2024-04-01 11:11:00,138.3111,138.3654,138.3111,138.3415,11936
2024-04-01 11:12:00,138.3654,138.4924,138.3654,138.4924,19148
2024-04-01 11:13:00,138.4765,138.4845,138.3177,138.3654,9866
2024-04-01 11:14:00,138.3812,138.3812,138.2463,138.2979,10305
2024-04-01 11:15:00,138.2701,138.2701,138.1827,138.2066,8451
2024-04-01 11:16:00,138.1827,138.2066,138.0398,138.0597,9346
2024-04-01 11:17:00,138.0715,138.1033,137.9604,138.1033,6615
