,open_GOOG,high_GOOG,low_GOOG,close_GOOG,volume_GOOG
2024-04-01 04:00:00,151.9246,152.2537,151.5654,152.2138,1561
2024-04-01 04:01:00,151.9046,151.9046,151.9046,151.9046,14
2024-04-01 04:03:00,152.1739,152.1739,152.1739,152.1739,20
2024-04-01 04:04:00,151.9545,151.9545,151.9545,151.9545,3
2024-04-01 04:08:00,152.2837,152.4133,152.2837,152.4133,654
2024-04-01 04:09:00,152.3236,152.4133,152.3236,152.4034,259
2024-04-01 04:10:00,152.2039,152.2039,152.2039,152.2039,100
2024-04-01 04:12:00,152.2039,152.2039,152.1440,152.1440,2
2024-04-01 04:13:00,152.3136,152.3136,152.3136,152.3136,2
2024-04-01 04:14:00,152.3136,152.3136,152.3136,152.3136,100
2024-04-01 04:15:00,152.2837,152.2837,152.2837,152.2837,2
2024-04-01 04:16:00,152.2737,152.3136,152.2737,152.3136,100
2024-04-01 04:17:00,152.3136,152.3136,152.3136,152.3136,34
2024-04-01 04:18:00,152.3136,152.3635,152.3136,152.3635,18
2024-04-01 04:19:00,152.4233,152.4433,152.3036,152.3136,945
2024-04-01 04:22:00,152.2338,152.2338,152.0842,152.0842,1008
2024-04-01 04:23:00,152.2238,152.2238,152.0443,152.0443,533
2024-04-01 04:24:00,152.2537,152.2537,152.2537,152.2537,1
2024-04-01 04:27:00,152.0642,152.4632,152.0642,152.4632,958
2024-04-01 04:28:00,152.4632,152.5630,152.4632,152.5630,650
2024-04-01 04:31:00,152.5231,152.5231,152.5231,152.5231,7
2024-04-01 04:33:00,152.4532,152.4532,152.4532,152.4532,1
2024-04-01 04:35:00,152.4732,152.4732,152.4732,152.4732,7
2024-04-01 04:42:00,152.5430,152.5430,152.5131,152.5131,15
2024-04-01 04:43:00,152.4732,152.5430,152.4732,152.5231,135
2024-04-01 04:44:00,152.5231,152.5730,152.5231,152.5530,310
2024-04-01 04:45:00,152.5530,152.5530,152.5231,152.5231,305
2024-04-01 04:46:00,152.5231,152.5730,152.5231,152.5730,123
2024-04-01 04:49:00,152.5430,152.5630,152.5331,152.5630,168
2024-04-01 04:50:00,152.5530,152.5530,152.5530,152.5530,1
2024-04-01 04:51:00,152.5730,152.5929,152.5730,152.5929,443
2024-04-01 04:52:00,152.5929,152.5929,152.5829,152.5829,8
2024-04-01 04:53:00,152.5430,152.5430,152.5430,152.5430,1
