,open_GS,high_GS,low_GS,close_GS,volume_GS
2024-04-01 04:00:00,412.9154,415.0003,412.9154,414.4667,87
2024-04-01 04:01:00,414.8126,414.8126,414.8126,414.8126,13
2024-04-01 04:02:00,415.0003,415.0102,415.0003,415.0102,11
2024-04-01 04:08:00,415.5042,415.5042,415.0102,415.0102,4
2024-04-01 04:10:00,415.0102,415.0102,415.0102,415.0102,21
2024-04-01 04:19:00,415.9884,416.5121,415.9884,416.5121,20
2024-04-01 04:41:00,415.9983,415.9983,415.9983,415.9983,1
2024-04-01 05:02:00,415.7513,415.7513,415.7513,415.7513,1
2024-04-01 06:20:00,416.2750,416.2750,416.2750,416.2750,10
2024-04-01 06:22:00,415.8995,415.8995,415.8995,415.8995,4
2024-04-01 06:53:00,416.1860,416.1860,416.1860,416.1860,1
2024-04-01 07:00:00,415.1090,415.9983,414.9015,415.9983,927
2024-04-01 07:06:00,415.0299,415.0299,415.0299,415.0299,6
2024-04-01 07:09:00,415.0299,415.0299,415.0102,415.0102,40
2024-04-01 07:10:00,415.1090,415.1090,415.1090,415.1090,10
2024-04-01 07:14:00,415.8797,415.8797,415.8797,415.8797,50
2024-04-01 07:15:00,415.8501,415.8501,415.8501,415.8501,2
2024-04-01 07:16:00,415.3461,415.3461,415.3461,415.3461,25
2024-04-01 07:24:00,415.3560,415.3560,414.9608,414.9608,100
2024-04-01 07:25:00,414.9212,414.9212,414.9212,414.9212,50
2024-04-01 07:29:00,415.0102,415.0102,414.9608,414.9608,50
2024-04-01 07:30:00,415.0102,415.0102,415.0102,415.0102,25
2024-04-01 07:34:00,415.0102,415.0102,415.0003,415.0003,24
2024-04-01 07:41:00,415.1189,415.1189,415.1189,415.1189,15
2024-04-01 07:47:00,415.1979,415.1979,415.1979,415.1979,10
2024-04-01 07:49:00,415.2078,415.2078,415.2078,415.2078,30
2024-04-01 07:56:00,415.1090,415.1090,415.0398,415.0398,5
2024-04-01 07:58:00,415.0201,415.0201,415.0201,415.0201,1
2024-04-01 08:00:00,415.9983,416.5220,414.8916,416.1342,558
2024-04-01 08:01:00,416.9864,416.9864,415.7611,415.8698,12
2024-04-01 08:02:00,412.7276,416.8382,412.7276,416.8382,215
2024-04-01 08:03:00,414.9114,416.9864,414.8126,416.9864,263
2024-04-01 08:04:00,416.9864,416.9864,416.9864,416.9864,1
2024-04-01 08:05:00,415.0102,416.9864,414.8126,414.8126,121
2024-04-01 08:06:00,415.0102,415.0102,415.0102,415.0102,72
2024-04-01 08:07:00,414.8916,414.9212,414.7730,414.7730,334
2024-04-01 08:10:00,414.5161,414.5161,414.5062,414.5062,13
2024-04-01 08:15:00,414.5161,414.5161,414.5161,414.5161,10
2024-04-01 08:16:00,414.2098,414.2098,414.1802,414.1802,20
2024-04-01 08:18:00,414.1802,414.1802,414.1802,414.1802,5
2024-04-01 08:21:00,414.1308,414.1308,414.0221,414.1308,31
2024-04-01 08:25:00,414.0221,414.0221,413.8541,414.0023,22
2024-04-01 08:26:00,414.2296,414.2691,414.2296,414.2691,60
2024-04-01 08:27:00,414.2790,414.2889,414.2790,414.2889,25
2024-04-01 08:29:00,414.2444,414.2444,414.2444,414.2444,1
2024-04-01 08:30:00,414.2889,414.2889,413.2612,413.5675,280
2024-04-01 08:31:00,413.2316,413.2316,413.2217,413.2217,11
2024-04-01 08:32:00,413.5280,414.2790,413.4885,413.4885,361
2024-04-01 08:34:00,413.4885,413.4885,413.4885,413.4885,10
2024-04-01 08:35:00,413.4588,413.4687,413.0932,413.0932,48
2024-04-01 08:36:00,412.9944,413.5478,412.9845,413.5478,131
2024-04-01 08:37:00,413.4687,413.4687,413.4687,413.4687,100
2024-04-01 08:40:00,413.4687,413.4786,413.4687,413.4786,25
2024-04-01 08:43:00,413.5280,413.5280,413.5280,413.5280,189
2024-04-01 08:46:00,413.7651,413.7750,413.7651,413.7750,36
2024-04-01 08:48:00,413.8244,413.8244,413.8244,413.8244,1
2024-04-01 08:49:00,414.0418,414.0418,414.0418,414.0418,1
2024-04-01 08:52:00,413.5478,413.5478,413.5280,413.5280,102
2024-04-01 08:53:00,413.3798,413.4292,413.3798,413.4292,47
2024-04-01 08:56:00,413.0636,413.0636,413.0339,413.0339,115
2024-04-01 08:57:00,413.0438,413.0438,413.0438,413.0438,90
2024-04-01 08:58:00,413.2217,413.2414,413.2217,413.2414,8
2024-04-01 08:59:00,413.2414,413.2414,413.2414,413.2414,10
2024-04-01 09:01:00,413.0438,413.0438,412.7276,412.8660,418
2024-04-01 09:02:00,412.8660,412.8660,412.8660,412.8660,20
2024-04-01 09:03:00,412.8660,412.8660,412.8660,412.8660,86
2024-04-01 09:05:00,412.7276,413.3007,412.7276,412.8462,108
2024-04-01 09:06:00,413.3897,413.5675,413.3798,413.3798,60
2024-04-01 09:07:00,413.5675,413.5675,413.3798,413.3798,12
2024-04-01 09:12:00,412.8660,412.8660,412.8660,412.8660,15
2024-04-01 09:15:00,412.8462,413.0438,412.8462,412.8462,34
