,open_INTC,high_INTC,low_INTC,close_INTC,volume_INTC
2024-04-01 04:00:00,43.6553,43.9818,43.6454,43.9521,348
2024-04-01 04:01:00,43.9521,44.0313,43.9422,44.0214,766
2024-04-01 04:02:00,44.0214,44.0313,43.9422,44.0313,562
2024-04-01 04:03:00,44.0313,44.0313,43.9422,43.9422,89
2024-04-01 04:04:00,44.0115,44.0214,43.9818,44.0115,32
2024-04-01 04:06:00,43.9917,43.9917,43.9521,43.9818,621
2024-04-01 04:07:00,43.9719,44.0214,43.9719,44.0214,1619
2024-04-01 04:08:00,44.0115,44.0412,44.0115,44.0412,855
2024-04-01 04:09:00,44.0313,44.0313,44.0016,44.0115,1056
2024-04-01 04:10:00,44.0313,44.0313,43.9422,44.0313,3313
2024-04-01 04:11:00,43.9620,43.9620,43.9620,43.9620,1
2024-04-01 04:12:00,44.0016,44.0214,43.9521,43.9521,263
2024-04-01 04:13:00,44.0016,44.0115,44.0016,44.0115,133
2024-04-01 04:16:00,44.0016,44.0016,43.9818,43.9818,6
2024-04-01 04:17:00,43.9719,44.0115,43.9719,44.0115,715
2024-04-01 04:18:00,44.0214,44.0214,44.0214,44.0214,1
2024-04-01 04:19:00,44.0115,44.0115,44.0115,44.0115,20
2024-04-01 04:20:00,44.0214,44.0214,44.0016,44.0115,84
2024-04-01 04:21:00,44.0016,44.0115,43.9818,44.0115,35
2024-04-01 04:22:00,44.0313,44.0313,44.0313,44.0313,1
2024-04-01 04:23:00,44.0214,44.0214,44.0214,44.0214,55
2024-04-01 04:24:00,44.0164,44.0313,44.0164,44.0313,676
2024-04-01 04:25:00,44.0412,44.0412,44.0313,44.0313,740
2024-04-01 04:26:00,44.0313,44.0313,44.0313,44.0313,27
2024-04-01 04:27:00,44.0313,44.0412,44.0313,44.0313,37
2024-04-01 04:28:00,44.0412,44.0412,44.0412,44.0412,240
2024-04-01 04:29:00,44.0412,44.0412,44.0313,44.0313,351
2024-04-01 04:30:00,44.0313,44.0313,44.0313,44.0313,322
2024-04-01 04:31:00,44.0313,44.0412,44.0313,44.0412,170
2024-04-01 04:32:00,44.0412,44.0412,44.0412,44.0412,10
2024-04-01 04:33:00,44.0313,44.0313,44.0313,44.0313,237
2024-04-01 04:34:00,44.0313,44.0412,44.0313,44.0412,307
2024-04-01 04:35:00,44.0313,44.0313,44.0313,44.0313,18
2024-04-01 04:36:00,44.0313,44.0313,44.0313,44.0313,9
2024-04-01 04:37:00,44.0412,44.0412,44.0313,44.0313,18
2024-04-01 04:40:00,44.0412,44.0412,44.0313,44.0313,13
2024-04-01 04:41:00,44.0412,44.0412,44.0412,44.0412,27
2024-04-01 04:42:00,44.0313,44.0313,44.0313,44.0313,10
2024-04-01 04:43:00,44.0412,44.0412,43.9521,43.9917,1554
2024-04-01 04:44:00,43.9719,43.9818,43.9224,43.9422,1183
2024-04-01 04:45:00,43.9323,43.9818,43.9323,43.9818,79
2024-04-01 04:47:00,43.9917,43.9917,43.9521,43.9521,3
2024-04-01 04:48:00,43.9818,43.9818,43.9818,43.9818,50
2024-04-01 04:49:00,43.9917,43.9917,43.9818,43.9917,108
2024-04-01 04:51:00,44.0016,44.0214,43.9917,44.0214,53
2024-04-01 04:52:00,44.0115,44.0313,43.9917,43.9917,2033
2024-04-01 04:53:00,43.9917,43.9917,43.9917,43.9917,4
2024-04-01 04:54:00,44.0115,44.0115,44.0115,44.0115,2
2024-04-01 04:55:00,44.0115,44.0214,44.0115,44.0214,174
2024-04-01 04:56:00,44.0115,44.0115,44.0115,44.0115,55
2024-04-01 04:57:00,44.0115,44.0115,44.0115,44.0115,50
2024-04-01 04:58:00,44.0115,44.0115,44.0115,44.0115,51
2024-04-01 04:59:00,44.0115,44.0115,44.0115,44.0115,1
2024-04-01 05:00:00,44.0214,44.0214,44.0115,44.0115,138
2024-04-01 05:01:00,44.0016,44.0115,44.0016,44.0115,126
2024-04-01 05:02:00,44.0016,44.0115,44.0016,44.0115,51
2024-04-01 05:03:00,44.0115,44.0115,44.0115,44.0115,14
2024-04-01 05:05:00,44.0115,44.0214,44.0016,44.0214,271
2024-04-01 05:06:00,44.0214,44.0214,43.9917,43.9917,9
2024-04-01 05:07:00,44.0115,44.0115,43.9917,43.9917,111
2024-04-01 05:09:00,44.0214,44.0214,44.0115,44.0214,366
2024-04-01 05:10:00,44.0214,44.0214,44.0214,44.0214,320
2024-04-01 05:11:00,44.0214,44.0214,44.0016,44.0016,302
2024-04-01 05:12:00,44.0214,44.0214,44.0214,44.0214,8
2024-04-01 05:13:00,44.0214,44.0214,44.0214,44.0214,10
2024-04-01 05:14:00,44.0214,44.0214,44.0214,44.0214,2
2024-04-01 05:15:00,44.0214,44.0214,44.0016,44.0016,2
2024-04-01 05:16:00,44.0016,44.0016,44.0016,44.0016,1
2024-04-01 05:17:00,44.0016,44.0214,44.0016,44.0214,9
2024-04-01 05:18:00,44.0214,44.0214,44.0016,44.0016,4
2024-04-01 05:19:00,44.0214,44.0214,44.0016,44.0214,7
2024-04-01 05:20:00,44.0016,44.0016,44.0016,44.0016,2
2024-04-01 05:21:00,44.0016,44.0115,44.0016,44.0016,252
2024-04-01 05:22:00,44.0016,44.0016,44.0016,44.0016,2
2024-04-01 05:23:00,44.0214,44.0313,44.0115,44.0313,69
2024-04-01 05:24:00,44.0214,44.0214,44.0214,44.0214,1
2024-04-01 05:25:00,44.0016,44.0016,44.0016,44.0016,16
2024-04-01 05:26:00,44.0016,44.0016,44.0016,44.0016,2
2024-04-01 05:27:00,44.0115,44.0214,44.0016,44.0016,18
2024-04-01 05:28:00,44.0016,44.0016,43.9917,44.0016,352
2024-04-01 05:29:00,43.9917,43.9917,43.9917,43.9917,14
2024-04-01 05:30:00,44.0115,44.0115,43.9917,43.9917,215
2024-04-01 05:31:00,44.0016,44.0016,44.0016,44.0016,1
2024-04-01 05:32:00,44.0115,44.0214,44.0115,44.0115,302
2024-04-01 05:33:00,44.0016,44.0016,44.0016,44.0016,1
2024-04-01 05:34:00,44.0016,44.0214,44.0016,44.0214,150
