,open_JNJ,high_JNJ,low_JNJ,close_JNJ,volume_JNJ
2024-04-01 04:00:00,155.8271,155.9256,155.7681,155.7878,52
2024-04-01 04:01:00,155.8960,155.8960,155.7976,155.7976,3
2024-04-01 04:02:00,155.7385,155.7976,155.7188,155.7188,27
2024-04-01 04:03:00,155.7287,155.8862,155.7090,155.8862,67
2024-04-01 04:06:00,155.5909,155.5909,155.5909,155.5909,6
2024-04-01 04:07:00,155.7188,155.8862,155.6893,155.8862,108
2024-04-01 04:12:00,155.6106,155.6106,155.6106,155.6106,5
2024-04-01 04:13:00,155.8173,155.8173,155.8173,155.8173,2
2024-04-01 04:15:00,155.6992,155.6992,155.6893,155.6893,9
2024-04-01 04:23:00,155.6893,155.8862,155.6893,155.8862,3
2024-04-01 04:29:00,155.8960,155.9354,155.8960,155.9354,100
2024-04-01 04:30:00,155.6992,155.6992,155.6992,155.6992,11
2024-04-01 04:37:00,155.7090,155.7188,155.7090,155.7188,10
2024-04-01 04:44:00,155.7681,155.7681,155.7681,155.7681,40
2024-04-01 04:45:00,155.7681,155.9354,155.7681,155.9354,28
2024-04-01 04:50:00,155.7385,155.7385,155.7385,155.7385,1
2024-04-01 04:52:00,155.7287,155.7287,155.7188,155.7188,93
2024-04-01 04:57:00,155.7188,155.7188,155.7188,155.7188,11
2024-04-01 05:00:00,155.9157,155.9157,155.9157,155.9157,1
2024-04-01 05:07:00,155.6992,155.6992,155.6992,155.6992,2
2024-04-01 05:12:00,155.7090,155.7090,155.6992,155.6992,3
2024-04-01 05:18:00,155.6992,155.6992,155.6992,155.6992,3
2024-04-01 05:21:00,155.9059,155.9059,155.9059,155.9059,1
2024-04-01 05:22:00,155.9059,155.9059,155.9059,155.9059,1
2024-04-01 05:29:00,155.6992,155.6992,155.6992,155.6992,1
2024-04-01 05:30:00,155.6893,155.6893,155.6893,155.6893,5
2024-04-01 05:34:00,155.6893,155.6893,155.6499,155.6499,3
2024-04-01 05:35:00,155.9059,155.9059,155.9059,155.9059,4
2024-04-01 05:42:00,155.6893,155.6893,155.6893,155.6893,2
2024-04-01 05:49:00,155.6992,155.6992,155.6992,155.6992,5
2024-04-01 05:51:00,155.6893,155.6893,155.6795,155.6795,5
2024-04-01 05:56:00,155.5810,155.5810,155.5810,155.5810,100
2024-04-01 05:59:00,155.5909,155.5909,155.5810,155.5810,5
2024-04-01 06:02:00,155.9059,155.9059,155.9059,155.9059,2
2024-04-01 06:03:00,155.9059,155.9059,155.5909,155.5909,2
2024-04-01 06:06:00,155.5909,155.5909,155.5909,155.5909,1
2024-04-01 06:08:00,155.6204,155.6204,155.6204,155.6204,1
