,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-04-01 04:00:00,60.2012,60.3392,60.1716,60.2406,220
2024-04-01 04:01:00,60.2307,60.3293,60.2110,60.2603,32
2024-04-01 04:02:00,60.2110,60.2603,60.2110,60.2603,7
2024-04-01 04:03:00,60.2603,60.2603,60.2603,60.2603,6
2024-04-01 04:05:00,60.2603,60.2603,60.2505,60.2505,100
2024-04-01 04:06:00,60.2505,60.2505,60.2505,60.2505,102
2024-04-01 04:08:00,60.2505,60.2505,60.2505,60.2505,2
2024-04-01 04:09:00,60.2505,60.2505,60.2505,60.2505,1
2024-04-01 04:11:00,60.2603,60.2603,60.2209,60.2209,8
2024-04-01 04:13:00,60.2209,60.2209,60.2209,60.2209,3
2024-04-01 04:16:00,60.2505,60.2505,60.2505,60.2505,2
2024-04-01 04:17:00,60.2307,60.2307,60.2307,60.2307,17
2024-04-01 04:18:00,60.2307,60.2603,60.2307,60.2505,478
2024-04-01 04:19:00,60.2603,60.2603,60.2603,60.2603,1
2024-04-01 04:21:00,60.2603,60.2603,60.2603,60.2603,3
2024-04-01 04:24:00,60.2603,60.2702,60.2603,60.2702,666
2024-04-01 04:25:00,60.2702,60.2702,60.2702,60.2702,2
2024-04-01 04:27:00,60.2702,60.2702,60.2702,60.2702,50
2024-04-01 04:29:00,60.2800,60.2800,60.2800,60.2800,10
2024-04-01 04:30:00,60.2702,60.2702,60.2110,60.2110,430
2024-04-01 04:33:00,60.2209,60.2209,60.2209,60.2209,5
2024-04-01 04:34:00,60.2209,60.2209,60.2209,60.2209,3
2024-04-01 04:38:00,60.2110,60.2110,60.2110,60.2110,2
2024-04-01 04:41:00,60.2603,60.2603,60.2603,60.2603,20
2024-04-01 04:42:00,60.2603,60.2603,60.2603,60.2603,1
2024-04-01 04:45:00,60.2603,60.2603,60.2603,60.2603,1
2024-04-01 04:46:00,60.2603,60.2603,60.2603,60.2603,22
2024-04-01 04:48:00,60.2505,60.2603,60.2505,60.2603,8
2024-04-01 04:50:00,60.2603,60.2603,60.2505,60.2505,23
2024-04-01 04:53:00,60.2800,60.2899,60.2702,60.2899,130
2024-04-01 04:54:00,60.2899,60.2899,60.2899,60.2899,54
2024-04-01 04:56:00,60.2899,60.2899,60.2800,60.2800,6
2024-04-01 05:00:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 05:04:00,60.2800,60.2800,60.2800,60.2800,3
2024-04-01 05:06:00,60.2997,60.2997,60.2800,60.2997,55
2024-04-01 05:07:00,60.2800,60.2800,60.2800,60.2800,14
2024-04-01 05:08:00,60.2800,60.2800,60.2800,60.2800,44
2024-04-01 05:09:00,60.2800,60.2899,60.2800,60.2899,5
2024-04-01 05:10:00,60.2800,60.2899,60.2800,60.2800,4
2024-04-01 05:11:00,60.2997,60.2997,60.2997,60.2997,2
2024-04-01 05:12:00,60.2800,60.2800,60.2800,60.2800,5
2024-04-01 05:15:00,60.2800,60.2800,60.2800,60.2800,1
2024-04-01 05:16:00,60.2800,60.2800,60.2800,60.2800,4
2024-04-01 05:20:00,60.2899,60.2899,60.2800,60.2800,4
2024-04-01 05:21:00,60.2899,60.2899,60.2899,60.2899,1
2024-04-01 05:22:00,60.2800,60.2800,60.2800,60.2800,5
2024-04-01 05:24:00,60.2800,60.2899,60.2800,60.2899,7
2024-04-01 05:25:00,60.2800,60.2800,60.2800,60.2800,5
2024-04-01 05:27:00,60.2800,60.2800,60.2800,60.2800,3
2024-04-01 05:28:00,60.2800,60.2800,60.2800,60.2800,2
2024-04-01 05:29:00,60.2899,60.2899,60.2800,60.2800,15
2024-04-01 05:31:00,60.2899,60.2899,60.2899,60.2899,1
2024-04-01 05:32:00,60.2800,60.2997,60.2800,60.2997,55
2024-04-01 05:34:00,60.2997,60.2997,60.2997,60.2997,4
2024-04-01 05:42:00,60.2997,60.2997,60.2800,60.2800,2
2024-04-01 05:43:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 05:45:00,60.2603,60.2800,60.2603,60.2800,48
2024-04-01 05:49:00,60.2997,60.2997,60.2800,60.2800,21
2024-04-01 05:51:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 05:53:00,60.2997,60.2997,60.2997,60.2997,2
2024-04-01 05:55:00,60.2997,60.3096,60.2997,60.2997,109
2024-04-01 06:02:00,60.2997,60.2997,60.2997,60.2997,30
2024-04-01 06:03:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:04:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:06:00,60.2997,60.2997,60.2997,60.2997,302
2024-04-01 06:07:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:08:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:12:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:14:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:16:00,60.3096,60.3096,60.3096,60.3096,3
2024-04-01 06:17:00,60.3096,60.3096,60.3096,60.3096,1
2024-04-01 06:18:00,60.3096,60.3096,60.2997,60.2997,48
2024-04-01 06:19:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 06:21:00,60.2899,60.2899,60.2899,60.2899,8
2024-04-01 06:22:00,60.2997,60.2997,60.2997,60.2997,11
2024-04-01 06:24:00,60.2899,60.2899,60.2899,60.2899,55
2024-04-01 06:25:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 06:26:00,60.2997,60.2997,60.2899,60.2899,5
2024-04-01 06:27:00,60.2997,60.2997,60.2997,60.2997,50
2024-04-01 06:30:00,60.2997,60.2997,60.2997,60.2997,1
2024-04-01 06:31:00,60.2997,60.2997,60.2899,60.2899,51
2024-04-01 06:33:00,60.2899,60.2899,60.2899,60.2899,11
2024-04-01 06:39:00,60.2899,60.2899,60.2899,60.2899,4
2024-04-01 06:41:00,60.2899,60.2899,60.2899,60.2899,1
2024-04-01 06:42:00,60.2899,60.2899,60.2899,60.2899,400
2024-04-01 06:43:00,60.2800,60.2899,60.2800,60.2899,8
2024-04-01 06:45:00,60.2800,60.2800,60.2702,60.2702,30
2024-04-01 06:46:00,60.2899,60.2899,60.2899,60.2899,5
2024-04-01 06:47:00,60.2800,60.2899,60.2702,60.2899,81
2024-04-01 06:48:00,60.2899,60.2899,60.2899,60.2899,51
2024-04-01 06:49:00,60.2899,60.2899,60.2899,60.2899,27
2024-04-01 06:50:00,60.2899,60.2899,60.2899,60.2899,173
2024-04-01 06:51:00,60.2899,60.2899,60.2899,60.2899,10
2024-04-01 06:52:00,60.2899,60.2899,60.2899,60.2899,10
