,open_MCD,high_MCD,low_MCD,close_MCD,volume_MCD
2024-04-01 04:00:00,278.9742,278.9742,278.9742,278.9742,9
2024-04-01 04:02:00,278.9742,278.9742,278.8655,278.8655,14
2024-04-01 04:07:00,279.0038,279.0038,279.0038,279.0038,1
2024-04-01 04:21:00,279.0236,279.0236,279.0236,279.0236,1
2024-04-01 04:25:00,278.5791,278.5791,278.5791,278.5791,3
2024-04-01 04:30:00,279.0137,279.0236,279.0137,279.0236,8
2024-04-01 04:36:00,279.0038,279.0038,279.0038,279.0038,3
2024-04-01 05:17:00,278.5791,278.5791,278.5791,278.5791,1
2024-04-01 05:26:00,278.5791,278.5791,278.5791,278.5791,1
2024-04-01 05:30:00,278.8754,278.8754,278.8754,278.8754,1
2024-04-01 05:33:00,278.8655,278.8655,278.5791,278.5791,20
2024-04-01 05:46:00,278.5791,278.5791,278.5791,278.5791,1
2024-04-01 05:52:00,278.5692,278.6186,278.5198,278.5198,93
2024-04-01 05:55:00,278.5198,278.5198,278.5198,278.5198,1
2024-04-01 05:57:00,278.5198,278.5198,278.5198,278.5198,2
2024-04-01 06:04:00,278.5198,278.5198,278.5198,278.5198,222
2024-04-01 06:23:00,278.5988,278.5988,278.5988,278.5988,1
2024-04-01 06:34:00,279.0137,279.0137,279.0137,279.0137,1
2024-04-01 06:39:00,279.0038,279.0038,279.0038,279.0038,2
2024-04-01 06:56:00,278.6877,278.6877,278.6877,278.6877,3
2024-04-01 07:00:00,278.5988,279.0137,278.5988,279.0137,356
2024-04-01 07:07:00,278.9050,278.9446,278.9050,278.9446,3
2024-04-01 07:14:00,278.9050,278.9347,278.9050,278.9347,24
2024-04-01 07:25:00,278.6778,278.6778,278.6778,278.6778,50
2024-04-01 07:28:00,278.5988,278.5988,278.5988,278.5988,1
2024-04-01 07:40:00,278.7371,278.7371,278.7371,278.7371,20
2024-04-01 07:51:00,278.9643,278.9643,278.7371,278.7371,4
2024-04-01 07:53:00,278.7371,278.7371,278.7371,278.7371,5
2024-04-01 08:00:00,278.7371,291.1739,273.6992,278.5198,99
2024-04-01 08:01:00,278.5198,278.5198,278.0260,278.0260,296
2024-04-01 08:02:00,278.5198,278.5198,278.3123,278.5198,116
2024-04-01 08:03:00,278.9742,278.9742,278.5198,278.8655,20
2024-04-01 08:04:00,278.8655,278.8655,278.5692,278.5692,4
2024-04-01 08:05:00,278.5692,279.0137,278.5692,278.9742,6
2024-04-01 08:06:00,278.5198,278.5198,278.5198,278.5198,1
2024-04-01 08:12:00,279.0137,279.0137,279.0137,279.0137,1
2024-04-01 08:17:00,278.5791,278.5889,278.5791,278.5889,5
2024-04-01 08:18:00,278.7371,278.7371,278.7371,278.7371,3
2024-04-01 08:30:00,278.5692,278.5692,278.5198,278.5198,133
2024-04-01 08:31:00,278.4902,278.4902,278.0950,278.0950,96
2024-04-01 08:32:00,278.0851,278.3519,277.9962,278.1741,235
2024-04-01 08:33:00,278.0061,278.0061,278.0061,278.0061,150
2024-04-01 08:34:00,278.6877,278.6877,277.9765,277.9765,2
2024-04-01 08:35:00,277.9765,278.2136,277.9765,277.9864,135
2024-04-01 08:36:00,278.1938,278.5988,278.1938,278.3420,14
2024-04-01 08:37:00,277.9765,277.9765,277.9765,277.9765,3
2024-04-01 08:38:00,278.2630,278.2630,278.2630,278.2630,45
2024-04-01 08:41:00,277.9765,277.9765,277.9765,277.9765,1
2024-04-01 08:45:00,277.9765,277.9765,277.9765,277.9765,2
2024-04-01 08:47:00,278.3519,278.3519,277.9765,277.9765,4
2024-04-01 08:48:00,278.3519,278.3519,278.3519,278.3519,6
2024-04-01 08:49:00,278.3716,278.3716,278.3716,278.3716,100
2024-04-01 08:52:00,278.3716,278.3815,278.3716,278.3716,90
2024-04-01 08:53:00,278.0061,278.0061,278.0061,278.0061,74
2024-04-01 08:56:00,278.5692,278.5692,277.9962,277.9962,12
2024-04-01 08:58:00,278.0160,278.5692,278.0160,278.5692,14
2024-04-01 08:59:00,278.5692,278.5692,278.1148,278.1148,40
2024-04-01 09:00:00,278.0061,278.0259,278.0061,278.0259,126
2024-04-01 09:01:00,278.5494,278.5494,278.5494,278.5494,3
2024-04-01 09:04:00,277.9765,277.9765,277.9765,277.9765,24
2024-04-01 09:05:00,278.5198,278.5198,278.5099,278.5198,13
2024-04-01 09:06:00,278.4902,278.5198,278.4902,278.5198,42
2024-04-01 09:07:00,278.5198,278.5198,278.5198,278.5198,6
2024-04-01 09:08:00,278.5198,278.5198,278.5198,278.5198,1
2024-04-01 09:10:00,278.8557,278.8557,278.8557,278.8557,4
2024-04-01 09:12:00,278.1741,278.1741,278.1049,278.1049,33
2024-04-01 09:16:00,278.1345,278.1345,277.8678,277.9567,1338
2024-04-01 09:17:00,278.2136,278.2136,277.4035,277.8283,238
2024-04-01 09:18:00,277.9073,277.9073,277.7295,277.7295,186
2024-04-01 09:19:00,277.7394,278.3914,277.7394,278.3914,25
2024-04-01 09:20:00,278.3519,278.3914,278.3519,278.3914,24
2024-04-01 09:21:00,277.9172,277.9172,277.9073,277.9073,9
2024-04-01 09:22:00,277.9271,278.0753,277.7592,278.0753,117
2024-04-01 09:24:00,278.0753,278.0753,277.9962,277.9962,14
2024-04-01 09:25:00,277.7592,277.7592,277.7592,277.7592,1
2024-04-01 09:28:00,278.0753,278.0753,278.0753,278.0753,8
2024-04-01 09:29:00,278.2926,278.2926,278.2926,278.2926,3
2024-04-01 09:30:00,278.0753,278.1247,277.5418,277.8081,35902
2024-04-01 09:31:00,277.5715,277.8382,277.5616,277.8184,3815
2024-04-01 09:32:00,277.7987,277.7987,277.0874,277.4579,8519
2024-04-01 09:33:00,277.4579,277.7294,277.2159,277.2652,4251
2024-04-01 09:34:00,277.6110,277.9370,277.3640,277.8283,6412
2024-04-01 09:35:00,277.8283,278.0555,277.7295,277.7394,4026
2024-04-01 09:36:00,277.7987,277.7987,277.3048,277.3048,3108
2024-04-01 09:37:00,277.3048,277.6505,277.2455,277.4875,4043
2024-04-01 09:38:00,277.4776,277.5956,277.1763,277.1763,4480
2024-04-01 09:39:00,277.2652,277.4529,277.0677,277.0776,5249
2024-04-01 09:40:00,277.2060,277.3443,277.0380,277.0714,21716
2024-04-01 09:41:00,277.1467,277.3344,277.0874,277.1996,6977
2024-04-01 09:42:00,277.1516,277.2504,277.1220,277.2060,2318
2024-04-01 09:43:00,277.1072,277.1813,277.0776,277.0924,6756
2024-04-01 09:44:00,277.0380,277.1467,276.9689,277.1171,4925
2024-04-01 09:45:00,277.1467,277.2652,276.7516,276.7763,8370
2024-04-01 09:46:00,276.6627,276.6824,276.4256,276.6232,19208
2024-04-01 09:47:00,276.7022,276.9195,276.6133,276.7269,12285
2024-04-01 09:48:00,276.8010,276.8405,276.6439,276.7269,11123
2024-04-01 09:49:00,276.6429,276.7713,276.1391,276.2181,7405
2024-04-01 09:50:00,276.1391,276.3268,276.1391,276.2478,3926
2024-04-01 09:51:00,276.3564,276.4947,276.2675,276.2675,4301
2024-04-01 09:52:00,276.4453,276.6133,276.3811,276.5145,12855
2024-04-01 09:53:00,276.5145,276.6972,276.5145,276.5935,7063
2024-04-01 09:54:00,276.6478,276.6478,276.5046,276.6034,9896
2024-04-01 09:55:00,276.6281,276.6330,276.5342,276.6182,2968
2024-04-01 09:56:00,276.6182,276.7219,276.6034,276.7022,2233
2024-04-01 09:57:00,276.7219,276.7219,276.5935,276.6874,4204
2024-04-01 09:58:00,276.7022,276.7022,276.6380,276.6380,1114
2024-04-01 09:59:00,276.6627,276.7713,276.6627,276.7022,3332
2024-04-01 10:00:00,276.6627,276.7664,276.5935,276.6034,4742
2024-04-01 10:01:00,276.6627,276.6627,276.4157,276.4157,11064
2024-04-01 10:02:00,276.4086,276.5145,276.4086,276.4256,5276
2024-04-01 10:03:00,276.4256,276.6627,276.4256,276.5935,5415
2024-04-01 10:04:00,276.6725,276.7022,276.5441,276.5540,6051
2024-04-01 10:05:00,276.5935,276.8071,276.5935,276.8071,3131
2024-04-01 10:06:00,276.7713,276.7713,276.6034,276.6034,12313
2024-04-01 10:07:00,276.5244,276.6330,276.4947,276.5985,3844
2024-04-01 10:08:00,276.6528,276.6824,276.6232,276.6824,3207
2024-04-01 10:09:00,276.6232,276.6923,276.5886,276.6676,6724
2024-04-01 10:10:00,276.5836,276.6330,276.4552,276.5787,17961
2024-04-01 10:11:00,276.5738,276.7022,276.5738,276.7022,6477
2024-04-01 10:12:00,276.6528,276.6528,276.4849,276.5935,5977
2024-04-01 10:13:00,276.5935,276.6133,276.3960,276.3960,6375
2024-04-01 10:14:00,276.4552,276.4552,276.1589,276.1687,6391
2024-04-01 10:15:00,276.2181,276.2478,276.0897,276.0897,9890
2024-04-01 10:16:00,276.1292,276.1391,275.8526,275.8526,6643
2024-04-01 10:17:00,275.8922,276.0305,275.8526,275.8526,5364
2024-04-01 10:18:00,275.9030,275.9534,275.8526,275.8526,2671
2024-04-01 10:19:00,275.8526,275.9119,275.7835,275.8823,8465
2024-04-01 10:20:00,275.8526,275.9119,275.7440,275.7440,3903
2024-04-01 10:21:00,275.7440,275.8428,275.7045,275.7045,4876
2024-04-01 10:22:00,275.6551,275.7045,275.5168,275.5168,4496
2024-04-01 10:23:00,275.5168,275.6254,275.4476,275.4476,2068
2024-04-01 10:24:00,275.5168,275.5760,275.4279,275.5563,7813
2024-04-01 10:25:00,275.4180,275.5464,275.2501,275.5118,12037
2024-04-01 10:26:00,275.4378,275.6452,275.4378,275.5341,27163
2024-04-01 10:27:00,275.4723,275.5993,275.4674,275.4674,3949
2024-04-01 10:28:00,275.4871,275.5168,275.4229,275.5168,4548
2024-04-01 10:29:00,275.5168,275.6254,275.5168,275.5464,6231
2024-04-01 10:30:00,275.5662,275.5662,275.3735,275.3735,6490
2024-04-01 10:31:00,275.4180,275.5316,275.4180,275.5291,5586
2024-04-01 10:32:00,275.5020,275.7439,275.5020,275.7439,15988
2024-04-01 10:33:00,275.6452,275.6959,275.5563,275.5563,6956
