,open_META,high_META,low_META,close_META,volume_META
2024-04-01 04:00:00,487.6587,488.5470,487.1397,488.3673,1431
2024-04-01 04:01:00,488.4472,488.5070,487.8583,488.0579,69
2024-04-01 04:02:00,487.6886,487.6886,487.6687,487.6687,2
2024-04-01 04:03:00,487.7086,488.0579,487.6487,488.0579,160
2024-04-01 04:04:00,488.2675,488.2675,487.7086,487.7086,8
2024-04-01 04:05:00,488.1976,488.1976,488.1976,488.1976,10
2024-04-01 04:06:00,488.1378,488.1477,488.1378,488.1477,4
2024-04-01 04:07:00,488.0579,488.1078,487.9980,488.1078,70
2024-04-01 04:08:00,488.0779,488.2575,488.0779,488.2575,204
2024-04-01 04:09:00,488.2376,488.2376,488.2376,488.2376,1
2024-04-01 04:10:00,488.1976,488.1976,487.6487,488.1777,211
2024-04-01 04:11:00,488.1777,488.1777,487.5888,487.7785,352
2024-04-01 04:12:00,487.6287,488.1577,487.5888,488.1577,275
2024-04-01 04:13:00,487.6587,487.6587,487.6587,487.6587,20
2024-04-01 04:14:00,487.6886,487.7086,487.5289,487.6687,145
2024-04-01 04:15:00,487.5289,487.5289,487.2595,487.2595,26
2024-04-01 04:16:00,487.5289,487.5289,487.2395,487.3193,43
2024-04-01 04:17:00,487.9781,488.1577,487.3593,488.0479,169
2024-04-01 04:18:00,487.5888,487.5888,487.5888,487.5888,30
2024-04-01 04:19:00,487.9681,488.2675,487.9681,488.1577,582
2024-04-01 04:21:00,488.1777,488.1777,488.1577,488.1577,676
2024-04-01 04:22:00,487.8483,487.8483,487.6687,487.6687,30
2024-04-01 04:23:00,488.1577,488.1577,488.1477,488.1577,3
2024-04-01 04:24:00,487.7385,487.7884,487.6786,487.6786,31
2024-04-01 04:25:00,488.1477,488.3174,487.7984,488.1677,353
2024-04-01 04:26:00,488.1677,488.1677,487.8683,487.9581,32
2024-04-01 04:27:00,487.9681,487.9681,487.9681,487.9681,15
2024-04-01 04:28:00,488.2675,488.2675,487.9581,487.9881,185
2024-04-01 04:29:00,488.0879,488.3174,488.0679,488.2675,529
2024-04-01 04:30:00,488.0579,488.5669,488.0579,488.5669,630
2024-04-01 04:31:00,488.7067,488.7665,488.5869,488.5869,32
2024-04-01 04:32:00,488.4072,488.5570,488.3174,488.5570,36
2024-04-01 04:35:00,488.2575,488.2575,488.2575,488.2575,4
2024-04-01 04:37:00,488.5869,488.5869,488.5869,488.5869,10
2024-04-01 04:38:00,488.3274,488.7965,488.3274,488.7965,5
2024-04-01 04:39:00,488.3174,488.6568,488.2875,488.6568,164
2024-04-01 04:40:00,488.8464,488.8464,488.8464,488.8464,29
2024-04-01 04:41:00,488.8364,488.8364,488.6967,488.8264,112
2024-04-01 04:42:00,488.6967,488.6967,488.6967,488.6967,1
2024-04-01 04:43:00,488.6568,488.6967,488.4971,488.4971,227
2024-04-01 04:45:00,488.6468,488.6468,488.6468,488.6468,3
2024-04-01 04:48:00,488.5270,488.6368,488.5270,488.6368,200
2024-04-01 04:49:00,488.3573,488.3573,488.2675,488.2675,35
2024-04-01 04:50:00,488.6368,488.6967,488.6368,488.6568,300
2024-04-01 04:51:00,488.5669,488.5669,488.5669,488.5669,1
2024-04-01 04:52:00,488.5669,488.6967,488.5669,488.6967,266
2024-04-01 04:53:00,488.6967,488.6967,488.6967,488.6967,35
2024-04-01 04:54:00,488.7067,488.7067,488.6967,488.6967,2
2024-04-01 04:56:00,488.6967,488.6967,488.6967,488.6967,6
2024-04-01 04:57:00,488.5570,488.5570,488.5570,488.5570,4
2024-04-01 04:58:00,488.4372,488.7067,488.3174,488.6967,206
2024-04-01 04:59:00,488.6867,488.8564,488.6867,488.7965,106
2024-04-01 05:01:00,488.8165,488.8165,488.6069,488.6069,11
2024-04-01 05:03:00,488.8165,488.8165,488.5769,488.5769,204
2024-04-01 05:04:00,488.7965,488.7965,488.7965,488.7965,1
2024-04-01 05:05:00,488.7965,488.7965,488.7965,488.7965,1
2024-04-01 05:07:00,488.5669,488.5869,488.4671,488.5869,36
2024-04-01 05:10:00,488.7067,488.7067,488.5669,488.5669,47
2024-04-01 05:11:00,488.6069,488.6069,488.6069,488.6069,25
2024-04-01 05:12:00,488.7266,488.7266,488.7266,488.7266,2
2024-04-01 05:13:00,488.5869,488.5869,488.5869,488.5869,2
2024-04-01 05:14:00,488.7266,488.7266,488.5869,488.5869,8
2024-04-01 05:15:00,488.5869,488.7765,488.5869,488.7765,9
2024-04-01 05:16:00,488.7665,488.7965,488.7566,488.7566,30
2024-04-01 05:17:00,488.7765,488.8464,488.6967,488.7665,29
2024-04-01 05:18:00,488.7665,488.7665,488.7566,488.7566,33
2024-04-01 05:19:00,488.7566,488.7765,488.7566,488.7566,89
2024-04-01 05:20:00,488.7765,488.7765,488.7765,488.7765,10
2024-04-01 05:21:00,488.5969,488.5969,488.4172,488.4172,100
2024-04-01 05:22:00,488.4272,488.4272,488.4272,488.4272,6
2024-04-01 05:23:00,488.4272,488.5570,488.4272,488.5570,79
2024-04-01 05:24:00,488.5570,488.5570,488.5570,488.5570,25
2024-04-01 05:25:00,488.4272,488.4272,488.4072,488.4072,6
2024-04-01 05:26:00,488.4272,488.4272,488.4272,488.4272,1
2024-04-01 05:27:00,488.4272,488.4272,488.4272,488.4272,30
2024-04-01 05:28:00,488.4272,488.5570,488.4072,488.5570,11
2024-04-01 05:29:00,488.5570,488.5570,488.5570,488.5570,74
2024-04-01 05:30:00,488.4571,488.4571,488.4571,488.4571,2
2024-04-01 05:31:00,488.4671,488.4671,488.4072,488.4072,54
2024-04-01 05:32:00,488.5570,488.5570,488.5570,488.5570,38
2024-04-01 05:34:00,488.5570,488.5570,488.5570,488.5570,3
2024-04-01 05:35:00,488.4272,488.5570,488.4272,488.5070,13
2024-04-01 05:37:00,488.5470,488.5470,488.5470,488.5470,31
2024-04-01 05:38:00,488.4571,488.5470,488.4571,488.5370,25
2024-04-01 05:39:00,488.5570,488.5570,488.5570,488.5570,12
2024-04-01 05:40:00,488.5570,488.5570,488.5470,488.5470,3
2024-04-01 05:42:00,488.5470,488.5570,488.5470,488.5470,5
2024-04-01 05:43:00,488.4871,488.4871,488.4871,488.4871,2
2024-04-01 05:44:00,488.5470,488.5470,488.4571,488.4971,92
2024-04-01 05:45:00,488.4971,488.4971,488.4571,488.4571,10
2024-04-01 05:46:00,488.5470,488.5669,488.5470,488.5669,15
2024-04-01 05:47:00,488.5470,488.5470,488.5470,488.5470,70
2024-04-01 05:49:00,488.5869,488.5869,488.5470,488.5470,102
2024-04-01 05:50:00,488.5470,488.5470,488.5470,488.5470,2
2024-04-01 05:51:00,488.6568,488.7166,488.5470,488.6368,29
2024-04-01 05:53:00,488.7366,488.7366,488.5769,488.5769,7
2024-04-01 05:54:00,488.7466,488.7466,488.5470,488.5470,54
2024-04-01 05:55:00,488.6368,488.6368,488.5470,488.5470,10
2024-04-01 05:56:00,488.5470,488.5470,488.4571,488.4571,99
2024-04-01 05:57:00,488.4871,488.4871,488.4871,488.4871,10
2024-04-01 05:58:00,488.4571,488.4571,488.4571,488.4571,50
2024-04-01 05:59:00,488.4571,488.4571,488.4472,488.4472,20
2024-04-01 06:00:00,488.5470,488.6867,488.4472,488.4472,224
2024-04-01 06:02:00,488.4571,488.5570,488.4372,488.5570,237
2024-04-01 06:03:00,488.5669,488.5669,488.4472,488.5570,13
2024-04-01 06:04:00,488.4172,488.6767,488.4172,488.6767,17
2024-04-01 06:05:00,488.5470,488.5470,488.4372,488.5470,3
2024-04-01 06:06:00,488.5470,488.5470,488.5470,488.5470,1
2024-04-01 06:07:00,488.4571,488.5470,488.4571,488.5470,174
2024-04-01 06:08:00,488.5470,488.5769,488.5470,488.5769,3
2024-04-01 06:11:00,488.7067,488.7067,488.7067,488.7067,2
2024-04-01 06:12:00,488.7166,488.7166,488.7166,488.7166,32
2024-04-01 06:13:00,488.5470,488.5470,488.5470,488.5470,3
2024-04-01 06:14:00,488.5470,488.6168,488.5470,488.6168,19
2024-04-01 06:15:00,488.5470,488.7366,488.5470,488.7366,11
2024-04-01 06:16:00,488.7366,488.7466,488.4571,488.7067,266
2024-04-01 06:17:00,488.4871,488.4871,488.4871,488.4871,1
2024-04-01 06:20:00,488.6967,488.6967,488.6967,488.6967,1
2024-04-01 06:23:00,488.7067,488.7067,488.6967,488.6967,14
2024-04-01 06:24:00,488.6568,488.6568,488.6568,488.6568,15
2024-04-01 06:25:00,488.7166,488.7166,488.7166,488.7166,10
2024-04-01 06:26:00,488.7266,488.7266,488.5270,488.5270,227
2024-04-01 06:28:00,488.6667,488.6667,488.6667,488.6667,1
2024-04-01 06:29:00,488.5570,488.5570,488.5170,488.5170,14
2024-04-01 06:30:00,488.5570,488.5570,488.5570,488.5570,6
2024-04-01 06:32:00,488.7566,488.7566,488.7566,488.7566,1
2024-04-01 06:33:00,488.7566,488.7566,488.4771,488.7566,13
2024-04-01 06:34:00,488.7466,488.7466,488.4871,488.4871,4
2024-04-01 06:36:00,488.7466,488.7466,488.4871,488.4871,2
2024-04-01 06:37:00,488.7466,488.7466,488.7466,488.7466,1
2024-04-01 06:38:00,488.7466,488.7466,488.7466,488.7466,9
2024-04-01 06:39:00,488.7466,488.7466,488.5570,488.6667,8
2024-04-01 06:40:00,488.7466,488.7466,488.7466,488.7466,5
2024-04-01 06:42:00,488.7466,488.7466,488.6667,488.6667,2
2024-04-01 06:43:00,488.7466,488.8065,488.7466,488.8065,200
2024-04-01 06:44:00,488.7965,488.8264,488.5270,488.5270,23
2024-04-01 06:46:00,488.8065,488.8564,488.8065,488.8564,207
2024-04-01 06:47:00,488.8364,488.8464,488.8165,488.8364,61
2024-04-01 06:49:00,488.7566,488.7665,488.6468,488.7665,60
2024-04-01 06:50:00,488.7566,488.7566,488.7566,488.7566,23
2024-04-01 06:51:00,488.7566,488.7566,488.5570,488.5570,100
2024-04-01 06:52:00,488.7566,488.7566,488.7566,488.7566,21
2024-04-01 06:53:00,488.7566,488.7566,488.7566,488.7566,1
2024-04-01 06:54:00,488.8264,488.8564,488.8264,488.8564,49
2024-04-01 06:55:00,488.6069,488.6069,488.5669,488.5669,102
2024-04-01 06:57:00,488.8065,488.8065,488.8065,488.8065,1
2024-04-01 06:59:00,488.8065,488.8065,488.6568,488.6568,6
2024-04-01 07:00:00,488.6268,488.7566,488.0579,488.2376,4181
2024-04-01 07:01:00,487.9881,488.0380,487.6687,488.0380,579
2024-04-01 07:02:00,487.8084,487.8084,487.7286,487.7286,27
2024-04-01 07:03:00,487.6986,487.6986,487.5788,487.5788,410
2024-04-01 07:04:00,487.5788,487.5788,486.7105,487.0698,1868
2024-04-01 07:05:00,486.9101,487.0598,486.9101,487.0000,149
2024-04-01 07:06:00,487.0698,487.0698,486.0418,486.1716,5597
2024-04-01 07:08:00,486.7604,486.7604,486.1616,486.1616,60
2024-04-01 07:09:00,486.5608,486.7604,486.5608,486.7604,13
2024-04-01 07:10:00,486.6107,487.0998,486.5608,487.0998,116
2024-04-01 07:11:00,487.0499,487.1896,486.8902,487.1896,131
2024-04-01 07:12:00,487.2395,487.2595,487.0598,487.2595,73
2024-04-01 07:13:00,486.6606,486.6606,486.6606,486.6606,6
2024-04-01 07:14:00,486.6606,487.0598,486.5608,487.0598,381
2024-04-01 07:15:00,486.6506,486.6506,486.5209,486.5209,105
2024-04-01 07:16:00,487.0000,487.0399,487.0000,487.0399,39
2024-04-01 07:17:00,486.9900,486.9900,486.9900,486.9900,7
2024-04-01 07:18:00,486.9900,486.9900,486.7804,486.7804,3
2024-04-01 07:19:00,486.8103,486.8203,486.5608,486.5608,653
2024-04-01 07:20:00,486.4011,486.4610,486.2115,486.4610,97
2024-04-01 07:21:00,486.5408,486.7305,486.5408,486.7305,3
2024-04-01 07:22:00,486.2614,486.2614,486.2614,486.2614,5
2024-04-01 07:23:00,486.5408,486.5408,486.5109,486.5408,29
2024-04-01 07:24:00,486.5408,486.6107,486.5408,486.5907,18
2024-04-01 07:25:00,486.7105,486.7105,486.7105,486.7105,10
2024-04-01 07:27:00,486.7604,486.8403,486.6606,486.8103,145
2024-04-01 07:28:00,486.6906,486.8103,486.6906,486.7604,515
2024-04-01 07:29:00,486.6107,486.6207,486.6107,486.6207,17
2024-04-01 07:30:00,486.6307,486.6307,486.4810,486.4810,19
2024-04-01 07:31:00,486.5309,486.5408,486.5309,486.5309,3
2024-04-01 07:32:00,486.5009,486.5309,486.3911,486.4410,84
2024-04-01 07:33:00,486.4410,486.4909,486.3512,486.3612,40
2024-04-01 07:34:00,486.3612,486.6107,486.3612,486.6107,164
2024-04-01 07:35:00,486.6806,486.9501,486.6506,486.7305,630
2024-04-01 07:36:00,486.8602,487.6587,486.8602,487.5389,1484
2024-04-01 07:38:00,487.3094,487.6287,487.3094,487.6287,10
2024-04-01 07:39:00,487.3593,487.3593,487.2195,487.2195,105
2024-04-01 07:40:00,487.6287,487.6587,487.5389,487.5389,13
2024-04-01 07:41:00,487.2694,487.2694,487.2694,487.2694,8
2024-04-01 07:42:00,487.5589,487.5589,487.2694,487.5389,80
2024-04-01 07:43:00,487.2694,487.5090,487.2694,487.3992,9
2024-04-01 07:44:00,487.2694,487.2694,487.2694,487.2694,1
2024-04-01 07:45:00,487.2994,487.2994,487.2994,487.2994,5
2024-04-01 07:47:00,487.2694,487.2694,487.2694,487.2694,15
2024-04-01 07:49:00,487.2495,487.2495,487.1596,487.1596,27
2024-04-01 07:50:00,487.1197,487.2694,487.1197,487.2495,59
2024-04-01 07:51:00,487.3094,487.4391,487.3094,487.4391,110
2024-04-01 07:54:00,487.2894,487.4191,487.2595,487.4191,23
2024-04-01 07:55:00,487.3393,487.3393,487.2495,487.2595,121
2024-04-01 07:56:00,487.2096,487.2096,487.0898,487.0998,207
2024-04-01 07:57:00,487.0998,487.2096,487.0698,487.2096,26
2024-04-01 07:58:00,487.1097,487.1097,486.9600,487.0399,186
2024-04-01 07:59:00,487.0299,487.0299,486.8802,486.9800,46
2024-04-01 08:00:00,488.5425,488.8564,484.6445,484.6445,8958
2024-04-01 08:01:00,487.1846,489.5251,485.8552,486.9900,728
2024-04-01 08:02:00,486.9900,489.5450,484.6445,484.6445,539
2024-04-01 08:03:00,487.0099,489.5550,484.6445,489.0560,519
2024-04-01 08:04:00,488.6767,504.3445,486.7105,489.1458,703
2024-04-01 08:05:00,489.5550,489.5550,484.6445,489.5550,2670
2024-04-01 08:06:00,489.0560,504.3445,486.6706,486.8702,1193
2024-04-01 08:07:00,486.8702,486.8702,486.2714,486.5608,5020
2024-04-01 08:08:00,486.5608,504.3445,486.2614,486.5608,692
2024-04-01 08:09:00,486.8403,486.8403,486.5508,486.7205,174
2024-04-01 08:10:00,486.5508,486.5608,486.2614,486.4610,95
2024-04-01 08:11:00,486.4610,486.5508,486.4111,486.4111,61
2024-04-01 08:12:00,486.4211,486.5508,486.2614,486.3812,401
2024-04-01 08:13:00,486.2614,486.5605,486.2614,486.4111,116
2024-04-01 08:14:00,486.5608,486.7205,486.4111,486.7205,695
2024-04-01 08:15:00,486.2614,486.5608,486.2614,486.4610,118
2024-04-01 08:16:00,486.5658,486.5658,486.4311,486.5608,9
2024-04-01 08:17:00,486.8602,486.8602,486.5608,486.6107,56
2024-04-01 08:18:00,486.3612,486.8103,486.3612,486.8103,316
2024-04-01 08:19:00,486.5708,504.3445,486.5708,486.6706,3
2024-04-01 08:20:00,486.6706,486.8602,486.4710,486.4710,213
2024-04-01 08:21:00,486.6606,504.3445,486.4610,486.6606,125
