,open_MSFT,high_MSFT,low_MSFT,close_MSFT,volume_MSFT
2024-04-01 04:00:00,421.8892,423.4338,419.0892,423.4338,1988
2024-04-01 04:01:00,423.0451,423.4138,422.0088,422.0088,3930
2024-04-01 04:02:00,421.8992,422.4871,421.7497,421.8295,273
2024-04-01 04:03:00,421.8992,422.4971,421.6601,421.9092,1746
2024-04-01 04:04:00,421.9092,421.9092,421.8992,421.8992,236
2024-04-01 04:05:00,422.3377,422.4373,421.9590,422.4373,77
2024-04-01 04:07:00,422.3775,422.4174,422.0586,422.3775,238
2024-04-01 04:08:00,422.1981,422.1981,422.0487,422.0487,242
2024-04-01 04:09:00,422.3675,422.3675,422.0586,422.0586,5
2024-04-01 04:10:00,422.3078,422.3078,422.0487,422.0487,118
2024-04-01 04:11:00,422.2878,422.2978,422.1085,422.1085,215
2024-04-01 04:12:00,422.1284,422.1284,422.1284,422.1284,2
2024-04-01 04:14:00,422.2679,422.2878,422.1981,422.2679,411
2024-04-01 04:15:00,422.2579,422.2679,422.1384,422.2679,56
2024-04-01 04:16:00,422.1284,422.2579,422.1284,422.2579,19
2024-04-01 04:17:00,422.2081,422.2878,422.0985,422.2380,462
2024-04-01 04:18:00,422.2380,422.2480,422.2380,422.2480,27
2024-04-01 04:19:00,422.2779,422.2779,422.2779,422.2779,31
2024-04-01 04:20:00,422.2480,422.2878,422.2480,422.2579,463
2024-04-01 04:21:00,422.2280,422.2380,422.2280,422.2280,6
2024-04-01 04:22:00,422.2480,422.2480,422.1882,422.2280,99
2024-04-01 04:23:00,422.2380,422.2380,422.2280,422.2380,55
2024-04-01 04:24:00,422.2181,422.2380,422.2181,422.2380,6
2024-04-01 04:25:00,422.1981,422.2480,422.1184,422.2280,316
2024-04-01 04:26:00,422.2380,422.3875,422.1483,422.3875,2820
2024-04-01 04:27:00,422.4772,423.4636,422.3775,423.3142,3754
2024-04-01 04:28:00,423.3839,423.3839,423.3142,423.3341,95
2024-04-01 04:29:00,423.3341,423.3341,422.7861,422.7861,2
2024-04-01 04:30:00,423.4338,423.6330,423.3839,423.4935,1129
2024-04-01 04:31:00,423.1846,423.1846,423.1846,423.1846,5
2024-04-01 04:32:00,423.6330,423.6330,423.6330,423.6330,7
2024-04-01 04:33:00,423.1946,423.5932,423.1846,423.5733,13
2024-04-01 04:34:00,423.5733,423.5733,423.5733,423.5733,71
2024-04-01 04:35:00,423.5733,423.5932,423.4935,423.5733,146
2024-04-01 04:36:00,423.5733,423.5733,423.1348,423.1348,14
2024-04-01 04:37:00,423.4836,423.4836,423.1647,423.4836,128
2024-04-01 04:38:00,423.4836,423.4935,423.1946,423.1946,282
2024-04-01 04:39:00,423.4238,423.4238,421.5006,422.5170,3591
2024-04-01 04:40:00,423.3142,423.3740,422.8458,422.8458,194
2024-04-01 04:41:00,422.9853,423.3740,422.9853,423.3540,500
2024-04-01 04:42:00,422.9156,422.9256,422.5469,422.5469,457
2024-04-01 04:43:00,422.7761,422.7761,422.6067,422.6067,66
2024-04-01 04:44:00,422.7761,422.9256,422.7761,422.7761,7
2024-04-01 04:45:00,422.7761,422.9256,422.7761,422.9256,150
2024-04-01 04:46:00,422.8060,422.9256,422.8060,422.9256,7
2024-04-01 04:47:00,422.9256,422.9256,422.8757,422.8757,18
2024-04-01 04:48:00,422.8857,422.9056,422.8458,422.8458,48
2024-04-01 04:49:00,422.7960,422.7960,422.1284,422.1284,904
2024-04-01 04:50:00,422.3675,422.3675,422.3576,422.3576,16
2024-04-01 04:51:00,422.4373,422.4473,422.3277,422.4074,52
2024-04-01 04:52:00,422.3974,422.4074,422.3974,422.4074,9
2024-04-01 04:53:00,422.4174,422.4174,422.4174,422.4174,1
2024-04-01 04:54:00,422.4871,422.4871,422.0985,422.0985,184
2024-04-01 04:55:00,422.1085,422.1085,422.0985,422.0985,122
2024-04-01 04:56:00,422.1882,422.1882,422.0985,422.1583,558
2024-04-01 04:57:00,422.1483,422.1583,422.0985,422.0985,356
2024-04-01 04:58:00,422.0985,422.0985,422.0487,422.0487,3
2024-04-01 04:59:00,422.0985,422.0985,422.0487,422.0487,10
2024-04-01 05:00:00,422.0487,422.0985,422.0487,422.0985,2
2024-04-01 05:01:00,422.0985,422.0985,422.0885,422.0985,47
2024-04-01 05:02:00,422.0985,422.1384,422.0885,422.0885,61
2024-04-01 05:03:00,422.1583,422.1583,422.1583,422.1583,3
2024-04-01 05:04:00,422.1583,422.1583,422.1483,422.1583,107
2024-04-01 05:05:00,422.1483,422.1483,422.1085,422.1085,78
2024-04-01 05:06:00,422.1583,422.1583,422.1583,422.1583,235
2024-04-01 05:07:00,422.1981,422.2779,422.1583,422.2779,75
2024-04-01 05:08:00,422.3277,422.3476,422.1583,422.2779,117
2024-04-01 05:09:00,422.2579,422.3775,422.2579,422.3775,110
2024-04-01 05:10:00,422.2579,422.4572,422.1981,422.1981,604
2024-04-01 05:11:00,422.4273,422.4273,422.2081,422.4273,104
2024-04-01 05:12:00,422.4273,422.4273,422.4273,422.4273,1
2024-04-01 05:13:00,422.4273,422.4971,422.2181,422.2181,659
2024-04-01 05:14:00,422.2380,422.2380,422.2280,422.2280,10
2024-04-01 05:15:00,422.2579,422.4473,422.2480,422.4473,32
2024-04-01 05:16:00,422.4473,422.4772,422.2480,422.4672,60
2024-04-01 05:17:00,422.4672,422.4672,422.2480,422.4373,17
2024-04-01 05:19:00,422.2480,422.2480,422.2480,422.2480,1
