,open_NVDA,high_NVDA,low_NVDA,close_NVDA,volume_NVDA
2024-04-01 04:00:00,91.4816,91.4816,90.7847,91.0866,55040
2024-04-01 04:01:00,91.0067,91.2816,90.8907,91.2816,64040
2024-04-01 04:02:00,91.2806,91.3616,91.2616,91.3216,37560
2024-04-01 04:03:00,91.3136,91.3416,91.1816,91.2046,18350
2024-04-01 04:04:00,91.2166,91.2256,91.0956,91.1906,10830
2024-04-01 04:05:00,91.1966,91.2216,91.1086,91.1146,9750
2024-04-01 04:06:00,91.1036,91.1556,91.0906,91.1016,3940
2024-04-01 04:07:00,91.1336,91.2626,91.1286,91.2316,18980
2024-04-01 04:08:00,91.2346,91.2366,91.2236,91.2316,4330
2024-04-01 04:09:00,91.2256,91.2316,91.1826,91.2036,4700
2024-04-01 04:10:00,91.2016,91.2316,91.1016,91.1366,20710
2024-04-01 04:11:00,91.1386,91.2356,91.1366,91.2356,9250
2024-04-01 04:12:00,91.2316,91.3306,91.2316,91.3116,14920
2024-04-01 04:13:00,91.3116,91.3646,91.2926,91.3066,14750
2024-04-01 04:14:00,91.3136,91.3136,91.2376,91.2716,3670
2024-04-01 04:15:00,91.2666,91.3066,91.2646,91.2816,2140
2024-04-01 04:16:00,91.2816,91.2816,91.2546,91.2656,4060
2024-04-01 04:17:00,91.2686,91.2816,91.2656,91.2656,4510
2024-04-01 04:18:00,91.2506,91.2806,91.2506,91.2706,1150
2024-04-01 04:19:00,91.2686,91.2806,91.2446,91.2776,860
2024-04-01 04:20:00,91.2756,91.2816,91.2696,91.2776,5800
2024-04-01 04:21:00,91.2766,91.2776,91.2706,91.2776,1350
2024-04-01 04:22:00,91.2776,91.2816,91.2696,91.2816,3270
2024-04-01 04:23:00,91.2806,91.2816,91.2676,91.2776,16010
2024-04-01 04:24:00,91.2666,91.2716,91.2536,91.2646,3760
2024-04-01 04:25:00,91.2566,91.2666,91.2536,91.2666,860
2024-04-01 04:26:00,91.2666,91.2796,91.2636,91.2796,3620
2024-04-01 04:27:00,91.2816,91.3606,91.2806,91.3516,23670
2024-04-01 04:28:00,91.3416,91.4066,91.3416,91.3906,42470
2024-04-01 04:29:00,91.3796,91.4066,91.3016,91.3226,19180
2024-04-01 04:30:00,91.3116,91.3576,91.3016,91.3406,2760
2024-04-01 04:31:00,91.3316,91.3806,91.3316,91.3706,4830
2024-04-01 04:32:00,91.3666,91.3816,91.3286,91.3686,1850
2024-04-01 04:33:00,91.3786,91.4816,91.3646,91.3906,33030
2024-04-01 04:34:00,91.4036,91.4036,91.3906,91.3916,2510
2024-04-01 04:35:00,91.3906,91.3916,91.3246,91.3246,2580
2024-04-01 04:36:00,91.3166,91.3586,91.3146,91.3576,2540
2024-04-01 04:37:00,91.3646,91.3646,91.3016,91.3366,8220
2024-04-01 04:38:00,91.3376,91.3806,91.3376,91.3616,8930
2024-04-01 04:39:00,91.3616,91.3906,91.3616,91.3906,4820
2024-04-01 04:40:00,91.3976,91.4066,91.3846,91.4036,5490
2024-04-01 04:41:00,91.4036,91.4066,91.3596,91.3616,2790
2024-04-01 04:42:00,91.3616,91.3816,91.3326,91.3326,2210
2024-04-01 04:43:00,91.3416,91.3596,91.3276,91.3596,1460
2024-04-01 04:44:00,91.3426,91.3576,91.3346,91.3366,1910
2024-04-01 04:45:00,91.3366,91.3406,91.3216,91.3406,5910
2024-04-01 04:46:00,91.3486,91.3486,91.3226,91.3376,2810
2024-04-01 04:47:00,91.3406,91.3416,91.3296,91.3416,570
2024-04-01 04:48:00,91.3416,91.3546,91.3396,91.3416,3460
2024-04-01 04:49:00,91.3526,91.3606,91.3226,91.3276,7330
2024-04-01 04:50:00,91.3546,91.3546,91.3006,91.3056,2920
2024-04-01 04:51:00,91.3046,91.3306,91.3046,91.3306,540
2024-04-01 04:52:00,91.3226,91.3466,91.3226,91.3346,2890
2024-04-01 04:53:00,91.3346,91.3506,91.3256,91.3286,2000
2024-04-01 04:54:00,91.3226,91.3316,91.3186,91.3186,5360
2024-04-01 04:55:00,91.3186,91.3246,91.3086,91.3106,990
2024-04-01 04:56:00,91.3066,91.3076,91.3046,91.3076,290
2024-04-01 04:57:00,91.3076,91.3076,91.2866,91.3046,4700
2024-04-01 04:58:00,91.3056,91.3076,91.2896,91.3046,1610
2024-04-01 04:59:00,91.2956,91.3086,91.2956,91.3066,1030
2024-04-01 05:00:00,91.3086,91.3166,91.2976,91.2976,420
2024-04-01 05:01:00,91.3096,91.3216,91.3096,91.3216,550
2024-04-01 05:02:00,91.3196,91.3306,91.3176,91.3306,2590
2024-04-01 05:03:00,91.3296,91.3516,91.3116,91.3426,5790
2024-04-01 05:04:00,91.3256,91.3466,91.3126,91.3316,2460
2024-04-01 05:05:00,91.3316,91.3316,91.3136,91.3136,1800
2024-04-01 05:06:00,91.3276,91.3276,91.3016,91.3056,3530
2024-04-01 05:07:00,91.3046,91.3116,91.2936,91.2996,1400
2024-04-01 05:08:00,91.2956,91.2986,91.2826,91.2916,2080
2024-04-01 05:09:00,91.2916,91.3116,91.2866,91.3016,5730
2024-04-01 05:10:00,91.3016,91.3016,91.2866,91.2866,1120
2024-04-01 05:11:00,91.2906,91.3066,91.2906,91.3066,1060
2024-04-01 05:12:00,91.2996,91.2996,91.2996,91.2996,120
2024-04-01 05:13:00,91.3056,91.3056,91.2996,91.3026,1480
2024-04-01 05:14:00,91.2996,91.3026,91.2816,91.2866,2860
2024-04-01 05:15:00,91.2916,91.3026,91.2916,91.2916,3670
2024-04-01 05:16:00,91.2966,91.2966,91.2876,91.2916,1190
2024-04-01 05:17:00,91.2916,91.2966,91.2826,91.2826,300
2024-04-01 05:18:00,91.2916,91.2916,91.2816,91.2816,3440
2024-04-01 05:19:00,91.2666,91.2686,91.2496,91.2556,8880
2024-04-01 05:20:00,91.2476,91.2546,91.2216,91.2466,2520
2024-04-01 05:21:00,91.2226,91.2446,91.2226,91.2226,120
2024-04-01 05:22:00,91.2256,91.2346,91.1966,91.1966,11300
2024-04-01 05:23:00,91.2016,91.2306,91.1956,91.2046,3560
2024-04-01 05:24:00,91.2046,91.2116,91.1846,91.1926,4080
2024-04-01 05:25:00,91.1946,91.1946,91.0816,91.0976,29000
2024-04-01 05:26:00,91.1026,91.1096,91.0317,91.0337,11700
2024-04-01 05:27:00,91.0327,91.0886,91.0327,91.0886,3280
2024-04-01 05:28:00,91.0766,91.0796,91.0557,91.0617,3610
2024-04-01 05:29:00,91.0617,91.0816,91.0527,91.0527,2380
2024-04-01 05:30:00,91.0816,91.0916,91.0647,91.0647,2550
2024-04-01 05:31:00,91.0796,91.0796,91.0377,91.0796,1730
2024-04-01 05:32:00,91.0697,91.0796,91.0557,91.0587,2850
2024-04-01 05:33:00,91.0746,91.0796,91.0587,91.0707,4600
2024-04-01 05:34:00,91.0707,91.1416,91.0617,91.0816,12300
2024-04-01 05:35:00,91.0647,91.1126,91.0547,91.1126,29050
2024-04-01 05:36:00,91.1116,91.1756,91.1116,91.1606,7000
2024-04-01 05:37:00,91.1596,91.1596,91.1306,91.1566,150
2024-04-01 05:38:00,91.1316,91.1316,91.1116,91.1236,2830
2024-04-01 05:39:00,91.1206,91.1446,91.1126,91.1316,920
