,open_ORCL,high_ORCL,low_ORCL,close_ORCL,volume_ORCL
2024-04-01 04:00:00,124.7383,125.1746,124.5499,125.1449,225
2024-04-01 04:02:00,124.7284,124.7284,124.7284,124.7284,10
2024-04-01 04:03:00,125.1449,125.1548,125.1449,125.1548,198
2024-04-01 04:09:00,124.7185,124.7185,124.7185,124.7185,10
2024-04-01 04:19:00,125.1251,125.1449,125.1251,125.1449,77
2024-04-01 04:21:00,125.1449,125.1499,125.1251,125.1449,387
2024-04-01 04:22:00,125.1350,125.1350,125.1350,125.1350,4
2024-04-01 04:25:00,125.1151,125.1548,125.1151,125.1548,268
2024-04-01 04:26:00,125.1449,125.1499,125.1449,125.1449,93
2024-04-01 04:27:00,125.1548,125.1548,125.1548,125.1548,70
2024-04-01 04:28:00,125.1548,125.1846,125.1548,125.1548,249
2024-04-01 04:31:00,125.2143,125.2143,125.2143,125.2143,34
2024-04-01 04:34:00,125.2143,125.2143,125.1647,125.1647,100
2024-04-01 04:36:00,125.2242,125.2242,125.2242,125.2242,3
2024-04-01 04:38:00,125.3928,125.3928,125.3928,125.3928,1
2024-04-01 04:53:00,125.4424,125.4424,125.4424,125.4424,16
2024-04-01 05:02:00,125.4325,125.4325,125.4325,125.4325,1
2024-04-01 05:07:00,125.2441,125.2441,125.2143,125.2143,31
2024-04-01 05:10:00,125.1945,125.1945,125.1846,125.1846,45
2024-04-01 05:14:00,125.2441,125.2441,125.2441,125.2441,6
2024-04-01 05:17:00,125.3928,125.3928,125.3928,125.3928,10
2024-04-01 05:21:00,125.3928,125.3928,125.3928,125.3928,1
2024-04-01 05:24:00,125.3928,125.3928,125.3928,125.3928,1
2024-04-01 05:25:00,125.3631,125.3631,125.3631,125.3631,1
2024-04-01 05:26:00,125.3333,125.3333,125.3333,125.3333,1
2024-04-01 05:29:00,125.3333,125.3333,125.3333,125.3333,7
2024-04-01 05:30:00,125.3631,125.3631,125.2441,125.2441,2
2024-04-01 05:44:00,125.3829,125.3829,125.3829,125.3829,1
2024-04-01 05:48:00,125.3829,125.3829,125.2441,125.2441,2
2024-04-01 05:50:00,125.3928,125.3928,125.2441,125.2441,2
2024-04-01 06:01:00,125.3928,125.3928,125.3928,125.3928,4
2024-04-01 06:02:00,125.3928,125.3928,125.3928,125.3928,2
2024-04-01 06:08:00,125.3928,125.4127,125.3928,125.4127,2
2024-04-01 06:21:00,125.4127,125.4127,125.4127,125.4127,1
2024-04-01 06:22:00,125.2441,125.2441,125.2441,125.2441,1
2024-04-01 06:23:00,125.4127,125.4127,125.4127,125.4127,1
2024-04-01 06:29:00,125.4127,125.4127,125.4127,125.4127,2
2024-04-01 06:32:00,125.4127,125.4127,125.4127,125.4127,1
2024-04-01 06:37:00,125.4127,125.4127,125.2441,125.3631,38
2024-04-01 06:39:00,125.3730,125.3730,125.3532,125.3532,8
2024-04-01 06:41:00,125.3532,125.3730,125.2441,125.2441,10
2024-04-01 06:43:00,125.3829,125.3829,125.3829,125.3829,40
2024-04-01 06:57:00,125.4127,125.4127,125.4127,125.4127,1
2024-04-01 07:00:00,125.2540,125.6011,125.2143,125.6011,1071
2024-04-01 07:01:00,125.5912,125.5912,125.4523,125.4523,681
2024-04-01 07:02:00,125.4622,125.4622,125.4523,125.4523,2041
2024-04-01 07:03:00,125.4523,125.4523,125.4523,125.4523,521
2024-04-01 07:06:00,125.3631,125.3631,125.3532,125.3532,62
2024-04-01 07:12:00,125.3532,125.3532,125.3532,125.3532,100
2024-04-01 07:14:00,125.2441,125.2441,125.1945,125.1945,150
2024-04-01 07:16:00,125.2441,125.2441,125.2441,125.2441,50
2024-04-01 07:17:00,125.4523,125.4523,125.4523,125.4523,2
2024-04-01 07:20:00,125.2540,125.2540,125.2342,125.2342,73
2024-04-01 07:22:00,125.4523,125.4523,125.4523,125.4523,10
2024-04-01 07:23:00,125.3036,125.3036,125.1846,125.1846,521
2024-04-01 07:25:00,125.2540,125.2540,125.1548,125.1945,122
2024-04-01 07:26:00,125.1945,125.1945,125.1945,125.1945,4
2024-04-01 07:27:00,125.1548,125.1548,125.1151,125.1251,400
2024-04-01 07:28:00,125.1251,125.1251,125.1251,125.1251,1
2024-04-01 07:29:00,125.1350,125.1350,125.1151,125.1251,97
2024-04-01 07:33:00,125.0061,125.0061,125.0061,125.0061,3
2024-04-01 07:40:00,125.0953,125.1052,125.0953,125.1052,171
2024-04-01 07:41:00,125.1151,125.1151,125.1151,125.1151,2
2024-04-01 07:45:00,125.0854,125.0854,125.0854,125.0854,34
2024-04-01 07:48:00,125.0854,125.0854,125.0854,125.0854,112
2024-04-01 07:52:00,125.1251,125.1251,125.1251,125.1251,2
2024-04-01 07:56:00,125.0953,125.0953,125.0953,125.0953,54
2024-04-01 07:57:00,125.0953,125.0953,125.0556,125.0556,150
2024-04-01 07:59:00,125.0953,125.0953,125.0953,125.0953,1
2024-04-01 08:00:00,125.7598,125.7598,124.5697,124.5697,2593
2024-04-01 08:01:00,124.5697,124.5697,124.5697,124.5697,2
2024-04-01 08:02:00,124.7482,125.0953,124.5697,124.5697,185
2024-04-01 08:03:00,125.1052,125.1052,124.7383,125.1052,260
2024-04-01 08:04:00,125.0358,125.0358,124.7482,124.7482,212
2024-04-01 08:05:00,124.9466,125.0953,124.9466,124.9565,490
2024-04-01 08:06:00,124.7482,124.9565,124.7482,124.9565,6
2024-04-01 08:07:00,124.9664,124.9664,124.8870,124.9565,1553
2024-04-01 08:12:00,124.9961,124.9961,124.9961,124.9961,3
2024-04-01 08:13:00,124.9961,124.9961,124.9961,124.9961,1
2024-04-01 08:17:00,124.9565,124.9565,124.9565,124.9565,4
2024-04-01 08:23:00,124.9862,125.0556,124.9862,125.0556,625
2024-04-01 08:25:00,125.0953,125.0953,125.0953,125.0953,4
2024-04-01 08:27:00,125.0757,125.0757,125.0757,125.0757,1
2024-04-01 08:32:00,124.9466,124.9466,124.9466,124.9466,34
2024-04-01 08:33:00,124.9763,125.1052,124.9565,124.9862,33
2024-04-01 08:34:00,125.0061,125.0061,124.9466,124.9466,7
2024-04-01 08:38:00,124.9565,125.0061,124.9267,124.9267,106
2024-04-01 08:39:00,124.7638,124.7638,124.7638,124.7638,7
2024-04-01 08:43:00,125.0358,125.1052,125.0358,125.1052,280
2024-04-01 08:44:00,125.0457,125.0457,125.0457,125.0457,10
2024-04-01 08:48:00,124.9664,124.9664,124.9664,124.9664,11
2024-04-01 08:49:00,125.0160,125.0160,125.0160,125.0160,6
2024-04-01 08:51:00,124.6044,124.6044,124.2623,124.2623,2
2024-04-01 08:52:00,125.0160,125.0160,125.0160,125.0160,20
2024-04-01 08:53:00,124.7284,124.7284,124.7284,124.7284,15
2024-04-01 08:54:00,125.1052,125.1052,125.1052,125.1052,3
2024-04-01 08:55:00,124.9565,125.0160,124.9565,125.0160,33
2024-04-01 08:58:00,125.0457,125.0457,125.0457,125.0457,4
2024-04-01 09:01:00,125.0061,125.0061,124.9565,125.0061,1034
2024-04-01 09:02:00,124.9565,124.9565,124.5697,124.5697,450
2024-04-01 09:04:00,124.8870,124.8870,124.8870,124.8870,5
2024-04-01 09:05:00,124.5697,124.5697,124.5697,124.5697,2
2024-04-01 09:06:00,124.8870,124.8870,124.8176,124.8176,150
2024-04-01 09:07:00,125.0854,125.0854,125.0854,125.0854,2
2024-04-01 09:08:00,124.8870,124.8970,124.8870,124.8970,188
2024-04-01 09:09:00,124.8573,124.8573,124.8573,124.8573,99
2024-04-01 09:10:00,124.9267,124.9267,124.9267,124.9267,17
2024-04-01 09:11:00,124.8870,124.9267,124.8870,124.9267,114
2024-04-01 09:13:00,124.9267,124.9466,124.7502,124.7502,678
2024-04-01 09:14:00,125.0556,125.0556,125.0556,125.0556,10
2024-04-01 09:15:00,125.0556,125.0556,125.0556,125.0556,20
2024-04-01 09:16:00,124.8375,124.8375,124.7482,124.8077,226
2024-04-01 09:19:00,124.7978,124.7978,124.7482,124.7482,144
2024-04-01 09:20:00,124.7780,124.7780,124.6590,124.6590,900
2024-04-01 09:21:00,124.6788,124.7085,124.6788,124.6788,170
