,open_PFE,high_PFE,low_PFE,close_PFE,volume_PFE
2024-04-01 04:00:00,27.0326,27.0326,26.9937,27.0035,281
2024-04-01 04:01:00,27.0229,27.0229,27.0229,27.0229,8
2024-04-01 04:02:00,27.0229,27.0229,27.0229,27.0229,11
2024-04-01 04:05:00,27.0132,27.0132,27.0132,27.0132,40
2024-04-01 04:07:00,27.0132,27.0132,27.0035,27.0132,67
2024-04-01 04:09:00,27.0132,27.0229,27.0132,27.0229,373
2024-04-01 04:10:00,27.0132,27.0229,27.0132,27.0229,25
2024-04-01 04:11:00,27.0229,27.0229,27.0132,27.0132,11
2024-04-01 04:12:00,27.0229,27.0229,27.0229,27.0229,107
2024-04-01 04:13:00,27.0132,27.0229,27.0132,27.0132,171
2024-04-01 04:14:00,27.0229,27.0229,27.0229,27.0229,1
2024-04-01 04:16:00,27.0229,27.0229,27.0229,27.0229,20
2024-04-01 04:18:00,27.0132,27.0132,27.0132,27.0132,20
2024-04-01 04:20:00,27.0229,27.0715,27.0229,27.0715,261
2024-04-01 04:21:00,27.0423,27.0423,27.0423,27.0423,43
2024-04-01 04:22:00,27.0423,27.0812,27.0423,27.0812,3
2024-04-01 04:26:00,27.0715,27.0715,27.0715,27.0715,40
2024-04-01 04:27:00,27.0715,27.0812,27.0715,27.0812,116
2024-04-01 04:28:00,27.0812,27.0909,27.0812,27.0909,512
2024-04-01 04:29:00,27.0909,27.0909,27.0909,27.0909,82
2024-04-01 04:30:00,27.0909,27.0909,27.0909,27.0909,69
2024-04-01 04:31:00,27.0909,27.0909,27.0909,27.0909,18
2024-04-01 04:32:00,27.0909,27.0909,27.0909,27.0909,36
2024-04-01 04:33:00,27.0909,27.0909,27.0909,27.0909,2
2024-04-01 04:35:00,27.0909,27.0909,27.0909,27.0909,25
2024-04-01 04:37:00,27.0909,27.0909,27.0909,27.0909,5
2024-04-01 04:39:00,27.0909,27.0909,27.0909,27.0909,1
2024-04-01 04:42:00,27.0909,27.0909,27.0909,27.0909,8
2024-04-01 04:46:00,27.0909,27.0909,27.0909,27.0909,130
2024-04-01 04:47:00,27.0909,27.0909,27.0909,27.0909,8
2024-04-01 04:48:00,27.0909,27.0909,27.0909,27.0909,1
2024-04-01 04:52:00,27.0812,27.0812,27.0715,27.0715,38
2024-04-01 04:53:00,27.0715,27.0715,27.0715,27.0715,25
2024-04-01 04:55:00,27.0715,27.0715,27.0715,27.0715,3
2024-04-01 04:58:00,27.0715,27.0715,27.0715,27.0715,180
2024-04-01 04:59:00,27.0618,27.0618,27.0521,27.0521,253
2024-04-01 05:00:00,27.0423,27.0521,27.0423,27.0423,619
2024-04-01 05:06:00,27.0618,27.0618,27.0618,27.0618,261
2024-04-01 05:08:00,27.0618,27.0618,27.0618,27.0618,31
2024-04-01 05:09:00,27.0618,27.0618,27.0618,27.0618,1
2024-04-01 05:10:00,27.0521,27.0521,27.0521,27.0521,20
2024-04-01 05:13:00,27.0618,27.0618,27.0618,27.0618,13
2024-04-01 05:14:00,27.0618,27.0618,27.0521,27.0521,7
2024-04-01 05:15:00,27.0618,27.0618,27.0618,27.0618,1
2024-04-01 05:16:00,27.0618,27.0618,27.0618,27.0618,50
2024-04-01 05:22:00,27.0521,27.0521,27.0521,27.0521,2
2024-04-01 05:23:00,27.0618,27.0618,27.0618,27.0618,121
