,open_TSLA,high_TSLA,low_TSLA,close_TSLA,volume_TSLA
2024-04-01 04:00:00,177.5000,177.8500,175.3900,177.4100,23066
2024-04-01 04:01:00,177.5700,177.7700,177.2100,177.2900,9059
2024-04-01 04:02:00,177.2900,177.4000,177.1600,177.1800,1409
2024-04-01 04:03:00,177.2600,177.3000,176.8500,176.9300,4076
2024-04-01 04:04:00,176.9000,176.9700,176.7300,176.8900,4349
2024-04-01 04:05:00,176.8300,176.9000,176.6200,176.8500,4237
2024-04-01 04:06:00,176.8500,176.9000,176.7000,176.7000,2950
2024-04-01 04:07:00,176.7000,176.8500,176.6600,176.8200,7566
2024-04-01 04:08:00,176.9000,176.9300,176.8200,176.9000,882
2024-04-01 04:09:00,176.8700,176.9700,176.8500,176.8900,858
2024-04-01 04:10:00,176.8900,177.1600,176.8500,177.0500,6645
2024-04-01 04:11:00,177.0800,177.3900,177.0800,177.2200,9709
2024-04-01 04:12:00,177.2200,177.3500,177.1300,177.2200,2159
2024-04-01 04:13:00,177.3100,177.4800,177.2500,177.4700,5422
2024-04-01 04:14:00,177.4400,177.5500,177.3600,177.4500,5903
2024-04-01 04:15:00,177.4500,177.5000,177.3900,177.5000,1795
2024-04-01 04:16:00,177.4800,177.4800,177.3500,177.3700,1762
2024-04-01 04:17:00,177.4000,177.4400,177.3300,177.3800,3049
2024-04-01 04:18:00,177.3900,177.4600,177.3800,177.4000,1571
2024-04-01 04:19:00,177.3900,177.4400,177.3900,177.4000,2187
2024-04-01 04:20:00,177.4400,177.4600,177.3300,177.3500,1173
2024-04-01 04:21:00,177.3400,177.4300,177.3400,177.4300,1408
2024-04-01 04:22:00,177.4200,177.4700,177.4000,177.4500,787
2024-04-01 04:23:00,177.4500,177.4600,177.3000,177.3500,2998
2024-04-01 04:24:00,177.4000,177.4000,177.1300,177.2600,2824
2024-04-01 04:25:00,177.2400,177.2500,177.1400,177.2500,67
2024-04-01 04:26:00,177.2200,177.2500,177.1300,177.1300,502
2024-04-01 04:27:00,177.1600,177.2200,177.1400,177.2000,762
2024-04-01 04:28:00,177.2000,177.3000,177.2000,177.3000,1442
2024-04-01 04:29:00,177.3100,177.3900,177.3000,177.3900,1305
2024-04-01 04:30:00,177.3400,177.3900,177.3000,177.3900,2310
2024-04-01 04:31:00,177.3900,177.4400,177.3200,177.3800,571
2024-04-01 04:32:00,177.3800,177.3900,177.3000,177.3500,2294
2024-04-01 04:33:00,177.3100,177.3600,177.3000,177.3100,827
2024-04-01 04:34:00,177.3500,177.4000,177.3000,177.4000,3238
2024-04-01 04:35:00,177.3800,177.3800,177.3100,177.3800,759
2024-04-01 04:36:00,177.3400,177.3800,177.3400,177.3400,657
2024-04-01 04:37:00,177.3700,177.4300,177.3700,177.4000,3183
2024-04-01 04:38:00,177.4100,177.5000,177.4100,177.4900,2142
2024-04-01 04:39:00,177.4900,177.5500,177.4800,177.4800,5639
2024-04-01 04:40:00,177.4900,177.4900,177.4500,177.4700,1344
2024-04-01 04:41:00,177.4500,177.4500,177.4000,177.4500,1954
2024-04-01 04:42:00,177.4400,177.4900,177.4300,177.4900,862
2024-04-01 04:43:00,177.4700,177.5000,177.4400,177.4400,481
2024-04-01 04:44:00,177.4400,177.4800,177.4400,177.4500,262
2024-04-01 04:45:00,177.4600,177.4700,177.4300,177.4400,365
2024-04-01 04:46:00,177.4500,177.4500,177.4000,177.4000,987
