,open_V,high_V,low_V,close_V,volume_V
2024-04-01 04:00:00,279.3208,281.4027,279.3208,281.4027,18
2024-04-01 04:03:00,278.8825,279.3307,278.1254,278.1254,46
2024-04-01 04:04:00,279.3706,279.3706,279.3706,279.3706,2
2024-04-01 04:15:00,279.3507,279.3507,279.3507,279.3507,1
2024-04-01 04:16:00,279.3507,279.3507,279.3507,279.3507,1
2024-04-01 04:21:00,279.2710,279.3507,279.2710,279.3507,5
2024-04-01 04:22:00,279.2710,279.2710,279.2710,279.2710,1
2024-04-01 04:35:00,279.2510,279.3008,279.2212,279.3008,12
2024-04-01 04:37:00,279.2610,279.2610,279.2610,279.2610,1
2024-04-01 04:45:00,279.1215,279.1215,279.1215,279.1215,100
2024-04-01 04:47:00,279.3407,279.3407,279.3407,279.3407,15
2024-04-01 04:51:00,279.2610,279.2610,279.2610,279.2610,1
2024-04-01 04:52:00,279.3507,279.3507,279.3407,279.3407,15
2024-04-01 04:54:00,279.3407,279.3407,279.3407,279.3407,2
2024-04-01 05:03:00,279.3507,279.3507,279.3507,279.3507,1
2024-04-01 05:04:00,279.3307,279.3307,279.1116,279.1215,14
2024-04-01 05:05:00,279.3407,279.3407,279.3407,279.3407,1
2024-04-01 05:11:00,279.3108,279.3108,279.3108,279.3108,10
2024-04-01 05:14:00,279.3008,279.3407,279.3008,279.3407,11
2024-04-01 05:15:00,279.3407,279.3407,279.3407,279.3407,1
2024-04-01 05:22:00,279.3407,279.3407,279.3407,279.3407,4
2024-04-01 05:24:00,279.3507,279.3507,279.3507,279.3507,1
2024-04-01 05:25:00,279.3507,279.3905,279.3507,279.3905,13
2024-04-01 05:27:00,279.4204,279.4204,279.4204,279.4204,14
2024-04-01 05:28:00,279.5399,279.5399,279.5399,279.5399,5
2024-04-01 05:29:00,279.4104,279.5399,279.4104,279.5399,5
2024-04-01 05:32:00,279.8089,279.8089,279.8089,279.8089,1
2024-04-01 05:34:00,279.5598,279.5598,279.5598,279.5598,1
2024-04-01 05:36:00,279.8089,279.8089,279.8089,279.8089,97
2024-04-01 05:37:00,279.8089,279.8089,279.8089,279.8089,64
2024-04-01 05:41:00,279.8288,279.8288,279.8089,279.8089,4
2024-04-01 05:46:00,279.8089,279.8089,279.8089,279.8089,1
2024-04-01 05:49:00,279.7093,279.7093,279.7093,279.7093,1
2024-04-01 05:58:00,279.8089,279.8089,279.5499,279.5499,2
2024-04-01 06:00:00,279.8089,279.9185,279.8089,279.9185,33
2024-04-01 06:02:00,279.9185,279.9185,279.9185,279.9185,8
2024-04-01 06:04:00,279.8089,279.8089,279.8089,279.8089,2
2024-04-01 06:06:00,279.9085,279.9085,279.9085,279.9085,3
2024-04-01 06:10:00,279.9085,279.9085,279.9085,279.9085,1
2024-04-01 06:11:00,279.4303,279.5399,279.3208,279.3208,48
2024-04-01 06:20:00,279.3507,279.3507,279.3507,279.3507,10
2024-04-01 06:21:00,279.4104,279.4104,279.4104,279.4104,10
2024-04-01 06:28:00,279.4204,279.5200,279.4204,279.5200,20
2024-04-01 06:30:00,279.7491,279.8089,279.5300,279.5300,99
2024-04-01 06:36:00,279.7989,279.7989,279.7989,279.7989,1
2024-04-01 06:38:00,279.7491,279.7491,279.7491,279.7491,1
2024-04-01 06:41:00,279.7392,279.7491,279.7392,279.7491,18
2024-04-01 06:43:00,279.7491,279.7491,279.3905,279.3905,12
2024-04-01 06:45:00,279.5300,279.5300,279.5200,279.5200,6
2024-04-01 06:47:00,279.5200,279.5200,279.5200,279.5200,10
2024-04-01 07:00:00,279.1713,279.5399,279.1713,279.5200,169
2024-04-01 07:01:00,279.4702,279.4702,279.4204,279.4204,1045
2024-04-01 07:03:00,279.3208,279.3208,279.1315,279.1315,305
2024-04-01 07:04:00,279.2112,279.3208,279.2112,279.3208,61
