,open_WMT,high_WMT,low_WMT,close_WMT,volume_WMT
2024-04-01 04:00:00,59.8350,59.8449,59.7952,59.8449,162
2024-04-01 04:01:00,59.8151,59.8747,59.8151,59.8747,142
2024-04-01 04:07:00,59.8747,59.8747,59.8548,59.8548,8
2024-04-01 04:08:00,59.8946,59.8946,59.8946,59.8946,1
2024-04-01 04:09:00,59.9145,59.9741,59.9045,59.9045,105
2024-04-01 04:12:00,59.8250,59.8250,59.8151,59.8151,90
2024-04-01 04:25:00,59.8946,59.9045,59.8747,59.9045,20
2024-04-01 04:27:00,59.8648,59.8648,59.8648,59.8648,10
2024-04-01 04:30:00,59.8250,59.8250,59.8250,59.8250,54
2024-04-01 04:31:00,59.8151,59.8151,59.8151,59.8151,2
2024-04-01 04:37:00,59.8747,59.8747,59.8747,59.8747,10
2024-04-01 04:38:00,59.8747,59.8747,59.8747,59.8747,20
2024-04-01 04:42:00,59.8648,59.8648,59.8350,59.8648,24
2024-04-01 04:43:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 04:48:00,59.8250,59.8250,59.8250,59.8250,6
2024-04-01 05:10:00,59.8151,59.8151,59.8151,59.8151,10
2024-04-01 05:17:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 05:21:00,59.8250,59.8250,59.8250,59.8250,6
2024-04-01 05:24:00,59.8747,59.8747,59.8747,59.8747,20
2024-04-01 05:27:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 05:30:00,59.8151,59.8151,59.8151,59.8151,2
2024-04-01 05:32:00,59.8648,59.8648,59.8648,59.8648,3
2024-04-01 05:34:00,59.8747,59.8747,59.8747,59.8747,6
2024-04-01 05:41:00,59.8747,59.8747,59.8747,59.8747,2
2024-04-01 05:44:00,59.8747,59.8747,59.8747,59.8747,11
2024-04-01 05:48:00,59.8747,59.8747,59.8747,59.8747,162
2024-04-01 05:49:00,59.8747,59.8747,59.8747,59.8747,3
2024-04-01 05:50:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 05:53:00,59.8747,59.8747,59.8747,59.8747,2
2024-04-01 06:00:00,59.8747,59.8747,59.8747,59.8747,2
2024-04-01 06:15:00,59.8747,59.8747,59.8747,59.8747,2
2024-04-01 06:19:00,59.8747,59.8747,59.8747,59.8747,11
2024-04-01 06:33:00,59.8449,59.8449,59.8449,59.8449,49
2024-04-01 06:36:00,59.8747,59.8747,59.8747,59.8747,13
2024-04-01 06:39:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 06:40:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 06:41:00,59.8747,59.8747,59.8747,59.8747,86
2024-04-01 06:51:00,59.8747,59.8747,59.8747,59.8747,1
2024-04-01 06:52:00,59.8449,59.8449,59.8449,59.8449,11
2024-04-01 06:53:00,59.8747,59.8747,59.8747,59.8747,29
2024-04-01 06:54:00,59.8747,59.8747,59.8747,59.8747,3
2024-04-01 06:56:00,59.8449,59.8449,59.8449,59.8449,13
2024-04-01 07:00:00,59.8747,59.8747,59.8051,59.8449,506
2024-04-01 07:04:00,59.8250,59.8250,59.8250,59.8250,414
2024-04-01 07:05:00,59.8250,59.8250,59.7753,59.7753,4109
2024-04-01 07:06:00,59.7952,59.7952,59.7853,59.7853,405
2024-04-01 07:07:00,59.7853,59.7853,59.7853,59.7853,3
2024-04-01 07:08:00,59.8051,59.8051,59.7753,59.7753,10
2024-04-01 07:10:00,59.7952,59.8151,59.7853,59.7853,34
2024-04-01 07:22:00,59.8449,59.8449,59.8449,59.8449,20
2024-04-01 07:23:00,59.8250,59.8250,59.8051,59.8051,25
2024-04-01 07:24:00,59.8051,59.8051,59.8051,59.8051,128
2024-04-01 07:29:00,59.8151,59.8151,59.8151,59.8151,4
2024-04-01 07:30:00,59.8051,59.8051,59.8051,59.8051,5
2024-04-01 07:33:00,59.8151,59.8151,59.8151,59.8151,5
2024-04-01 07:35:00,59.8151,59.8151,59.7952,59.7952,182
2024-04-01 07:36:00,59.8051,59.8051,59.8051,59.8051,30
2024-04-01 07:41:00,59.8449,59.8449,59.8449,59.8449,2
2024-04-01 07:44:00,59.8250,59.8250,59.8250,59.8250,2
2024-04-01 07:46:00,59.8548,59.8548,59.8051,59.8051,11
2024-04-01 07:56:00,59.8051,59.8051,59.8051,59.8051,1
2024-04-01 07:57:00,59.8449,59.8449,59.8449,59.8449,1
2024-04-01 07:58:00,59.8250,59.8250,59.8250,59.8250,2
2024-04-01 08:00:00,59.7753,60.2325,59.7753,59.7952,6180
2024-04-01 08:01:00,59.7952,59.9045,59.7952,59.7952,3
2024-04-01 08:02:00,59.8247,59.9244,59.7952,59.7952,132
2024-04-01 08:03:00,59.7952,59.9244,59.7952,59.8250,165
2024-04-01 08:04:00,59.8248,59.9244,59.8248,59.9244,117
2024-04-01 08:05:00,59.8747,59.9244,59.8051,59.8946,542
2024-04-01 08:06:00,59.8250,59.9045,59.8250,59.8250,23
2024-04-01 08:07:00,59.8051,59.8250,59.8051,59.8250,195
2024-04-01 08:09:00,59.8151,59.8187,59.8151,59.8151,108
2024-04-01 08:10:00,59.8449,59.8449,59.8250,59.8250,17
2024-04-01 08:11:00,59.8250,59.8250,59.8051,59.8051,448
2024-04-01 08:12:00,59.8250,59.8250,59.8250,59.8250,7
2024-04-01 08:13:00,59.7952,59.7952,59.7952,59.7952,72
2024-04-01 08:14:00,59.8350,59.8350,59.8350,59.8350,3
2024-04-01 08:15:00,59.8151,59.8151,59.8151,59.8151,2
2024-04-01 08:16:00,59.8250,59.8250,59.8250,59.8250,41
2024-04-01 08:18:00,59.8350,59.8350,59.8151,59.8151,60
2024-04-01 08:19:00,59.8350,59.8350,59.8350,59.8350,2
2024-04-01 08:21:00,59.8250,59.8250,59.7952,59.8051,164
2024-04-01 08:22:00,59.8051,59.8350,59.7952,59.8250,488
2024-04-01 08:23:00,59.8350,59.8350,59.7854,59.8350,139
2024-04-01 08:24:00,59.8350,59.8350,59.8350,59.8350,1
2024-04-01 08:25:00,59.8350,59.8350,59.8350,59.8350,5
2024-04-01 08:26:00,59.8250,59.8350,59.8250,59.8350,4125
2024-04-01 08:27:00,59.8350,59.8350,59.8350,59.8350,17
2024-04-01 08:28:00,59.8250,59.8747,59.7952,59.8747,396
2024-04-01 08:29:00,59.7952,59.8747,59.7952,59.8051,56
2024-04-01 08:30:00,59.8051,59.8051,59.7952,59.7952,105
2024-04-01 08:31:00,59.7952,59.8747,59.7952,59.8747,107
2024-04-01 08:32:00,59.8350,59.8350,59.7753,59.7952,180
2024-04-01 08:33:00,59.7753,59.7753,59.7753,59.7753,86
2024-04-01 08:34:00,59.8250,59.8250,59.8250,59.8250,1
2024-04-01 08:35:00,59.7753,59.7753,59.7753,59.7753,273
2024-04-01 08:36:00,59.8747,59.8747,59.7952,59.8151,215
2024-04-01 08:37:00,59.7952,59.7952,59.7753,59.7753,158
2024-04-01 08:38:00,59.7853,59.7853,59.7853,59.7853,3
2024-04-01 08:39:00,59.8350,59.8747,59.8350,59.8747,10
2024-04-01 08:40:00,59.8051,59.8051,59.7853,59.7853,222
2024-04-01 08:41:00,59.7952,59.8250,59.7753,59.7753,83
2024-04-01 08:43:00,59.7872,59.7872,59.7853,59.7853,4
2024-04-01 08:44:00,59.8250,59.8250,59.7853,59.7853,6
2024-04-01 08:45:00,59.8250,59.8250,59.8250,59.8250,10
2024-04-01 08:46:00,59.8250,59.8250,59.8250,59.8250,21
2024-04-01 08:47:00,59.7853,59.8051,59.7853,59.8051,177
2024-04-01 08:48:00,59.7753,59.7753,59.7753,59.7753,64
2024-04-01 08:49:00,59.8051,59.8051,59.7972,59.8051,85
2024-04-01 08:50:00,59.7753,59.8051,59.7753,59.8051,27
