,open_XOM,high_XOM,low_XOM,close_XOM,volume_XOM
2024-04-01 04:00:00,114.3938,114.3938,114.3938,114.3938,1
2024-04-01 04:01:00,114.6496,114.6595,114.6398,114.6496,127
2024-04-01 04:03:00,114.6595,114.6693,114.6496,114.6496,24
2024-04-01 04:04:00,114.7382,114.7382,114.6693,114.6693,26
2024-04-01 04:08:00,114.7382,114.7480,114.7382,114.7480,55
2024-04-01 04:10:00,114.6693,114.6693,114.6693,114.6693,5
2024-04-01 04:11:00,114.6496,114.6496,114.6496,114.6496,83
2024-04-01 04:13:00,114.7087,114.8071,114.7087,114.8071,323
2024-04-01 04:16:00,114.6595,114.9153,114.6595,114.9153,6
2024-04-01 04:20:00,114.9153,115.0826,114.9153,115.0826,500
2024-04-01 04:21:00,115.0236,115.1318,115.0236,115.1318,150
2024-04-01 04:22:00,115.1318,115.1318,115.0138,115.0138,102
2024-04-01 04:29:00,115.1318,115.1318,115.1318,115.1318,4
2024-04-01 04:31:00,115.1318,115.1318,115.1318,115.1318,13
2024-04-01 04:32:00,115.0531,115.0531,115.0433,115.0433,16
2024-04-01 04:37:00,115.1318,115.1318,115.1318,115.1318,34
2024-04-01 04:42:00,115.1318,115.1318,115.1318,115.1318,1
2024-04-01 04:44:00,115.0334,115.0334,115.0334,115.0334,3
2024-04-01 04:45:00,115.0630,115.0630,115.0630,115.0630,80
2024-04-01 04:50:00,115.0630,115.1122,115.0630,115.1122,8
2024-04-01 04:52:00,115.0630,115.0630,115.0630,115.0630,20
2024-04-01 04:56:00,115.1318,115.1318,115.1318,115.1318,200
2024-04-01 04:57:00,115.0630,115.0728,115.0630,115.0728,30
2024-04-01 04:58:00,115.1220,115.1220,115.0236,115.0236,50
2024-04-01 05:00:00,115.1220,115.1220,115.1220,115.1220,4
2024-04-01 05:12:00,115.1220,115.1220,115.1220,115.1220,2
2024-04-01 05:17:00,115.1220,115.1220,115.1220,115.1220,19
2024-04-01 05:18:00,114.9645,114.9645,114.9645,114.9645,3
2024-04-01 05:23:00,115.0138,115.0138,115.0138,115.0138,5
2024-04-01 05:24:00,115.1220,115.1220,115.0334,115.0334,2
